,MDM2 (4193)
ACH-000004,-0.107137631631
ACH-000007,-0.9806759774989999
ACH-000009,-0.242556141954
ACH-000011,-1.17084332466
ACH-000012,-0.21832907452
ACH-000013,-0.144595043196
ACH-000014,-1.3503985685799997
ACH-000015,-0.268843914078
ACH-000017,-0.301775149115
ACH-000018,-0.0420895454934
ACH-000019,-0.969182326513
ACH-000021,-0.296690423875
ACH-000022,-0.172825934848
ACH-000025,-0.24495698098000002
ACH-000028,-0.8997230349840001
ACH-000030,-0.236772098453
ACH-000035,-0.0320461634876
ACH-000036,-1.08219285195
ACH-000037,-0.373192969742
ACH-000039,-0.276752727286
ACH-000040,-0.347059850639
ACH-000041,0.0685257564747
ACH-000042,-0.0469680947838
ACH-000045,-0.9046795662129999
ACH-000047,-0.108381486597
ACH-000052,-0.551583546978
ACH-000053,-0.39180079932899997
ACH-000054,-1.06831606698
ACH-000055,-0.12375504903
ACH-000060,-0.149029805314
ACH-000067,-0.33746479905500004
ACH-000070,-1.02189128447
ACH-000075,-1.07015766627
ACH-000078,-0.790485900459
ACH-000082,-0.377822494056
ACH-000085,-0.047139875663099996
ACH-000086,-0.47944167754600003
ACH-000087,-0.256251813075
ACH-000092,-0.31327200343199996
ACH-000095,-1.0904882827700002
ACH-000097,-1.4701695963199999
ACH-000098,-0.356936788766
ACH-000099,-1.0188638398999998
ACH-000108,-0.158629397608
ACH-000113,-0.8864248356730001
ACH-000115,-0.11368582534800001
ACH-000116,-0.356159078608
ACH-000118,-0.296230219331
ACH-000120,-0.906593642476
ACH-000123,-0.9165562456440001
ACH-000127,-0.24606788793099998
ACH-000128,-0.140547187717
ACH-000132,-0.30815361356
ACH-000133,-0.549178529893
ACH-000137,-0.42224161836900004
ACH-000138,-0.345552307056
ACH-000142,-0.23827351245900003
ACH-000143,-0.274967408413
ACH-000146,-0.38699713192
ACH-000148,-0.5987761207760001
ACH-000150,0.0941689379486
ACH-000152,-0.549781408462
ACH-000153,-1.67692826384
ACH-000159,-1.69760040986
ACH-000160,-0.19046015709000003
ACH-000163,-0.28895201606800003
ACH-000167,-0.240771486581
ACH-000168,-0.256783448746
ACH-000169,-0.26123374517299996
ACH-000178,-0.26427030193100004
ACH-000182,-0.39765594260700005
ACH-000183,-0.308613219613
ACH-000188,-0.12488005364600001
ACH-000189,-1.04507915865
ACH-000190,-0.0323743358047
ACH-000198,-1.16928449
ACH-000204,0.07861412465699999
ACH-000206,-0.53622754503
ACH-000207,0.00102063661534
ACH-000211,-0.233336266513
ACH-000215,-0.497482858983
ACH-000221,0.0798414809189
ACH-000222,-0.522012281114
ACH-000223,-0.386266660511
ACH-000226,-0.8703122154459999
ACH-000227,-0.341047930669
ACH-000228,-0.191844835555
ACH-000231,-0.410587857986
ACH-000232,-0.309440287789
ACH-000233,-0.161137454552
ACH-000234,-1.42245312501
ACH-000235,-0.42957570810400003
ACH-000237,-0.48571730423
ACH-000238,-0.274747164177
ACH-000243,-0.430754468363
ACH-000244,-0.868556687369
ACH-000246,-1.42323929117
ACH-000248,-0.398695439368
ACH-000250,-0.31180775662
ACH-000251,-0.117551846556
ACH-000253,-0.117063019134
ACH-000255,-0.0285452496752
ACH-000256,-0.0906095838064
ACH-000257,-0.0504915332087
ACH-000258,-0.43769511688999996
ACH-000259,-0.713493796278
ACH-000260,-0.269739652606
ACH-000261,-0.423241435488
ACH-000262,-1.07466603768
ACH-000263,-0.0467798439642
ACH-000264,-0.401244750449
ACH-000265,-0.088209332982
ACH-000266,-0.49707654304399995
ACH-000272,-1.6397506234900001
ACH-000273,-0.40978365357600005
ACH-000274,-1.9904251533400001
ACH-000277,-0.216884493614
ACH-000278,-0.26273185370900004
ACH-000279,-0.14984451343900002
ACH-000280,-0.561642895369
ACH-000281,0.0827824764539
ACH-000288,-0.30574311329500004
ACH-000291,-0.229964162936
ACH-000293,-0.113010423636
ACH-000294,-0.10250588993899999
ACH-000295,0.08794554593369999
ACH-000296,-0.44476858923100004
ACH-000302,-0.36342369429
ACH-000304,-1.5940742815900002
ACH-000307,-0.207701212971
ACH-000308,-0.418398617271
ACH-000310,-0.559530957832
ACH-000311,-0.878907628844
ACH-000312,-0.00945747518791
ACH-000315,0.13369498936899998
ACH-000316,-0.322394143838
ACH-000317,-1.37877013708
ACH-000318,-0.23156787525699998
ACH-000319,-0.39530581544200005
ACH-000320,-0.448279917855
ACH-000322,-0.82405634945
ACH-000323,-0.238766186792
ACH-000324,-0.921521218691
ACH-000329,-0.598015584797
ACH-000330,-0.287221844935
ACH-000331,-0.190253724035
ACH-000332,-0.287185263493
ACH-000334,-0.262434345658
ACH-000335,-0.818299475217
ACH-000336,-0.410375427375
ACH-000337,-0.0946762906474
ACH-000339,-0.345334357178
ACH-000341,-0.288491059388
ACH-000348,-0.502242131746
ACH-000350,-1.02303230155
ACH-000352,-0.24845006946800002
ACH-000356,-0.5636353219269999
ACH-000361,-0.873014564816
ACH-000362,-0.970780925567
ACH-000363,-0.247445154483
ACH-000364,-1.0243812563799999
ACH-000365,-0.6916521084199999
ACH-000366,-0.161495246196
ACH-000368,-0.277904640368
ACH-000374,-0.236898108258
ACH-000375,-0.7869285136990001
ACH-000376,-0.24389254933600002
ACH-000381,0.0164791394057
ACH-000383,-0.366681691342
ACH-000387,-0.21409476205400002
ACH-000389,-0.7335034013349999
ACH-000390,-0.220550716646
ACH-000393,-0.0517765912472
ACH-000395,0.0266969580966
ACH-000397,-0.159268758147
ACH-000401,-0.122917084937
ACH-000402,-0.0197085482207
ACH-000403,-0.145534593495
ACH-000404,-1.2192419802399999
ACH-000406,-0.33606392823299996
ACH-000407,-0.108013123206
ACH-000408,0.0163031183152
ACH-000410,-0.36167477584700003
ACH-000411,-0.9250197838009999
ACH-000414,-1.08946215747
ACH-000415,-0.024613150343
ACH-000416,-0.281350966619
ACH-000420,-0.284994849254
ACH-000421,-0.28126360085
ACH-000424,-0.251177298257
ACH-000425,-1.60691894942
ACH-000426,0.13435047298
ACH-000427,-0.0852837241487
ACH-000433,-1.31120255816
ACH-000436,-1.1296358175399999
ACH-000444,-1.10837676415
ACH-000445,-0.266693602591
ACH-000448,-1.3194904660299998
ACH-000450,-1.1824857395200001
ACH-000452,-0.35018510436399997
ACH-000454,-0.10340809634999999
ACH-000458,-0.149054050611
ACH-000459,-2.12245122623
ACH-000460,-0.41221763655599997
ACH-000461,-0.298303998583
ACH-000463,-0.9947551475570001
ACH-000464,-0.352673523775
ACH-000466,0.11646100397399999
ACH-000467,-0.46173530653300005
ACH-000468,-0.334749629439
ACH-000469,-0.269421749607
ACH-000470,-0.133864778455
ACH-000471,-0.359847088245
ACH-000472,-0.35676205800899996
ACH-000473,-0.466917895261
ACH-000475,-0.22570730293000002
ACH-000476,-0.0896739611423
ACH-000477,-2.25542764927
ACH-000480,-0.330068341174
ACH-000481,-0.33318372858899997
ACH-000483,-0.348415061942
ACH-000484,-0.28730234714499997
ACH-000485,-1.147858313
ACH-000486,-1.07969916355
ACH-000487,0.0735637099513
ACH-000488,-0.243697002572
ACH-000490,-0.37953896882
ACH-000491,-0.0376688918944
ACH-000495,-1.59857079683
ACH-000496,-0.5486114891439999
ACH-000499,-0.192262717176
ACH-000500,0.154452977852
ACH-000502,-0.235823775256
ACH-000503,0.135333764108
ACH-000505,-0.274743708279
ACH-000507,-0.198316880737
ACH-000510,-0.255125349602
ACH-000511,-0.355313481734
ACH-000512,0.195072029691
ACH-000516,-0.461418222522
ACH-000517,-0.331366340921
ACH-000518,-0.120532506954
ACH-000520,-0.31988423632
