,PES1 (23481)
ACH-000004,-1.19060531073
ACH-000007,-0.978313338609
ACH-000009,-1.08938524004
ACH-000011,-0.8108418746349999
ACH-000012,-0.9808989433830001
ACH-000013,-1.00766202138
ACH-000014,-0.948276291237
ACH-000015,-1.11623030443
ACH-000017,-1.2282845158600002
ACH-000018,-0.7881261561380001
ACH-000019,-1.08555519369
ACH-000021,-0.88460518715
ACH-000022,-1.1229636328000001
ACH-000025,-1.3622618966600002
ACH-000028,-1.0315689360200002
ACH-000030,-1.03328277564
ACH-000035,-0.8516087495360001
ACH-000036,-0.926063513213
ACH-000037,-1.34178746675
ACH-000039,-1.1002991361
ACH-000040,-1.1492669758299998
ACH-000041,-0.845753347623
ACH-000042,-0.544325222075
ACH-000045,-0.815880249549
ACH-000047,-1.1472588166600002
ACH-000052,-0.9467067853479999
ACH-000053,-1.02242285574
ACH-000054,-1.05774995777
ACH-000055,-0.8665272445759999
ACH-000060,-1.32999562029
ACH-000067,-1.06047889916
ACH-000070,-1.2735647590799999
ACH-000075,-1.2582651896100001
ACH-000078,-1.02609572255
ACH-000082,-1.03581734123
ACH-000085,-0.7751784866760001
ACH-000086,-1.14482115135
ACH-000087,-0.892055210741
ACH-000092,-1.17899465535
ACH-000095,-1.1488433758299998
ACH-000097,-0.7333138803389999
ACH-000098,-1.27733132045
ACH-000099,-1.0605880546200002
ACH-000108,-0.8600238667769999
ACH-000113,-1.0258139269700002
ACH-000115,-1.13294228505
ACH-000116,-0.906377941859
ACH-000118,-0.898588443946
ACH-000120,-0.737319680122
ACH-000123,-1.0606361100900001
ACH-000127,-0.930474310337
ACH-000128,-1.24017515719
ACH-000132,-1.26521908658
ACH-000133,-1.1592565451799999
ACH-000137,-1.05487436168
ACH-000138,-0.744832478445
ACH-000142,-1.07023311074
ACH-000143,-1.11778960685
ACH-000146,-0.8618235285439999
ACH-000148,-0.914388170689
ACH-000150,-1.0637974314799998
ACH-000152,-1.11510836262
ACH-000153,-1.16248831146
ACH-000159,-1.2383598589799998
ACH-000160,-1.3571251338199999
ACH-000163,-0.874456042692
ACH-000167,-0.7407254073639999
ACH-000168,-0.841824330898
