,NOP10 (55505)
ACH-000004,-0.925184385812
ACH-000007,-1.23653615311
ACH-000009,-1.3642011705200001
ACH-000011,-1.3542350488100001
ACH-000012,-1.20210878933
ACH-000013,-1.16131377806
ACH-000014,-1.2144819554000001
ACH-000015,-1.2025274834100002
ACH-000017,-1.27151169111
ACH-000018,-1.3865434025
ACH-000019,-1.5053607433200002
ACH-000021,-1.08433049255
ACH-000022,-1.2961066215100001
ACH-000025,-1.22567664497
ACH-000028,-1.1705436494900001
ACH-000030,-1.25156467277
ACH-000035,-1.26344403995
ACH-000036,-1.27767958956
ACH-000037,-1.02972971813
ACH-000039,-1.11140482579
ACH-000040,-1.23762169393
ACH-000041,-1.3821960200499999
ACH-000042,-1.15631221165
ACH-000045,-1.20649462086
ACH-000047,-1.1565221214
ACH-000052,-1.32535507973
ACH-000053,-1.41768850509
ACH-000054,-1.19632287107
ACH-000055,-1.26721911509
ACH-000060,-0.9412964606730001
ACH-000067,-1.3790798373
ACH-000070,-0.988515311747
ACH-000075,-1.22861752204
ACH-000078,-1.4353765469
ACH-000082,-1.26225914202
ACH-000085,-0.9871134196879999
ACH-000086,-1.30005297648
ACH-000087,-1.24791152818
ACH-000092,-1.21966207381
ACH-000095,-1.33030487085
ACH-000097,-1.2100190015
ACH-000098,-1.24361628665
ACH-000099,-1.2205088427
ACH-000108,-1.2716745542
ACH-000113,-1.28206889496
ACH-000115,-0.8370097771770001
ACH-000116,-1.1427467286700002
ACH-000118,-1.21801101167
ACH-000120,-1.38141843074
ACH-000123,-1.06366346959
ACH-000127,-1.24651735796
ACH-000128,-1.3492599288999998
ACH-000132,-1.25821218886
ACH-000133,-1.24691230811
ACH-000137,-1.3935242249700002
ACH-000138,-1.0881540345799998
ACH-000142,-1.5902887235699998
ACH-000143,-1.02142057864
ACH-000146,-1.19534405036
ACH-000148,-1.22538661916
ACH-000150,-1.11912588908
ACH-000152,-1.36199440669
ACH-000153,-1.62207887349
ACH-000159,-1.32990928236
ACH-000160,-1.12935651275
ACH-000163,-1.4063577338600002
ACH-000167,-1.44562261319
ACH-000168,-1.2543362242799998
ACH-000169,-1.1928983882
ACH-000178,-1.34775772729
ACH-000182,-1.05544386706
ACH-000183,-1.20806576425
ACH-000188,-1.15696087293
ACH-000189,-1.38463536605
ACH-000190,-1.38510400102
ACH-000198,-1.0883630746200001
ACH-000204,-1.11334164545
ACH-000206,-0.8974864529500001
ACH-000207,-0.9813299253200001
ACH-000211,-1.3344412444299998
ACH-000215,-1.19837763666
ACH-000221,-1.08009050098
ACH-000222,-1.1808423429000001
ACH-000223,-1.24401432433
ACH-000226,-1.14441127065
ACH-000227,-1.25432566451
ACH-000228,-1.023382119
ACH-000231,-1.3216047639
ACH-000232,-1.3868506117500001
ACH-000233,-1.1977605059899998
ACH-000234,-1.29240385044
ACH-000235,-1.29755290457
ACH-000237,-1.0521061616
ACH-000238,-1.04937095979
ACH-000243,-1.30185696591
ACH-000244,-0.9129203184260001
ACH-000246,-1.40430469669
ACH-000248,-1.22383611348
ACH-000250,-1.0556624457700001
ACH-000251,-1.49251748997
ACH-000253,-1.28621404566
ACH-000255,-1.2753778464
ACH-000256,-1.10096378096
ACH-000257,-1.04704264424
ACH-000258,-1.5169914204600001
ACH-000259,-1.07545661312
ACH-000260,-1.18511337688
ACH-000261,-1.1884045042799998
ACH-000262,-1.19471338014
ACH-000263,-1.02420054185
ACH-000264,-1.1148361895
ACH-000265,-1.21792614692
ACH-000266,-1.2198782722600001
ACH-000272,-1.4673980125400001
ACH-000273,-1.21670276159
ACH-000274,-1.1302227891
ACH-000277,-0.999728830758
ACH-000278,-1.27868054986
ACH-000279,-1.2669571472
ACH-000280,-1.334171792
ACH-000281,-1.34894262745
ACH-000288,-1.28330524203
ACH-000291,-1.1642014143000001
ACH-000293,-1.05491676575
ACH-000294,-0.955481466544
ACH-000295,-1.1556616470999999
ACH-000296,-1.5601424392200003
ACH-000302,-1.32790247885
ACH-000304,-1.344573035
ACH-000307,-1.21101920753
ACH-000308,-1.38936733813
ACH-000310,-1.34176026989
ACH-000311,-1.0472094116500001
ACH-000312,-1.22415866422
ACH-000315,-1.1888629384799998
ACH-000316,-1.2770100857100002
ACH-000317,-1.05578432289
ACH-000318,-1.17728225825
ACH-000319,-1.24757582521
ACH-000320,-1.4659017683700002
ACH-000322,-0.8542681003470001
ACH-000323,-1.56113631361
ACH-000324,-1.30606634242
ACH-000329,-1.31156841264
ACH-000330,-1.02893464462
ACH-000331,-1.22242023298
ACH-000332,-1.3212311401999999
ACH-000334,-1.2490341536
ACH-000335,-1.33542695765
ACH-000336,-1.38350288351
ACH-000337,-1.53283696667
ACH-000339,-1.2246677084200002
ACH-000341,-1.43438872157
ACH-000348,-1.0262795484
ACH-000350,-0.915641942935
ACH-000352,-1.29414473376
ACH-000356,-1.08409287644
ACH-000361,-1.32487286312
ACH-000362,-1.10726812462
ACH-000363,-0.9587652536669999
ACH-000364,-1.24830700413
ACH-000365,-1.18077893767
ACH-000366,-1.38228908176
ACH-000368,-1.3080566781
ACH-000374,-1.2333210477299998
ACH-000375,-1.0259061031399999
ACH-000376,-1.45298705855
ACH-000381,-1.34482638583
ACH-000383,-1.3155380440100002
ACH-000387,-1.23531004344
ACH-000389,-1.2728076508700001
ACH-000390,-1.09995237906
ACH-000393,-1.1602111379100002
ACH-000395,-1.1604979835200002
ACH-000397,-1.19145940236
ACH-000401,-1.16982417428
ACH-000402,-1.3440123400100001
ACH-000403,-1.28783931487
ACH-000404,-0.910782683795
ACH-000406,-1.04903834099
ACH-000407,-1.2864279775399998
ACH-000408,-1.3088482845799998
ACH-000410,-1.36807447977
ACH-000411,-1.42884474446
ACH-000414,-1.1251313169
ACH-000415,-1.20688350573
ACH-000416,-1.2146292574600002
ACH-000420,-1.2525788103
ACH-000421,-1.1803483019299998
ACH-000424,-1.25595405061
ACH-000425,-1.1045678191600001
ACH-000426,-0.896250678474
ACH-000427,-1.06268999101
ACH-000433,-1.22807133496
ACH-000436,-1.1867399335100002
ACH-000444,-1.2618320128
ACH-000445,-1.3541021666
ACH-000448,-1.22884075732
ACH-000450,-1.30125944364
ACH-000452,-1.1519299977600002
ACH-000454,-1.14612849396
ACH-000458,-1.12212047929
ACH-000459,-1.17525804977
ACH-000460,-1.29600762059
ACH-000461,-1.33675275926
ACH-000463,-1.30566915561
ACH-000464,-1.61940266307
ACH-000466,-1.16349395232
ACH-000467,-1.09897864905
ACH-000468,-1.1281520326299999
ACH-000469,-1.2844206150700002
ACH-000470,-1.25920576921
ACH-000471,-1.32120744201
ACH-000472,-1.2674900813299999
ACH-000473,-1.40277278139
ACH-000475,-1.0
ACH-000476,-0.901632873066
ACH-000477,-0.984013114889
ACH-000480,-1.02533717978
ACH-000481,-1.27247157722
ACH-000483,-1.07872705612
ACH-000484,-0.67798531937
ACH-000485,-1.2349076191
ACH-000486,-1.25956017112
ACH-000487,-1.07297956443
ACH-000488,-1.09518418415
ACH-000490,-1.16312497549
ACH-000491,-0.902662538243
ACH-000495,-1.503468728
ACH-000496,-1.19429216795
ACH-000499,-1.36726307502
ACH-000500,-1.3131745928899998
ACH-000502,-1.28359595012
ACH-000503,-1.12356195456
ACH-000505,-1.0175633072499999
ACH-000507,-1.52220885549
ACH-000510,-1.2009990639299999
ACH-000511,-1.3676732459999998
ACH-000512,-1.50510136958
ACH-000516,-0.760942707884
ACH-000517,-1.11901690276
ACH-000518,-1.12097768773
ACH-000520,-1.14962627739
ACH-000521,-1.06700604472
ACH-000522,-1.2886943675700002
ACH-000524,-1.1269022548999998
ACH-000527,-1.27277926435
ACH-000528,-1.0725214278200002
ACH-000537,-1.25136701517
ACH-000541,-1.061785487
ACH-000542,-1.33035132876
ACH-000544,-1.0927070003200001
ACH-000545,-1.2641165134299999
ACH-000547,-1.2103317718200002
ACH-000548,-1.25401470095
ACH-000549,-1.19488638678
ACH-000550,-1.14117199911
ACH-000552,-1.15886099275
ACH-000556,-1.34753210604
ACH-000557,-0.796244360756
ACH-000570,-1.4451308768200002
ACH-000571,-1.0801867514399999
ACH-000573,-1.37791853403
ACH-000576,-1.0091163398799998
ACH-000580,-1.0198284188
ACH-000584,-0.9615582296330001
ACH-000585,-1.13925851975
ACH-000588,-1.13122975634
ACH-000589,-1.09087464456
ACH-000591,-1.3951258791999999
ACH-000593,-1.28540366531
ACH-000600,-1.48783319341
ACH-000601,-1.22009685164
ACH-000604,-0.965851529601
ACH-000605,-1.09853769744
ACH-000606,-1.30377177223
ACH-000608,-1.13728590321
ACH-000614,-1.02385031989
ACH-000616,-1.28416211924
ACH-000618,-1.11900105513
ACH-000619,-1.37603937064
ACH-000620,-1.19677621982
ACH-000621,-0.825496963991
ACH-000622,-1.09462046683
ACH-000623,-1.30616594359
ACH-000624,-1.21116069648
ACH-000627,-1.19017946604
ACH-000630,-1.22610590198
ACH-000632,-1.22019131916
ACH-000633,-1.07859334358
ACH-000637,-1.2048883375900001
ACH-000638,-1.04742892244
ACH-000646,-1.02004548981
ACH-000647,-1.4311572519
ACH-000648,-1.4119718323500001
ACH-000649,-1.3463301299200001
ACH-000651,-1.23483117532
ACH-000652,-1.2766416260299998
ACH-000653,-1.06883180318
ACH-000657,-1.17268296004
ACH-000658,-1.09172649412
ACH-000661,-0.989272668037
ACH-000662,-0.917003447007
ACH-000663,-1.17441940672
ACH-000665,-1.4335321930399998
ACH-000671,-1.43458510638
ACH-000673,-1.25026301752
ACH-000676,-1.26081029372
ACH-000677,-0.7746202405500001
ACH-000681,-1.08245729916
ACH-000682,-1.39664206239
ACH-000683,-1.21118870405
ACH-000684,-1.2709088308499998
ACH-000688,-0.979286071075
ACH-000693,-1.0562780664
ACH-000694,-1.13143957303
ACH-000695,-1.29948217496
ACH-000696,-1.25596464287
ACH-000697,-0.9843229322149999
ACH-000699,-1.00534106236
ACH-000701,-1.5740033660400001
ACH-000706,-0.9788596515710001
ACH-000711,-1.25512372437
ACH-000713,-1.51680514996
ACH-000714,-1.26316545418
ACH-000718,-1.27905152319
ACH-000720,-1.30921289491
ACH-000721,-1.2904620508600002
ACH-000724,-1.32648796883
ACH-000725,-0.855436777291
ACH-000732,-1.2191749732100001
ACH-000734,-1.10270336224
ACH-000735,-1.17577929418
ACH-000736,-1.18865582338
ACH-000738,-1.3103423575
ACH-000746,-1.2217181265500001
ACH-000747,-1.04096285343
ACH-000748,-1.34381693347
ACH-000753,-1.39793394657
ACH-000756,-1.66844085166
ACH-000757,-1.2690294247299998
ACH-000758,-1.1802254710200002
ACH-000760,-1.3939083388299998
ACH-000763,-1.0661547953100001
ACH-000764,-1.38559937512
ACH-000765,-0.904331335164
ACH-000766,-1.1799135088
ACH-000767,-1.1089848919299998
ACH-000768,-1.222016012
ACH-000769,-1.17978786764
ACH-000770,-1.16330977185
ACH-000771,-1.05730049487
ACH-000773,-1.3582926415
ACH-000776,-1.2015368659
ACH-000777,-1.28682212825
ACH-000778,-0.915682759544
ACH-000781,-1.26546024761
ACH-000782,-1.02876262041
ACH-000783,-0.778200300331
ACH-000784,-1.4132453204
ACH-000785,-1.15356755445
ACH-000787,-1.31307088401
ACH-000788,-1.2398702643200001
ACH-000791,-1.1277524732200002
ACH-000792,-1.07277974672
ACH-000794,-1.18048571106
ACH-000796,-0.994742429789
ACH-000799,-1.32991644177
ACH-000800,-1.20890033979
ACH-000802,-1.11887760969
ACH-000804,-1.36322117366
ACH-000805,-1.11353336902
ACH-000809,-1.1842546608600002
ACH-000810,-1.17385305293
ACH-000811,-1.1871818611700002
ACH-000817,-1.48241065307
ACH-000819,-1.31240993648
ACH-000820,-1.6778817068399998
ACH-000821,-0.8541260458959999
ACH-000822,-0.838677381215
ACH-000823,-1.29917360969
ACH-000824,-1.39087851277
ACH-000827,-1.13669265348
ACH-000829,-1.10733403543
ACH-000831,-1.1833294304100002
ACH-000832,-1.0999593303200002
ACH-000833,-1.0694498885600001
ACH-000834,-0.878285988584
ACH-000835,-1.06384410063
ACH-000836,-1.31598086605
ACH-000837,-0.9915890227349999
ACH-000838,-1.31965281728
ACH-000839,-1.43990083711
ACH-000840,-1.1861335600299998
ACH-000841,-1.029986053
ACH-000843,-1.22228720587
ACH-000846,-1.39041338206
ACH-000847,-1.51782018009
ACH-000848,-1.26243913696
ACH-000849,-1.31443027885
ACH-000851,-1.29899315543
ACH-000855,-1.31357170036
ACH-000856,-0.885265540429
ACH-000858,-1.03719131392
ACH-000859,-1.43887608283
ACH-000861,-1.2458378509299999
ACH-000862,-1.2656606033700002
ACH-000865,-1.4521432916600001
ACH-000866,-1.27839580345
ACH-000867,-1.1951437100700002
ACH-000869,-1.16032106037
ACH-000872,-1.04731730286
ACH-000873,-1.3478634483899998
ACH-000876,-0.7086238503010001
ACH-000878,-1.46859285898
ACH-000880,-1.18422407236
ACH-000881,-1.1789229596
ACH-000882,-1.14561736731
ACH-000884,-1.27900621135
ACH-000885,-1.20025917841
ACH-000887,-1.2896710694
ACH-000888,-1.23365378956
ACH-000889,-1.30060362531
ACH-000890,-1.48476427977
ACH-000896,-1.33691681156
ACH-000898,-1.2732150820700001
ACH-000900,-1.1228054190899999
ACH-000901,-1.26720731118
ACH-000905,-1.32654549617
ACH-000906,-1.0839582434100001
ACH-000907,-1.00519979261
ACH-000910,-1.03104992756
ACH-000911,-1.13985209478
ACH-000912,-1.32869690854
ACH-000913,-1.1874982359200001
ACH-000915,-1.0611737084100001
ACH-000916,-1.50119794315
ACH-000917,-0.974959003896
ACH-000921,-1.15336541079
ACH-000924,-1.1961212692
ACH-000926,-1.1871197390000001
ACH-000928,-0.940669401321
ACH-000929,-1.23009546555
ACH-000932,-1.18827955745
ACH-000935,-1.22637360519
ACH-000936,-1.3173112639700002
ACH-000937,-1.2264599315
ACH-000938,-0.7724902624079999
ACH-000939,-1.3709770640999999
ACH-000941,-1.1790924443000002
ACH-000943,-1.2517209518
ACH-000946,-1.35830505846
ACH-000947,-1.30747708573
ACH-000948,-1.17627995653
ACH-000950,-1.0741693918700002
ACH-000953,-1.12790604389
ACH-000957,-1.3033869202600001
ACH-000958,-1.12044507765
ACH-000960,-0.7989951258169999
ACH-000963,-1.4408695628400001
ACH-000968,-1.04874214136
ACH-000969,-1.03379417519
ACH-000973,-1.28763503747
ACH-000974,-1.09577997014
ACH-000975,-1.4660067610299998
ACH-000976,-1.13899356286
ACH-000978,-1.1505873917
ACH-000980,-1.13542669878
ACH-000984,-1.2019671109799999
ACH-000986,-1.22878892139
ACH-000988,-1.38340764685
ACH-000993,-1.2011701321100001
ACH-000994,-1.1760902820899999
ACH-000996,-1.35443898466
ACH-001001,-1.04735697822
ACH-001020,-1.26054118385
ACH-001028,-1.1574065433399998
ACH-001031,-1.16252208498
ACH-001038,-1.24056657885
ACH-001048,-1.35056674229
ACH-001050,-1.3130737559399999
ACH-001053,-1.26274544136
ACH-001054,-1.09707293843
ACH-001061,-1.11795257317
ACH-001067,-1.08352962586
ACH-001075,-1.4431031728400001
ACH-001096,-1.1879951130700002
ACH-001128,-1.1364247650900001
ACH-001134,-1.21105241471
ACH-001151,-1.26271485919
ACH-001163,-1.09129530017
ACH-001164,-1.11696316264
ACH-001173,-1.1261115352
ACH-001183,-1.35728423555
ACH-001184,-1.29511795731
ACH-001190,-1.1089036811700002
ACH-001192,-1.21287607956
ACH-001193,-1.09997050803
ACH-001196,-1.43361992622
ACH-001197,-1.05229618159
ACH-001205,-1.2464396808299998
ACH-001211,-1.0407526866299999
ACH-001212,-1.28940446742
ACH-001228,-1.39414695084
ACH-001232,-1.27156513086
ACH-001239,-0.956686928777
ACH-001274,-1.22017610117
ACH-001275,-0.947624175925
ACH-001277,-1.0531811639
ACH-001278,-1.08088812396
ACH-001280,-1.1827718412700001
ACH-001283,-1.20286424968
ACH-001289,-1.24214006695
ACH-001295,-1.2708509267399999
ACH-001300,-1.3277400224
ACH-001301,-1.3073481255600001
ACH-001302,-1.41860529528
ACH-001303,-1.24112744658
ACH-001306,-1.29029012914
ACH-001318,-1.21530351867
ACH-001322,-1.21272321688
ACH-001328,-1.1755172014
ACH-001332,-1.5046809239200003
ACH-001333,-1.28188176565
ACH-001336,-1.3906511602
ACH-001340,-1.1050517953799999
ACH-001346,-1.2012760157
ACH-001353,-1.1747009228
ACH-001354,-1.31117323505
ACH-001367,-1.28315060312
ACH-001368,-1.13916659892
ACH-001374,-1.0
ACH-001375,-1.31868123098
ACH-001377,-1.19218939146
ACH-001380,-1.18456216805
ACH-001391,-1.0273980260200002
ACH-001407,-1.26366451893
ACH-001408,-1.27879586551
ACH-001413,-1.3602101046500001
ACH-001430,-1.4158408442800001
ACH-001431,-1.11307290389
ACH-001450,-1.0683755668200001
