,CIRH1A (84916)
ACH-000004,-2.12056454186
ACH-000007,-1.70675455954
ACH-000009,-1.73640594091
ACH-000011,-2.0454558329599997
ACH-000012,-1.56684360437
ACH-000013,-2.0722256406099997
ACH-000014,-1.93251216162
ACH-000015,-1.8680007988799998
ACH-000017,-2.0557396670099997
ACH-000018,-1.86172411033
ACH-000019,-1.76746446627
ACH-000021,-1.9177017369999998
ACH-000022,-2.0904212498
ACH-000025,-1.58745085056
ACH-000028,-1.5291896802
ACH-000030,-1.9442645849000002
ACH-000035,-1.88871181168
ACH-000036,-1.60390051588
ACH-000037,-1.2095192451
ACH-000039,-1.96442222301
ACH-000040,-1.65348076563
ACH-000041,-2.0385563661700004
ACH-000042,-1.77390705655
ACH-000045,-2.06151114712
ACH-000047,-1.76546679074
ACH-000052,-1.9850527031099998
ACH-000053,-1.7123807306099998
ACH-000054,-1.8867589263599998
ACH-000055,-1.7559254525499999
ACH-000060,-1.7251073842200002
ACH-000067,-1.6920692340099999
ACH-000070,-1.7917586263799998
ACH-000075,-1.8501345070900002
ACH-000078,-2.02452453729
ACH-000082,-2.0326918820599995
ACH-000085,-1.7883791232599997
ACH-000086,-1.66817019711
ACH-000087,-1.8088196752
ACH-000092,-1.68661363143
ACH-000095,-2.0207679441599997
ACH-000097,-1.6915392997499998
ACH-000098,-2.22687739176
ACH-000099,-1.8430947407
ACH-000108,-1.84298814727
ACH-000113,-1.64411274274
ACH-000115,-1.2871139068700002
ACH-000116,-1.80602167996
ACH-000118,-1.6040721449200002
ACH-000120,-1.6672527305200002
ACH-000123,-1.69731947119
ACH-000127,-1.76473012301
ACH-000128,-2.0440462087599998
ACH-000132,-1.6923697677
ACH-000133,-1.7237422752200002
ACH-000137,-1.91710548479
ACH-000138,-1.9451617796400003
ACH-000142,-1.76545123658
ACH-000143,-1.89178124775
ACH-000146,-2.01860604539
ACH-000148,-1.8783677323900003
ACH-000150,-2.11340953616
ACH-000152,-1.92067501328
ACH-000153,-1.5837718440200002
ACH-000159,-1.71969876961
ACH-000160,-2.2756279670099997
ACH-000163,-1.74151482278
ACH-000167,-2.15582956078
ACH-000168,-1.72497695598
ACH-000169,-1.69478105847
ACH-000178,-1.7414923449000002
ACH-000182,-1.80020725863
ACH-000183,-2.02869113285
ACH-000188,-1.70383673984
ACH-000189,-1.50594360985
ACH-000190,-1.60718650119
ACH-000198,-1.7531739238599997
ACH-000204,-1.76955725855
ACH-000206,-1.71348566877
ACH-000207,-1.42758519835
ACH-000211,-1.8589540586099997
ACH-000215,-1.8938899785799999
ACH-000221,-1.7684587857900003
ACH-000222,-1.9045010510299998
ACH-000223,-1.4001657453
ACH-000226,-1.86333533471
ACH-000227,-1.8188235823199999
ACH-000228,-1.6381168088999998
ACH-000231,-1.9050105625
ACH-000232,-1.89518208504
ACH-000233,-1.9366867185699999
ACH-000234,-1.8774097072999998
ACH-000235,-1.82553907098
ACH-000237,-2.0602320717400002
ACH-000238,-1.8333176374900002
ACH-000243,-1.8353524070700002
ACH-000244,-1.72346553192
ACH-000246,-1.70987853116
ACH-000248,-1.8830199886
ACH-000250,-1.8491145174099999
ACH-000251,-1.8689005910299998
ACH-000253,-1.74201890455
ACH-000255,-1.4621011254299998
ACH-000256,-2.23430990882
ACH-000257,-1.7572770207700001
ACH-000258,-2.23383701868
ACH-000259,-1.96275839529
ACH-000260,-1.69782441324
ACH-000261,-1.9069033259200001
ACH-000262,-1.5989209063
ACH-000263,-1.7250305679599998
ACH-000264,-1.52981576445
ACH-000265,-1.80188089655
ACH-000266,-1.61192259037
ACH-000272,-1.79553127816
ACH-000273,-1.8250915105599999
ACH-000274,-1.8842799217900001
ACH-000277,-1.5030343931
ACH-000278,-2.1056039710900003
ACH-000279,-2.1043589069
ACH-000280,-1.7756413512400002
ACH-000281,-2.12770217901
ACH-000288,-1.9607549098400003
ACH-000291,-1.72393484607
ACH-000293,-1.82575333051
ACH-000294,-2.03074745853
ACH-000295,-1.81163997499
ACH-000296,-1.73927370417
ACH-000302,-2.07753906538
ACH-000304,-1.9403216192099997
ACH-000307,-1.95864302768
ACH-000308,-1.7721534084400001
ACH-000310,-2.0000161882799996
ACH-000311,-2.25065506676
ACH-000312,-1.72755491037
ACH-000315,-1.7584821235099999
ACH-000316,-1.8734889376
ACH-000317,-2.0686817499
ACH-000318,-1.7429891694400002
ACH-000319,-1.76282082957
ACH-000320,-1.92933401091
ACH-000322,-1.92019437435
ACH-000323,-1.6767800876499999
ACH-000324,-1.832041732
ACH-000329,-2.08519137059
ACH-000330,-1.9507779514099997
ACH-000331,-1.51297067505
ACH-000332,-1.87439080413
ACH-000334,-2.28791903242
ACH-000335,-1.8453588868200002
ACH-000336,-2.30506849077
ACH-000337,-1.96672384872
ACH-000339,-1.96076826018
ACH-000341,-2.45497445363
ACH-000348,-1.70820062427
ACH-000350,-2.1697339919
ACH-000352,-1.9278127404700003
ACH-000356,-1.7329595600299998
ACH-000361,-2.19924242064
ACH-000362,-2.03289447841
ACH-000363,-2.20721158313
ACH-000364,-1.57908903004
ACH-000365,-1.8369974596
ACH-000366,-1.9767102227000002
ACH-000368,-1.8295745531
ACH-000374,-1.7675676756
ACH-000375,-2.0194622616299998
ACH-000376,-1.7711105840999999
ACH-000381,-1.8162209970200003
ACH-000383,-2.0622967326099997
ACH-000387,-1.70387616839
ACH-000389,-1.67697732491
ACH-000390,-1.8184298646700001
ACH-000393,-1.5742815632799998
ACH-000395,-1.63450927554
ACH-000397,-1.8949873009
ACH-000401,-1.90773528338
ACH-000402,-1.9115575692900002
ACH-000403,-1.63513004176
ACH-000404,-1.7879398045599997
ACH-000406,-1.95492983315
ACH-000407,-1.7143431679299999
ACH-000408,-1.60221294504
ACH-000410,-1.74361496132
ACH-000411,-1.5761403541999999
ACH-000414,-2.07431429187
ACH-000415,-1.83883866871
