,TFB2M (64216)
ACH-000004,-0.707126879786
ACH-000007,-0.698888922798
ACH-000009,-0.8652309523839999
ACH-000011,-0.463338101858
ACH-000012,-0.8792014942149999
ACH-000013,-0.776874626641
ACH-000014,-0.554202660395
ACH-000015,-0.7637995448980001
ACH-000017,-0.49971290241899996
ACH-000018,-1.34379864878
ACH-000019,-0.525339126373
ACH-000021,-0.621447805039
ACH-000022,-0.9052095050740001
ACH-000025,-0.7841513761200001
ACH-000028,-0.731848753689
ACH-000030,-0.7209145369059999
ACH-000035,-0.554223252897
ACH-000036,-0.44091348190800006
ACH-000037,-0.797418974129
ACH-000039,-0.605274417444
ACH-000040,-0.593504727166
ACH-000041,-0.578056273429
ACH-000042,-0.563521415655
ACH-000045,-0.72482643428
ACH-000047,-0.7817713543800001
ACH-000052,-0.531953758458
ACH-000053,-0.43995912943300003
ACH-000054,-0.725508365759
ACH-000055,-0.7201409676739999
ACH-000060,-0.596007766419
ACH-000067,-0.417787487375
ACH-000070,-0.7877671113179999
ACH-000075,-0.461106303918
ACH-000078,-0.743930519065
ACH-000082,-0.7460660925
ACH-000085,-0.611364079433
ACH-000086,-1.14554688491
ACH-000087,-0.986700896931
ACH-000092,-0.485760066714
ACH-000095,-0.384543423785
ACH-000097,-0.41739667402900005
ACH-000098,-0.554598349885
ACH-000099,-0.606041199939
ACH-000108,-0.44049961035199997
ACH-000113,-0.399575639518
ACH-000115,-0.8819904729320001
ACH-000116,-0.739710346451
ACH-000118,-0.8920758064450001
ACH-000120,-0.531190547312
ACH-000123,-0.7589744817919999
ACH-000127,-1.17354829716
ACH-000128,-0.741951798225
ACH-000132,-0.633606208377
ACH-000133,-0.607242845417
ACH-000137,-0.552754408168
ACH-000138,-0.587705104342
ACH-000142,-0.5854685917970001
ACH-000143,-0.7753768729289999
ACH-000146,-0.5717542921809999
ACH-000148,-0.768136453201
ACH-000150,-1.10398432999
ACH-000152,-0.689904020108
ACH-000153,-0.9286867501170001
ACH-000159,-0.655988899317
ACH-000160,-0.8505608134710001
ACH-000163,-0.790304379022
ACH-000167,-0.679244853826
ACH-000168,-0.5209907236399999
ACH-000169,-0.780095776207
ACH-000178,-0.8624702299779999
ACH-000182,-0.7367344867910001
ACH-000183,-0.637776506049
ACH-000188,-0.657919462153
ACH-000189,-0.9531849849349999
ACH-000190,-0.855629029244
ACH-000198,-0.66290087213
