,SMYD5 (10322)
ACH-000460,0.0206935550357
ACH-000461,-0.226770001651
ACH-000463,-0.317711056162
ACH-000464,-0.141836011293
ACH-000466,-0.183087757441
ACH-000467,-0.252439972161
ACH-000468,0.10256360189500001
ACH-000469,-0.172627147229
ACH-000470,-0.0575304593049
ACH-000471,-0.17196674309300003
ACH-000472,-0.15288468282099998
ACH-000473,-0.153628904781
ACH-000475,-0.15647906433
ACH-000476,-0.0743262606112
ACH-000477,-0.23954323030900002
ACH-000480,-0.161814665718
ACH-000481,-0.08467133828989999
ACH-000483,-0.256203327484
ACH-000484,-0.270059460364
ACH-000485,-0.0807295987082
ACH-000486,-0.27838868351999996
ACH-000487,0.00504782311218
ACH-000488,-0.336189085925
ACH-000490,-0.23107099850200002
ACH-000491,-0.35613415923299996
ACH-000495,-0.339120205705
ACH-000496,-0.14375285168
ACH-000499,-0.278204181851
ACH-000500,-0.8384385760619999
ACH-000502,-0.169094988551
ACH-000503,-0.41712785082500003
ACH-000505,-0.151004089331
ACH-000507,-0.0973345221892
ACH-000510,-0.0845453855691
ACH-000511,-0.0996463747268
ACH-000512,-0.36008183350699996
ACH-000516,-0.18775300147399998
ACH-000517,-0.133219345475
ACH-000518,-0.09968239066839998
ACH-000520,-0.390886776009
ACH-000521,-0.11883083360999999
ACH-000522,-0.36339049247500005
ACH-000524,-0.0468292673043
ACH-000527,-0.150919778636
ACH-000528,-0.020171253752
ACH-000537,-0.176782205953
ACH-000541,-0.414989106624
ACH-000542,-0.128587253656
ACH-000544,-0.178824241719
ACH-000545,-0.208524580365
ACH-000547,-0.286299821965
ACH-000548,-0.13034885872500002
ACH-000549,-0.0558775279132
ACH-000550,-0.234471747511
ACH-000552,-0.267960572853
ACH-000556,-0.178484978205
ACH-000557,-0.0800308724295
ACH-000570,-0.107137363174
ACH-000571,0.00043123752359
ACH-000573,-0.0342333966568
ACH-000576,-0.14278019968900002
ACH-000580,-0.378966407583
ACH-000584,-0.160590158738
ACH-000585,-0.0213423881719
ACH-000588,-0.19861885077599997
ACH-000589,-0.190518662414
ACH-000591,-0.191046471065
ACH-000593,-0.159422144297
ACH-000600,-0.15881331718
ACH-000601,-0.20034188099199998
ACH-000604,-0.307801988705
ACH-000605,-0.173474131653
ACH-000606,-0.203787881789
ACH-000608,-0.0458886070158
ACH-000614,0.10882509869200001
ACH-000616,-0.35964577085500005
ACH-000618,-0.30781303440200003
ACH-000619,-0.370586459511
ACH-000620,-0.0886898844874
ACH-000621,-0.12971241298699998
ACH-000622,-0.121672037426
ACH-000623,-0.23354525951400001
ACH-000624,-0.19654635989900002
ACH-000627,-0.13573182363800002
ACH-000630,-0.305373092509
ACH-000632,-0.276118015857
ACH-000633,-0.31962301859000003
ACH-000637,-0.224040706076
