,MYF5 (4617)
ACH-000004,-0.151380607175
ACH-000007,-0.177435487951
ACH-000009,-0.224447680093
ACH-000011,-0.279836116679
ACH-000012,-0.10920332763599999
ACH-000013,-0.147516774882
ACH-000014,-0.17694695107900002
ACH-000015,-0.38661022376000004
ACH-000017,-0.09594281184530001
ACH-000018,-0.17793777998799998
ACH-000019,-0.44664695022900003
ACH-000021,-0.0775516663678
ACH-000022,-0.151679312952
ACH-000025,-0.383377267959
ACH-000028,-0.464397366662
ACH-000030,-0.186548167971
ACH-000035,-0.20095056681600001
ACH-000036,-0.17592402745299998
ACH-000037,-0.332926377696
ACH-000039,-0.09837047403210002
ACH-000040,-0.18359360021499999
ACH-000041,-0.5834599726749999
ACH-000042,-0.211379812378
ACH-000045,-0.181998918882
ACH-000047,-0.07860406512029999
ACH-000052,-0.30335906684700004
ACH-000053,-0.0995441776631
ACH-000054,-0.154256454745
ACH-000055,-0.125720997736
ACH-000060,-0.271137118209
ACH-000067,-0.22945961956900002
ACH-000070,-0.151252697349
ACH-000075,-0.0107353047512
ACH-000078,-0.10698301984200001
ACH-000082,-0.438288588999
ACH-000085,-0.151466254573
ACH-000086,-0.383302084792
ACH-000087,-0.596875252215
ACH-000092,-0.145627859942
ACH-000095,-0.207936659292
ACH-000097,-0.20592969286499999
ACH-000098,-0.214296833474
ACH-000099,-0.263192450548
ACH-000108,-0.21469554682
ACH-000113,-0.191337657773
ACH-000115,-0.20222659583900002
ACH-000116,-0.21214601679200001
ACH-000118,-0.166636247273
ACH-000120,-0.188981741887
ACH-000123,-0.19219518259100002
ACH-000127,-0.221707038238
ACH-000128,-0.08937188185869999
ACH-000132,-0.222701427348
ACH-000133,-0.39943409786399997
ACH-000137,-0.372973697426
ACH-000138,-0.21255877381299998
ACH-000142,-0.23105227836599998
ACH-000143,-0.30713877002900003
ACH-000146,-0.216834951595
ACH-000148,-0.204056222145
ACH-000150,-0.335400564472
ACH-000152,-0.351119914444
ACH-000153,-0.13852531435100002
ACH-000159,-0.09915988245960002
ACH-000160,-0.0985857785006
ACH-000163,-0.372943671339
ACH-000167,-0.119797039142
ACH-000168,-0.35616514346199996
ACH-000169,-0.23777968954599998
ACH-000178,-0.186957279296
ACH-000182,-0.200072491979
ACH-000183,-0.17163888779
ACH-000188,-0.37522642338699996
ACH-000189,-0.11762552802000001
ACH-000190,-0.164018347408
ACH-000198,-0.335124925238
ACH-000204,-0.306980603154
ACH-000206,-0.13441884832
ACH-000207,0.00030382689984599995
ACH-000211,-0.240265145046
ACH-000215,-0.23311212331099998
ACH-000221,-0.32469538421599997
ACH-000222,-0.21978701031999998
ACH-000223,-0.35945561779
ACH-000226,-0.262906537271
ACH-000227,-0.129915387115
ACH-000228,-0.283555855619
ACH-000231,-0.274503633552
ACH-000232,-0.205254600429
ACH-000233,-0.210557397144
ACH-000234,-0.492979582664
ACH-000235,-0.251557869492
ACH-000237,-0.47301227756399994
ACH-000238,-0.31824059789299997
ACH-000243,-0.112354243115
ACH-000244,-0.17091242563700001
ACH-000246,-0.12832206636600002
ACH-000248,-0.200803454032
ACH-000250,-0.186519846074
ACH-000251,-0.37143907903800005
ACH-000253,-0.0894282313662
ACH-000255,-0.28428842050500003
ACH-000256,-0.25350142114700003
ACH-000257,-0.373586613161
ACH-000258,-0.130367786589
ACH-000259,-0.170200590486
ACH-000260,-0.173942320844
ACH-000261,-0.200034414551
ACH-000262,-0.251093682584
ACH-000263,-0.259118887955
ACH-000264,-0.0655470076929
ACH-000265,-0.22723253243900002
ACH-000266,-0.232154388062
ACH-000272,-0.158725282453
ACH-000273,-0.005372779206329999
ACH-000274,-0.0344445529543
ACH-000277,-0.312095620086
ACH-000278,-0.57155050351
ACH-000279,-0.264484087417
ACH-000280,-0.253633403026
ACH-000281,-0.400229194956
ACH-000288,-0.153802599985
ACH-000291,-0.18104925031
ACH-000293,-0.05750354639190001
ACH-000294,-0.07529435060430001
ACH-000295,-0.0118078849154
ACH-000296,-0.183313795909
ACH-000302,-0.10491404145099999
ACH-000304,-0.057585755045600005
ACH-000307,-0.14738556662799998
ACH-000308,-0.0965959506386
ACH-000310,-0.10898478493
ACH-000311,-0.0503464110642
ACH-000312,-0.214020074135
ACH-000315,-0.211179139242
ACH-000316,-0.226621144784
ACH-000317,-0.320316162764
ACH-000318,-0.298670004822
ACH-000319,-0.302076047343
ACH-000320,-0.323183797564
ACH-000322,-0.179594429426
ACH-000323,-0.0992354889854
ACH-000324,-0.24489095905799999
ACH-000329,-0.15011989385399999
ACH-000330,-0.219242043846
ACH-000331,-0.18614645226
ACH-000332,-0.203761344527
ACH-000334,-0.10461933063500001
ACH-000335,-0.297345215064
ACH-000336,-0.158840987818
ACH-000337,-0.0573363784677
ACH-000339,-0.299109224146
ACH-000341,-0.113555749158
ACH-000348,-0.296390070461
ACH-000350,-0.021526697718
ACH-000352,-0.09243289943579999
ACH-000356,-0.21513831963100002
ACH-000361,-0.221067559404
ACH-000362,-0.238444752682
ACH-000363,-0.0739357028962
ACH-000364,-0.185694951017
ACH-000365,-0.19042935622499998
ACH-000366,-0.173566954694
ACH-000368,-0.31161899136
ACH-000374,-0.220196581412
ACH-000375,-0.287486411482
ACH-000376,-0.153265053905
ACH-000381,-0.148149066036
ACH-000383,-0.231811990163
ACH-000387,-0.10884006609300001
ACH-000389,-0.2957878228
ACH-000390,-0.19161515337699997
ACH-000393,-0.24979539045000002
ACH-000395,-0.08666915696630001
ACH-000397,-0.0380412249933
ACH-000401,-0.182824458163
ACH-000402,-0.402444946215
ACH-000403,-0.0288510714605
ACH-000404,-0.572343831588
ACH-000406,-0.23941563943900002
ACH-000407,-0.347468574282
ACH-000408,-0.204190368972
ACH-000410,-0.31080700017499996
ACH-000411,-0.296345115765
ACH-000414,-0.197858378802
ACH-000415,-0.20951202304000002
ACH-000416,-0.18694632047
ACH-000420,-0.40849441445699997
ACH-000421,-0.22656528885000002
ACH-000424,-0.455437398863
ACH-000425,-0.27405257281999995
ACH-000426,-0.03959182930169999
ACH-000427,-0.10527799819599999
ACH-000433,-0.13000056571
ACH-000436,0.021722532878099998
ACH-000444,-0.33325346088
ACH-000445,-0.441329831598
ACH-000448,-0.330376468202
ACH-000450,-0.18519842452399998
ACH-000452,-0.254155801082
ACH-000454,-0.400870754185
ACH-000458,-0.08282262042989999
ACH-000459,-0.155092398655
ACH-000460,-0.124786941962
ACH-000461,-0.21401746815699998
ACH-000463,-0.235325381162
ACH-000464,-0.19679932046
ACH-000466,-0.0877496989713
ACH-000467,-0.147815228608
ACH-000468,-0.243830678123
ACH-000469,-0.222235445553
ACH-000470,-0.16884581712299998
ACH-000471,-0.122524350859
ACH-000472,-0.24561015545899997
ACH-000473,-0.362673513085
ACH-000475,-0.16913077834100002
ACH-000476,-0.148403412506
ACH-000477,-0.0597587590233
ACH-000480,-0.33519185892
ACH-000481,-0.196665460139
ACH-000483,-0.19285374769900002
ACH-000484,-0.019484643623099998
ACH-000485,-0.210544917254
ACH-000486,-0.222558331373
ACH-000487,-0.017053909755
ACH-000488,-0.13393141842
ACH-000490,-0.234516795808
ACH-000491,-0.0484397345401
ACH-000495,-0.145621126134
ACH-000496,-0.173067232984
ACH-000499,-0.482622786785
ACH-000500,-0.28406150915999995
ACH-000502,-0.20033763448
ACH-000503,-0.249698081084
ACH-000505,-0.1928473536
ACH-000507,0.052195773576800004
ACH-000510,-0.142059255178
ACH-000511,-0.255557032517
ACH-000512,-0.28910494881
ACH-000516,-0.270744512503
ACH-000517,-0.178124776645
ACH-000518,-0.202598933772
ACH-000520,-0.40815470064099996
ACH-000521,-0.250602330496
ACH-000522,-0.258711398338
ACH-000524,-0.270698900408
ACH-000527,-0.232597248406
ACH-000528,-0.223129212003
ACH-000537,-0.133258748906
ACH-000541,-0.0871804384565
ACH-000542,-0.22824113608399998
ACH-000544,-0.441164588253
ACH-000545,-0.319901017794
ACH-000547,-0.20406575981
ACH-000548,-0.016591962951
ACH-000549,-0.252857643318
ACH-000550,-0.307523801786
ACH-000552,-0.165879913648
ACH-000556,-0.153453789308
ACH-000557,0.0558891924033
ACH-000570,-0.21391732191399998
ACH-000571,-0.278098840377
ACH-000573,-0.193155437965
ACH-000576,-0.185188558711
ACH-000580,-0.167220286009
ACH-000584,-0.304841676129
ACH-000585,-0.20549263307500001
ACH-000588,-0.09898892101500001
ACH-000589,-0.143453678252
ACH-000591,-0.34295100856
ACH-000593,-0.356935619982
ACH-000600,-0.22024457311
ACH-000601,-0.22667489512699998
ACH-000604,-0.168943415792
ACH-000605,-0.29164825035999997
ACH-000606,-0.217426132091
ACH-000608,-0.13626082594
ACH-000614,-0.18907996663600002
ACH-000616,-0.346337276044
ACH-000618,-0.168378386033
ACH-000619,-0.0636632490781
ACH-000620,-0.234562010484
ACH-000621,-0.160348349635
ACH-000622,-0.465270356394
ACH-000623,-0.162089611029
ACH-000624,-0.252552256869
ACH-000627,-0.177306197449
ACH-000630,-0.196459353757
ACH-000632,-0.324518916545
ACH-000633,-0.0757036206475
ACH-000637,-0.154284239304
