,CLTB (1212)
ACH-000004,-0.20445396301
ACH-000007,-0.23678103208
ACH-000009,-0.289307833969
ACH-000011,-0.244210299686
ACH-000012,-0.250478388783
ACH-000013,-0.23435782886700002
ACH-000014,-0.200364277502
ACH-000015,-0.247156372098
ACH-000017,-0.10735552771500001
ACH-000018,-0.317471351786
ACH-000019,-0.38382594561899996
ACH-000021,-0.26676837321400004
ACH-000022,-0.247212076373
ACH-000025,-0.139941207401
ACH-000028,-0.16887224065099998
ACH-000030,-0.314644970358
ACH-000035,-0.634652814818
ACH-000036,-0.39006658520599996
ACH-000037,-0.43649138691699996
ACH-000039,-0.584689644839
ACH-000040,-0.29650584520100004
ACH-000041,-0.194316849997
ACH-000042,-0.14159980065199998
ACH-000045,-0.135133433318
ACH-000047,-0.396705873644
ACH-000052,-0.8094037314650001
ACH-000053,-0.282560460981
ACH-000054,-0.47457670782600003
ACH-000055,-0.305758964253
ACH-000060,-0.285668024531
ACH-000067,-0.27101768007
ACH-000070,-0.40165282791100004
ACH-000075,-0.244369842745
ACH-000078,-0.228481319188
ACH-000082,-0.369605287765
ACH-000085,-0.399836756467
ACH-000086,-0.431082827052
ACH-000087,-0.259798604646
ACH-000092,-0.259911386561
ACH-000095,-0.210845212299
ACH-000097,-0.282300101483
ACH-000098,-0.291516683229
ACH-000099,-0.323430331026
ACH-000108,-0.227192287705
ACH-000113,-0.158788591693
ACH-000115,-0.35066536099600004
ACH-000116,-0.318271538572
ACH-000118,-0.10613745948999999
ACH-000120,-0.306297366895
ACH-000123,-0.298793748448
ACH-000127,-0.417771762439
ACH-000128,-0.28651021992
ACH-000132,-0.344964084183
ACH-000133,-0.287867416168
ACH-000137,-0.416245643437
ACH-000138,-0.148566433138
ACH-000142,-0.289186507135
ACH-000143,-0.36593077757
ACH-000146,-0.223033949349
ACH-000148,-0.280533813079
ACH-000150,-0.58139967232
ACH-000152,-0.318696644122
ACH-000153,-0.283525369736
ACH-000159,-0.19449794113899999
ACH-000160,-0.40075916311800003
ACH-000163,-0.236370964974
ACH-000167,-0.517286992184
ACH-000168,-0.245601013649
ACH-000169,-0.39523360672200003
ACH-000178,-0.446676731479
