,PDE6C (5146)
ACH-000004,0.205379551531
ACH-000007,0.163452315199
ACH-000009,0.10007664126900001
ACH-000011,-0.0004718432712
ACH-000012,-0.028327564969900004
ACH-000013,0.09460916381500001
ACH-000014,-0.14736336243599998
ACH-000015,-0.189083219223
ACH-000017,-0.07168696585989999
ACH-000018,-0.28198082759
ACH-000019,0.231598352297
ACH-000021,-0.12427568227800001
ACH-000022,0.022336103887299997
ACH-000025,0.00846791127007
ACH-000028,0.137087049009
ACH-000030,0.09226974532539998
ACH-000035,0.0123610029327
ACH-000036,0.0864468578099
ACH-000037,0.128817850644
ACH-000039,-0.0781178101007
ACH-000040,-0.11508775460899999
ACH-000041,0.196087897594
ACH-000042,-0.0360136021119
ACH-000045,0.00922663221202
ACH-000047,0.0175596785737
ACH-000052,0.0441537599991
ACH-000053,0.06406565394489999
ACH-000054,0.14925347194
ACH-000055,-0.036506360523099995
ACH-000060,-0.049422313705400005
ACH-000067,-0.0655756551784
ACH-000070,-0.439986579981
ACH-000075,-0.18865807626800002
ACH-000078,0.0009503768812919998
ACH-000082,0.0191819911949
ACH-000085,0.31494636661200004
ACH-000086,-0.08645468693849999
ACH-000087,0.0203154672739
ACH-000092,0.15572436036499998
ACH-000095,0.117740305371
ACH-000097,0.06431769799340001
ACH-000098,-0.072855761873
ACH-000099,0.107060338465
ACH-000108,0.04526089107819999
ACH-000113,-0.0357965318329
ACH-000115,-0.018910697770599998
ACH-000116,0.139646062407
ACH-000118,-0.0559750301686
ACH-000120,-0.07295330559560001
ACH-000123,0.0734211934433
ACH-000127,-0.0260383627833
ACH-000128,0.105853565689
ACH-000132,0.110897062684
ACH-000133,0.017281299143299997
ACH-000137,0.0876967582381
ACH-000138,-0.00889705061214
ACH-000142,0.0568254691256
ACH-000143,0.11028745800300001
ACH-000146,0.00730845397959
ACH-000148,-0.127273154123
ACH-000150,-0.055496100756099995
ACH-000152,-0.055001938280300006
ACH-000153,0.131291142908
ACH-000159,0.0920162552468
ACH-000160,-0.070186742639
ACH-000163,0.046924689581199996
ACH-000167,0.10603914224
ACH-000168,0.0451400083147
ACH-000169,-0.150970638248
ACH-000178,0.0401284533934
ACH-000182,-0.0321193695885
ACH-000183,0.007428637934590001
ACH-000188,-0.0303583294122
ACH-000189,0.327066943021
ACH-000190,-0.193581914837
ACH-000198,-0.05367175258230001
ACH-000204,-0.0950913748617
ACH-000206,0.0344138715037
ACH-000207,0.14621816660599998
ACH-000211,-0.137310085987
ACH-000215,0.0394080358711
