,RFC2 (5982)
ACH-000004,-1.9501064082099997
ACH-000007,-1.28820027862
ACH-000009,-1.69016959674
ACH-000011,-1.6546713807799998
ACH-000012,-1.58952101634
ACH-000013,-1.84916952863
ACH-000014,-1.63627941072
ACH-000015,-1.7038529184600002
ACH-000017,-1.64835138273
ACH-000018,-1.61252163107
ACH-000019,-1.43359146938
ACH-000021,-1.71827426337
ACH-000022,-1.82851693961
ACH-000025,-1.50522034416
ACH-000028,-1.35650403222
ACH-000030,-1.5789853945200003
ACH-000035,-1.67260028111
ACH-000036,-1.5238575231799998
ACH-000037,-1.5595376662600002
ACH-000039,-1.9248826013799998
ACH-000040,-1.51754863873
ACH-000041,-1.71848580075
ACH-000042,-1.5763726241999998
ACH-000045,-1.61534115597
ACH-000047,-1.4575886649
ACH-000052,-1.72207269898
ACH-000053,-1.52968951657
ACH-000054,-1.54137560374
ACH-000055,-1.90133387634
ACH-000060,-1.47652431959
ACH-000067,-1.52219446898
ACH-000070,-1.7807736913699999
ACH-000075,-1.45033849569
ACH-000078,-1.83989296034
ACH-000082,-1.8289009425999998
ACH-000085,-1.6554452931299999
ACH-000086,-1.4976108126299998
ACH-000087,-1.44048775057
ACH-000092,-1.61544518567
ACH-000095,-1.9778569189200002
ACH-000097,-1.6335888285299998
ACH-000098,-1.60220051833
ACH-000099,-1.55499638287
ACH-000108,-1.68881839442
ACH-000113,-1.56999989135
ACH-000115,-0.9757744839020001
ACH-000116,-1.9456548732199999
ACH-000118,-1.36339126058
ACH-000120,-1.61411522127
ACH-000123,-1.58686862514
ACH-000127,-1.6122347651700002
ACH-000128,-1.6660895473100001
ACH-000132,-1.55782095758
ACH-000133,-1.74864206132
ACH-000137,-1.8927286289200003
ACH-000138,-1.50898385967
ACH-000142,-1.57030640609
ACH-000143,-1.51539851183
ACH-000146,-2.0526162549
ACH-000148,-1.63209128264
ACH-000150,-1.5715325132
ACH-000152,-1.4635488734
ACH-000153,-1.25476193554
ACH-000159,-1.6006222624700002
ACH-000160,-2.2907100097799997
ACH-000163,-1.54103321644
ACH-000167,-1.5938723457100001
ACH-000168,-1.49483582639
ACH-000169,-1.44387088623
ACH-000178,-1.52451445974
ACH-000182,-1.55413280522
ACH-000183,-1.4942816248100002
ACH-000188,-1.5955296732
ACH-000189,-1.57054163224
ACH-000190,-1.7725296564
ACH-000198,-1.5622646752
ACH-000204,-1.52000367559
ACH-000206,-1.43738401607
ACH-000207,-1.8529450882499998
ACH-000211,-1.48470654735
ACH-000215,-1.7142359703499999
ACH-000221,-2.0001679629
ACH-000222,-1.7155177061200002
ACH-000223,-1.86959856099
ACH-000226,-1.64665049437
ACH-000227,-2.07505661301
ACH-000228,-1.5836067389
ACH-000231,-1.55265746284
ACH-000232,-1.6064013850999999
ACH-000233,-1.60361224313
ACH-000234,-1.52890369586
ACH-000235,-1.6634718125799999
ACH-000237,-1.5719556469
ACH-000238,-1.71273185535
ACH-000243,-1.46900429064
ACH-000244,-0.953302465295
ACH-000246,-1.40840756261
ACH-000248,-1.21518803856
ACH-000250,-1.43181020671
ACH-000251,-1.4735614244100002
ACH-000253,-1.64966066419
ACH-000255,-1.3942607019600002
ACH-000256,-1.95995056525
ACH-000257,-1.7018092007199999
ACH-000258,-1.27577466224
ACH-000259,-1.4350375176499999
ACH-000260,-1.4314945317899999
ACH-000261,-1.65202482608
ACH-000262,-1.4048925579799998
ACH-000263,-1.9023274357900002
ACH-000264,-1.7876956342299999
ACH-000265,-1.51235698618
ACH-000266,-1.43458759088
ACH-000272,-1.54350061483
ACH-000273,-1.67818719124
ACH-000274,-1.5423066186200003
ACH-000277,-1.4769764352599999
ACH-000278,-1.6387430313299998
ACH-000279,-1.7956192698400002
ACH-000280,-1.71613875667
ACH-000281,-1.72478939447
ACH-000288,-1.69137461521
ACH-000291,-1.7727952665
ACH-000293,-1.46928622833
ACH-000294,-1.9238124033000001
ACH-000295,-2.0061340866900004
ACH-000296,-1.46739014657
ACH-000302,-1.9381726984999998
ACH-000304,-1.15303776909
ACH-000307,-1.62423159643
ACH-000308,-1.92850373188
ACH-000310,-1.7443498231099999
ACH-000311,-1.22089911871
ACH-000312,-1.5707110959000001
ACH-000315,-1.9123255419799998
ACH-000316,-1.4703615456099999
ACH-000317,-1.56897087996
ACH-000318,-1.7753278088999997
ACH-000319,-1.85552510955
ACH-000320,-1.6872769641999998
ACH-000322,-1.4631545805200001
ACH-000323,-1.8027336906
ACH-000324,-1.62303834785
ACH-000329,-1.32848799117
ACH-000330,-1.7536942497599999
ACH-000331,-1.33079896928
ACH-000332,-1.4468752734700001
ACH-000334,-1.76044939588
ACH-000335,-1.55625366382
ACH-000336,-1.6419998091999999
ACH-000337,-1.79518886643
ACH-000339,-1.61912363558
ACH-000341,-1.7707571224400003
ACH-000348,-1.6426143431400002
ACH-000350,-1.6059566906
ACH-000352,-1.71389628553
ACH-000356,-1.71991414333
ACH-000361,-1.8385593510799998
ACH-000362,-1.8351967832700002
ACH-000363,-1.45837286961
ACH-000364,-1.7412456195599997
ACH-000365,-1.60794857627
ACH-000366,-1.64217760227
ACH-000368,-1.54275801652
ACH-000374,-1.8744590156999998
ACH-000375,-1.36837828898
ACH-000376,-1.54666432588
ACH-000381,-1.8468282760699999
ACH-000383,-1.7826682898599997
ACH-000387,-1.79081336197
ACH-000389,-1.57551342817
ACH-000390,-1.68165959056
ACH-000393,-1.67541705505
ACH-000395,-1.9222513443400002
ACH-000397,-1.55494207995
ACH-000401,-1.77522587338
ACH-000402,-1.5485240773
ACH-000403,-1.61239516076
ACH-000404,-1.30055402878
ACH-000406,-1.69780974127
ACH-000407,-1.57355668467
ACH-000408,-1.88712995943
ACH-000410,-1.6129582549500001
ACH-000411,-1.3826357721200002
ACH-000414,-1.70896743512
ACH-000415,-1.78894961275
ACH-000416,-1.73747238467
ACH-000420,-1.3387723144299999
ACH-000421,-1.5880487187099999
ACH-000424,-1.59577917058
ACH-000425,-1.19465335691
ACH-000426,-1.21231762143
ACH-000427,-1.23633444748
ACH-000433,-1.4454584474399998
ACH-000436,-1.3263342492
ACH-000444,-1.6313671255899997
ACH-000445,-1.51553371591
ACH-000448,-1.7936077778
ACH-000450,-1.34113681749
ACH-000452,-1.7478244485900003
ACH-000454,-1.7437826706200001
ACH-000458,-1.50835114972
ACH-000459,-1.06844336438
ACH-000460,-1.37468088229
ACH-000461,-1.5952833705899998
ACH-000463,-1.50692605348
ACH-000464,-1.59753314551
ACH-000466,-1.77493581403
ACH-000467,-1.35817288285
ACH-000468,-1.43587935875
ACH-000469,-1.73733060593
ACH-000470,-1.7374960930400003
ACH-000471,-1.54963064266
ACH-000472,-1.69761678859
ACH-000473,-1.64614729745
ACH-000475,-1.6628420477399999
ACH-000476,-1.5033113897200001
ACH-000477,-0.978478576361
ACH-000480,-1.5436962937999998
ACH-000481,-1.80981013113
ACH-000483,-1.9095237888999999
ACH-000484,-1.1851605134999998
ACH-000485,-1.57507364812
ACH-000486,-1.45622061322
ACH-000487,-1.4327322908700002
ACH-000488,-1.5423112457600001
ACH-000490,-1.5050574968000001
ACH-000491,-1.4860268411500002
ACH-000495,-1.3497688790200002
ACH-000496,-1.44255161657
ACH-000499,-1.63014364158
ACH-000500,-1.99515574652
ACH-000502,-1.6033206541299998
ACH-000503,-1.7732164846
ACH-000505,-1.70715127465
ACH-000507,-1.4479095273
