,ESR1 (2099)
ACH-000004,0.0916548262582
ACH-000007,-0.243309333663
ACH-000009,-0.0571725131553
ACH-000011,-0.212883574703
ACH-000012,-0.261876427837
ACH-000013,-0.07332433505310001
ACH-000014,-0.007099265915840001
ACH-000015,-0.022265127727900003
ACH-000017,-0.035725717549300005
ACH-000018,-0.137635849991
ACH-000019,-1.20989311497
ACH-000021,-0.296250093436
ACH-000022,-0.145599712391
ACH-000025,0.011853763348299998
ACH-000028,-0.746227928511
ACH-000030,-0.15635549706399998
ACH-000035,0.0435985901751
ACH-000036,-0.11940096579000002
ACH-000037,-0.155672456388
ACH-000039,-0.458640298865
ACH-000040,-0.12891717000800001
ACH-000041,0.10152697963099999
ACH-000042,-0.406153818349
ACH-000045,-0.0325985310992
ACH-000047,-0.136594519573
ACH-000052,-0.275689042575
ACH-000053,-0.16290174009299999
ACH-000054,-0.0033964759645200003
ACH-000055,-0.20540609029800003
ACH-000060,-0.33942749653899995
ACH-000067,-0.0381136390564
ACH-000070,-0.222218202655
ACH-000075,0.0343756331205
ACH-000078,0.0500555196913
ACH-000082,-0.141353245223
ACH-000085,-0.00200708771892
ACH-000086,0.055086529872399995
ACH-000087,0.000389610401143
ACH-000092,-0.108039079729
ACH-000095,-0.248933406609
ACH-000097,-0.631292233347
ACH-000098,-0.067828270126
ACH-000099,-0.0832954864475
ACH-000108,-0.0471609401984
ACH-000113,-0.0759719349011
ACH-000115,-0.118184465868
ACH-000116,-0.170754725118
ACH-000118,-0.25026304553
ACH-000120,-0.0393269557062
ACH-000123,-0.0933365486083
ACH-000127,-0.0434409582424
ACH-000128,-0.225570719559
ACH-000132,-0.157375272238
ACH-000133,-0.023913804299699998
ACH-000137,-0.10462797231599999
ACH-000138,-0.032335245464599996
ACH-000142,0.154988601939
ACH-000143,-0.332665061739
ACH-000146,-0.0639038257142
ACH-000148,-0.034492211028
ACH-000150,-0.285379217214
ACH-000152,-0.034052228697599995
ACH-000153,-0.170704197116
ACH-000159,-0.11828886303099999
ACH-000160,0.033995074363099995
ACH-000163,-0.179521710882
ACH-000167,-0.178473206677
ACH-000168,-0.18812628250500002
ACH-000169,-0.06750364355119999
ACH-000178,-0.173307687654
ACH-000182,-0.046084313142
ACH-000183,-0.16920513805100001
ACH-000188,-0.128924860745
ACH-000189,-0.118454393959
ACH-000190,-0.32325343241
ACH-000198,0.00387745587873
ACH-000204,-0.113261401622
ACH-000206,-0.125723345091
ACH-000207,-0.205454687709
ACH-000211,-0.0219702212781
ACH-000215,-0.11101553931
ACH-000221,0.0164987702945
ACH-000222,-0.0990741987792
ACH-000223,-0.142314076337
ACH-000226,-0.19237565109700003
ACH-000227,0.184308983244
ACH-000228,-0.18410686008699997
ACH-000231,-0.041931585607
ACH-000232,-0.299472995129
ACH-000233,-0.0661466599412
ACH-000234,-0.201131644197
ACH-000235,-0.05645069226919999
ACH-000237,-0.0611152024245
ACH-000238,-0.06099742716730001
ACH-000243,-0.14452360482899998
ACH-000244,-0.235111771368
ACH-000246,-0.18848336869899998
ACH-000248,-0.218845307731
ACH-000250,-0.21073016883600001
ACH-000251,-0.062231361674300004
ACH-000253,-0.06547349972609999
ACH-000255,-0.254906355745
ACH-000256,-0.186977281699
ACH-000257,0.145940536112
ACH-000258,0.11098645101
ACH-000259,-0.157575411807
ACH-000260,-0.0640930784187
ACH-000261,-0.0971095908932
ACH-000262,-0.16903156470699998
ACH-000263,-0.12158028976600001
ACH-000264,-0.0241328435782
