,ALOXE3 (59344)
ACH-000004,-0.328255267322
ACH-000007,-0.305023870503
ACH-000009,-0.49597521377899995
ACH-000011,-0.041514772459
ACH-000012,-0.232504141054
ACH-000013,-0.22713055259599998
ACH-000014,-0.0814079909437
ACH-000015,-0.374542965326
ACH-000017,-0.14895633064000002
ACH-000018,-0.184957973035
ACH-000019,0.05325109600380001
ACH-000021,-0.144781981168
ACH-000022,-0.236231266125
ACH-000025,-0.165317018465
ACH-000028,-0.237833036429
ACH-000030,-0.124831908479
ACH-000035,-0.331022619919
ACH-000036,-0.055057102761399995
ACH-000037,-0.191773862599
ACH-000039,-0.254270300198
ACH-000040,-0.111138816316
ACH-000041,-0.306856562963
ACH-000042,-0.283051214531
ACH-000045,-0.138222666598
ACH-000047,-0.267023451831
ACH-000052,-0.116188905727
ACH-000053,-0.22792428620000002
ACH-000054,-0.139446136087
ACH-000055,-0.23480704846500003
ACH-000060,-0.206493233134
ACH-000067,-0.102172561567
ACH-000070,-0.0433168560254
ACH-000075,0.07134346129489999
ACH-000078,-0.19903685292399997
ACH-000082,-0.525069685445
ACH-000085,0.0177659976824
ACH-000086,-0.0333201311812
ACH-000087,-0.005644792711810001
ACH-000092,-0.0966677169595
ACH-000095,-0.12595819620999998
ACH-000097,-0.17059752883999998
ACH-000098,-0.237454957506
ACH-000099,-0.207637334443
ACH-000108,-0.35399275246699996
ACH-000113,-0.155198739918
ACH-000115,-0.0357339681276
ACH-000116,-0.224805786509
ACH-000118,-0.249580755021
ACH-000120,-0.24740741515
ACH-000123,-0.418288224328
ACH-000127,-0.21448378688499997
ACH-000128,-0.212593650995
ACH-000132,-0.175411439591
ACH-000133,-0.184804500093
ACH-000137,-0.11567230250499999
ACH-000138,-0.406409090953
ACH-000142,-0.251942550098
ACH-000143,0.0366201275625
ACH-000146,-0.195277135993
ACH-000148,-0.199393318593
ACH-000150,-0.210701897135
ACH-000152,-0.287822536619
ACH-000153,-0.0884051551725
ACH-000159,-0.08841119139289999
ACH-000160,-0.334343265636
ACH-000163,-0.22206381513700002
ACH-000167,-0.301504372236
ACH-000168,-0.397168307592
ACH-000169,-0.0610513716051
ACH-000178,-0.172365013308
ACH-000182,-0.14312280305400002
ACH-000183,-0.200534749021
ACH-000188,-0.43338540271000003
ACH-000189,-0.04334015399209999
ACH-000190,-0.245321691072
ACH-000198,-0.11472499633099999
ACH-000204,-0.189586317427
ACH-000206,-0.272431862157
ACH-000207,-0.153123366907
ACH-000211,-0.06995102979189999
ACH-000215,-0.283482498149
ACH-000221,-0.263224682516
ACH-000222,0.037700328004
ACH-000223,-0.12357932500800001
ACH-000226,-0.188800797429
ACH-000227,-0.0351877451062
ACH-000228,-0.20811232313
ACH-000231,-0.302887433609
ACH-000232,-0.186454534757
ACH-000233,-0.22071398964000002
ACH-000234,-0.00681673832559
ACH-000235,-0.26008777701900004
ACH-000237,-0.219258698519
ACH-000238,-0.20710600122499997
ACH-000243,-0.302210462563
ACH-000244,-0.392179201248
ACH-000246,-0.281128520765
ACH-000248,-0.253057991008
ACH-000250,-0.215792679925
ACH-000251,-0.39311994703500003
ACH-000253,-0.162456994542
ACH-000255,-0.168813616318
ACH-000256,-0.15493505456599999
ACH-000257,-0.117206868975
ACH-000258,-0.406143027609
ACH-000259,-0.165674912279
ACH-000260,-0.258003595953
ACH-000261,-0.186376606851
ACH-000262,-0.221489629192
ACH-000263,0.403886619988
ACH-000264,-0.196210836695
ACH-000265,-0.32975549363699996
ACH-000266,-0.25960739322
ACH-000272,-0.0547679145087
ACH-000273,0.025025266946099998
ACH-000274,-0.200885305082
ACH-000277,-0.219027016621
ACH-000278,-0.119525484059
ACH-000279,-0.23691695503199997
ACH-000280,-0.19258545741
ACH-000281,-0.312702262149
ACH-000288,-0.41270352952
ACH-000291,-0.156599042812
ACH-000293,-0.193157212311
ACH-000294,-0.16912754652399997
ACH-000295,-0.16453683863500002
ACH-000296,-0.20303072515099999
ACH-000302,-0.23422567323600002
ACH-000304,-0.0757338553324
ACH-000307,0.024047192606900004
ACH-000308,-0.189756017245
ACH-000310,-0.14435282701
ACH-000311,-0.164109973049
ACH-000312,-0.20908874008900002
ACH-000315,-0.272399010085
ACH-000316,-0.524415035769
ACH-000317,0.12198733164799999
ACH-000318,-0.19249529368299997
ACH-000319,-0.286885418929
ACH-000320,-0.407538859473
ACH-000322,-0.0230416884259
ACH-000323,-0.249699436793
ACH-000324,-0.216886515545
ACH-000329,-0.0926590786521
ACH-000330,-0.0400335431996
ACH-000331,-0.185943570855
ACH-000332,-0.269954746343
ACH-000334,0.265098616675
ACH-000335,0.188321925032
ACH-000336,-0.24761786895
ACH-000337,-0.31977163564
ACH-000339,-0.32476119097399997
ACH-000341,0.473272844556
ACH-000348,-0.017184785982099996
ACH-000350,-0.13169658831599998
ACH-000352,-0.200340458731
ACH-000356,-0.44526410601300004
ACH-000361,-0.0434046183353
ACH-000362,-0.22262527524999998
ACH-000363,-0.2053640207
ACH-000364,-0.337868265203
ACH-000365,-0.22527949254700003
ACH-000366,-0.325371492975
ACH-000368,-0.126014500527
ACH-000374,-0.1648613924
ACH-000375,-0.255891902713
ACH-000376,-0.19613391283
ACH-000381,-0.364886607547
ACH-000383,-0.258605842971
ACH-000387,-0.234805790136
ACH-000389,-0.141286626196
ACH-000390,0.0366355943387
ACH-000393,-0.31597922459600003
ACH-000395,-0.30362971755199997
ACH-000397,-0.053555633494800005
ACH-000401,0.0456779392057
ACH-000402,-0.0385267656406
ACH-000403,-0.09112320127979999
ACH-000404,-0.133586491077
ACH-000406,-0.234049959086
ACH-000407,-0.24589885223700003
ACH-000408,-0.19935532806899997
ACH-000410,-0.283062185171
ACH-000411,-0.14723186349700002
ACH-000414,-0.224413804557
ACH-000415,-0.291142511818
ACH-000416,-0.141315840845
ACH-000420,-0.282205255973
ACH-000421,-0.219925713089
ACH-000424,-0.20042092369199999
ACH-000425,0.0479116371114
ACH-000426,-0.242730776422
ACH-000427,-0.11756072193700001
ACH-000433,-0.11022098944499999
ACH-000436,-0.19916110787500002
ACH-000444,-0.15096689306299999
ACH-000445,-0.277606776404
ACH-000448,-0.18155087913100001
ACH-000450,0.0895051837249
ACH-000452,-0.231206539446
ACH-000454,-0.478294073962
ACH-000458,-0.11547261646700001
ACH-000459,-0.28105967456500003
ACH-000460,-0.181969478085
ACH-000461,0.0200447744406
ACH-000463,-0.282349889604
ACH-000464,-0.129455033924
ACH-000466,-0.09703262015219999
ACH-000467,-0.221722054813
ACH-000468,-0.418505483942
ACH-000469,-0.318278410361
ACH-000470,-0.0242315293967
ACH-000471,-0.267028346051
ACH-000472,-0.185047108336
ACH-000473,-0.169729187308
ACH-000475,-0.185277589414
ACH-000476,-0.155666930545
ACH-000477,0.055988568648199996
ACH-000480,-0.116451061031
ACH-000481,-0.254825947355
ACH-000483,-0.292173589157
ACH-000484,-0.297873262791
ACH-000485,-0.0888673885604
ACH-000486,-0.139053512818
ACH-000487,0.00113106573134
ACH-000488,-0.143369441889
ACH-000490,-0.0903394555224
ACH-000491,-0.394250201085
ACH-000495,0.132151928605
ACH-000496,-0.308767490666
ACH-000499,-0.12783357567099998
ACH-000500,-0.372059056938
ACH-000502,-0.26629604173300003
ACH-000503,-0.126350105873
ACH-000505,-0.195256773237
ACH-000507,-0.029177994314799997
ACH-000510,-0.176083323953
ACH-000511,0.0370014217847
ACH-000512,-0.0557066068487
ACH-000516,-0.0671591213421
ACH-000517,-0.211938744703
ACH-000518,-0.212304994951
ACH-000520,-0.239084276809
ACH-000521,-0.28121874842300004
ACH-000522,-0.053554934531800005
ACH-000524,-0.156480746213
ACH-000527,-0.292679638555
ACH-000528,-0.147233072823
ACH-000537,-0.09031143128939999
ACH-000541,-0.0342244592642
ACH-000542,-0.16815080985
ACH-000544,-0.108684089976
ACH-000545,-0.21022753740699998
ACH-000547,0.186810850094
ACH-000548,-0.06210520892680001
ACH-000549,-0.17045697808899998
ACH-000550,-0.440241311717
ACH-000552,-0.10352488843
ACH-000556,-0.2378650071
ACH-000557,-0.200719158004
ACH-000570,-0.0770383113525
ACH-000571,-0.271084507114
ACH-000573,-0.225808598071
ACH-000576,-0.107940975088
ACH-000580,-0.17823633903900002
ACH-000584,-0.134745794023
ACH-000585,-0.17609958825999997
ACH-000588,-0.297665444242
ACH-000589,-0.260033592891
ACH-000591,-0.211494148411
ACH-000593,-0.260697955937
ACH-000600,0.0626298092966
ACH-000601,-0.16931490107299998
ACH-000604,-0.582212491311
ACH-000605,-0.27218138777399997
ACH-000606,-0.125266820197
ACH-000608,-0.0537985154395
ACH-000614,-0.234161766679
ACH-000616,-0.07093572945439999
ACH-000618,-0.24268262309900002
ACH-000619,-0.157132697929
ACH-000620,-0.21687795514400002
ACH-000621,-0.398715897835
ACH-000622,-0.1873154074
ACH-000623,-0.30874023717300003
ACH-000624,-0.257563275992
ACH-000627,-0.152272155178
ACH-000630,-0.22824842952100002
ACH-000632,-0.247357591954
ACH-000633,-0.386099816405
ACH-000637,-0.0677489372676
ACH-000638,-0.237374790685
ACH-000646,-0.365396968231
ACH-000647,-0.13972743504899998
ACH-000648,0.072608945201
ACH-000649,-0.138234157741
ACH-000651,-0.211068677443
ACH-000652,-0.141189676735
ACH-000653,-0.297923533734
ACH-000657,-0.31163718512899996
ACH-000658,-0.10826512333300001
ACH-000661,-0.052926989696300004
ACH-000662,0.078551912363
ACH-000663,0.07604857195110001
ACH-000665,-0.24078998055
ACH-000671,-0.122424155898
ACH-000673,-0.203656814242
ACH-000676,-0.014462602035399999
ACH-000677,-0.142896559007
ACH-000681,-0.44276611368100005
ACH-000682,-0.215569702975
ACH-000683,-0.0951358291123
ACH-000684,-0.0472640516517
ACH-000688,-0.23484518320099998
ACH-000693,-0.190017026089
ACH-000694,-0.229977758385
ACH-000695,-0.15517187344
ACH-000696,-0.109766027689
ACH-000697,-0.17682084444899998
ACH-000699,-0.22645496101100002
