,KDM8 (79831)
ACH-000004,-0.449799455768
ACH-000007,-0.742974528335
ACH-000009,-0.37881642943000005
ACH-000011,-0.415466575867
ACH-000012,-0.645496245687
ACH-000013,-0.6763152613660001
ACH-000014,-0.900206849628
ACH-000015,-0.739128375242
ACH-000017,-0.691660769636
ACH-000018,-0.661463503697
ACH-000019,-0.639765076031
ACH-000021,-0.499462689936
ACH-000022,-0.455828921128
ACH-000025,-0.7296583964650001
ACH-000028,-0.8253258617939999
ACH-000030,-0.737736779855
ACH-000035,-0.647759786146
ACH-000036,-0.7836418333699999
ACH-000037,-1.0201461273999999
ACH-000039,-0.42827187856
ACH-000040,-0.945588004228
ACH-000041,-0.795965566565
ACH-000042,-0.51186114081
ACH-000045,-1.1025959109
ACH-000047,-0.4488568778
ACH-000052,-1.20330505183
ACH-000053,-0.139466682141
ACH-000054,-0.402223006682
ACH-000055,-0.87896356535
ACH-000060,-0.605755647918
ACH-000067,-0.601342510313
ACH-000070,-0.701097264269
ACH-000075,-0.683582982502
ACH-000078,-0.282031325143
ACH-000082,-0.65428921287
ACH-000085,-0.611510869677
ACH-000086,-0.71774952447
ACH-000087,-0.6877072257699999
ACH-000092,-1.15381174158
ACH-000095,-0.402398429932
ACH-000097,-0.375770698156
ACH-000098,-0.912832642164
ACH-000099,-0.462677090255
ACH-000108,-0.517826023566
ACH-000113,-0.832965354678
ACH-000115,-0.559221755371
ACH-000116,-0.456267446385
ACH-000118,-0.640073461848
ACH-000120,-0.734213812661
ACH-000123,-0.666170947203
ACH-000127,-0.769896738608
ACH-000128,-0.516605810814
ACH-000132,-0.36001781965
ACH-000133,-0.857360513795
ACH-000137,-0.543208519336
ACH-000138,-0.482258329652
ACH-000142,-0.6986814540690001
ACH-000143,-0.593563116985
ACH-000146,-0.103375912808
ACH-000148,-0.8506792583670001
ACH-000150,-0.9876173224070001
ACH-000152,-0.5432525906669999
ACH-000153,-0.652624911428
ACH-000159,-0.354706275828
ACH-000160,-0.522657961632
ACH-000163,-0.8036185420090001
ACH-000167,-0.300819018125
ACH-000168,-0.578867009124
ACH-000169,-0.280064304427
ACH-000178,-0.40448676815800005
ACH-000182,-0.31870922988
ACH-000183,-0.818365492704
ACH-000188,-0.88988585255
ACH-000189,-1.11206610144
ACH-000190,-0.6599073423899999
ACH-000198,-0.9753432548569999
ACH-000204,-0.616742778074
ACH-000206,-0.870627066806
ACH-000207,-1.1080949713600001
ACH-000211,-0.5770027271029999
ACH-000215,-0.9424042507260001
ACH-000221,-1.01681994419
ACH-000222,-0.6707507387789999
ACH-000223,-0.253433479822
ACH-000226,-0.736319032087
ACH-000227,-0.763368325794
ACH-000228,-0.515389026211
ACH-000231,-1.40608752371
ACH-000232,-0.261186878171
ACH-000233,-0.5563698539549999
ACH-000234,-0.363051603071
ACH-000235,-0.373560689489
ACH-000237,-0.5775090545699999
ACH-000238,-0.547093120726
ACH-000243,-0.691160124402
ACH-000244,-0.98464100596
ACH-000246,-0.38607331990099997
ACH-000248,-0.89608313499
ACH-000250,-0.878450381223
ACH-000251,-0.661443584848
ACH-000253,-0.646868450198
ACH-000255,-1.0193524032799999
ACH-000256,-0.493088580709
ACH-000257,-0.458662386303
ACH-000258,-0.822267832053
ACH-000259,-0.0608023199469
ACH-000260,-0.7964002036139999
ACH-000261,-0.7383344504449999
ACH-000262,-0.7405383873549999
ACH-000263,-0.9461034628839999
ACH-000264,-0.8500369551010001
ACH-000265,-1.0987014417
ACH-000266,-0.363462573805
ACH-000272,-0.406388778597
ACH-000273,-0.7573473746699999
ACH-000274,-0.6258913115020001
ACH-000277,-0.659122000902
ACH-000278,-0.24396045197299998
ACH-000279,-0.956827122148
ACH-000280,-0.5938727034660001
ACH-000281,-0.489436130199
ACH-000288,-1.05388122964
ACH-000291,-0.6271652933899999
ACH-000293,-0.5854707268930001
ACH-000294,-0.56297663976
ACH-000295,-0.7096677268610001
ACH-000296,-0.702964669621
ACH-000302,-0.280167239468
ACH-000304,-0.481552970224
ACH-000307,-0.762209223066
ACH-000308,-0.244905208225
ACH-000310,-0.09681774757960002
ACH-000311,-0.492610438478
ACH-000312,-0.583046101339
ACH-000315,-0.24422447350999998
ACH-000316,-0.862206587447
ACH-000317,-0.679232474243
ACH-000318,-0.6309941938600001
ACH-000319,-0.716706250751
ACH-000320,-0.528295976737
ACH-000322,-0.537744234695
ACH-000323,-0.704985749348
ACH-000324,-0.2697619237
ACH-000329,-0.722315733379
ACH-000330,-0.791140931275
ACH-000331,-0.8964502014040001
ACH-000332,-0.252523123279
ACH-000334,-0.572684485259
ACH-000335,-1.33171410746
