,GTF2E1 (2960)
ACH-000004,-1.4896060235600002
ACH-000007,-1.4001169607700001
ACH-000009,-1.32829183696
ACH-000011,-0.962182025073
ACH-000012,-0.992067025325
ACH-000013,-0.9038619140369999
ACH-000014,-1.13557636006
ACH-000015,-1.17916953814
ACH-000017,-1.00340852074
ACH-000018,-1.09659069763
ACH-000019,-1.08383972042
ACH-000021,-1.1707222772499999
ACH-000022,-1.12951456676
ACH-000025,-0.8560991587540001
ACH-000028,-0.9394440756710001
ACH-000030,-0.964168521007
ACH-000035,-1.2440740866600002
ACH-000036,-1.1545560919600002
ACH-000037,-0.321817781655
ACH-000039,-1.25661128846
ACH-000040,-0.9488383407100001
ACH-000041,-1.33202527127
ACH-000042,-1.0941788829999999
ACH-000045,-1.26265352027
ACH-000047,-1.25445888413
ACH-000052,-1.50583788353
ACH-000053,-1.22203695551
ACH-000054,-0.8616637495399999
ACH-000055,-1.12716743893
ACH-000060,-0.861741461285
ACH-000067,-1.3799304492500002
ACH-000070,-1.17992974661
ACH-000075,-1.00999514609
ACH-000078,-1.25203920213
ACH-000082,-1.1092520705600002
ACH-000085,-1.24803378778
ACH-000086,-1.10267414243
ACH-000087,-0.9323078673899999
ACH-000092,-0.91230610662
ACH-000095,-1.23283200425
ACH-000097,-1.2419346676799998
ACH-000098,-1.2238646938200002
ACH-000099,-1.25337076385
ACH-000108,-1.33274703972
ACH-000113,-1.18185254578
ACH-000115,-1.44817217004
ACH-000116,-1.19477984017
ACH-000118,-1.04697307905
ACH-000120,-1.24662357442
ACH-000123,-1.17507025835
ACH-000127,-0.780996410852
ACH-000128,-0.9847681479000001
ACH-000132,-1.40032096825
ACH-000133,-1.0616921304200002
ACH-000137,-1.07041112874
ACH-000138,-1.05681925204
ACH-000142,-0.984201197968
ACH-000143,-1.0533406858499998
ACH-000146,-1.1358957542399999
ACH-000148,-0.85296674356
ACH-000150,-0.708011179085
ACH-000152,-1.16007510305
ACH-000153,-1.59190898734
ACH-000159,-1.38306411974
ACH-000160,-0.8092972469290001
ACH-000163,-1.08331174826
ACH-000167,-1.11596186328
ACH-000168,-1.07939944575
ACH-000169,-1.09932623491
ACH-000178,-1.17590056969
ACH-000182,-1.1655644997799999
ACH-000183,-1.05833212813
ACH-000188,-0.9403417242219999
ACH-000189,-1.25752168258
ACH-000190,-0.8574301756280001
ACH-000198,-1.31251459638
ACH-000204,-1.37286372064
ACH-000206,-0.8326298843080001
ACH-000207,-1.2322971780299998
ACH-000211,-1.11362279252
ACH-000215,-1.06482585491
ACH-000221,-1.3348652377399999
ACH-000222,-1.1585597363299998
ACH-000223,-1.30198694093
ACH-000226,-1.23054834924
ACH-000227,-0.978506443649
ACH-000228,-1.2876592562
ACH-000231,-0.9524188697229999
ACH-000232,-1.1982590991500002
ACH-000233,-1.10700420468
ACH-000234,-1.16445305709
ACH-000235,-1.20810130536
ACH-000237,-1.1569483294399998
ACH-000238,-0.936056647722
ACH-000243,-1.1305205639799998
ACH-000244,-0.995619743717
ACH-000246,-0.958803056759
ACH-000248,-1.1144706286100001
ACH-000250,-0.781754712038
ACH-000251,-1.19823421385
ACH-000253,-1.17941778975
ACH-000255,-0.994391857898
ACH-000256,-1.17944028804
ACH-000257,-1.26550990874
ACH-000258,-1.3971653121899998
ACH-000259,-0.9515001775299999
ACH-000260,-0.953098276141
ACH-000261,-1.00786151651
ACH-000262,-0.858223886701
ACH-000263,-1.14330951115
ACH-000264,-1.23098909195
ACH-000265,-1.19561150483
ACH-000266,-1.3241485931299999
ACH-000272,-1.1270069508
ACH-000273,-0.9502134613330001
ACH-000274,-1.156741613
ACH-000277,-0.916958794938
ACH-000278,-1.16876042323
ACH-000279,-1.28475453177
ACH-000280,-1.13182062196
ACH-000281,-1.20161403536
ACH-000288,-0.9489865492489999
ACH-000291,-1.09128794848
ACH-000293,-1.23748476801
ACH-000294,-1.24271694895
ACH-000295,-0.9050550298989999
ACH-000296,-0.969961065492
ACH-000302,-1.13496943208
ACH-000304,-1.2276893480600002
ACH-000307,-1.12471591758
ACH-000308,-0.9854729365389999
ACH-000310,-1.0648278580500001
ACH-000311,-1.00490375882
ACH-000312,-1.24421082391
ACH-000315,-1.14281432241
ACH-000316,-1.1262246292
ACH-000317,-1.04032145895
ACH-000318,-1.0697756627200001
ACH-000319,-1.3570014704
ACH-000320,-1.26152688765
ACH-000322,-1.04114239012
ACH-000323,-1.2787095785200002
ACH-000324,-1.170047987
ACH-000329,-1.24091591018
ACH-000330,-1.101688566
ACH-000331,-1.11796612941
ACH-000332,-1.0912823894099999
ACH-000334,-1.06826199157
ACH-000335,-0.9671899751799999
ACH-000336,-0.689068027272
ACH-000337,-1.19761774177
ACH-000339,-1.1568492999700002
ACH-000341,-0.8599837946979999
ACH-000348,-0.987871840917
ACH-000350,-0.9695454226799999
ACH-000352,-1.18673776028
ACH-000356,-0.8616468813789999
ACH-000361,-0.831274196924
ACH-000362,-1.2566556883700002
ACH-000363,-1.0878887528299999
ACH-000364,-1.35550399986
ACH-000365,-1.17171220307
ACH-000366,-1.31133807819
ACH-000368,-1.0705978670799998
ACH-000374,-0.929098384551
ACH-000375,-0.913428554145
ACH-000376,-1.10159101177
ACH-000381,-1.19879889614
ACH-000383,-1.03218358863
ACH-000387,-1.09190954201
ACH-000389,-1.20390626044
ACH-000390,-1.36364586021
ACH-000393,-1.4182608446399998
ACH-000395,-0.983579800281
ACH-000397,-0.913966203201
ACH-000401,-0.958063617553
ACH-000402,-1.29123944017
ACH-000403,-0.763367137913
ACH-000404,-1.15562135952
ACH-000406,-1.11702940344
ACH-000407,-1.58232518085
ACH-000408,-1.3129988994600001
ACH-000410,-1.16610864676
ACH-000411,-0.9155657837860001
ACH-000414,-1.49232406551
ACH-000415,-1.0532174254
ACH-000416,-1.00068958955
ACH-000420,-1.25881778179
ACH-000421,-1.10032760886
ACH-000424,-1.18340559958
ACH-000425,-1.22903506584
ACH-000426,-0.792941177383
ACH-000427,-0.982239049118
ACH-000433,-1.3026811566
ACH-000436,-1.16843198607
ACH-000444,-1.2108414378
ACH-000445,-1.20127176986
ACH-000448,-1.23017193515
ACH-000450,-0.6700694166
ACH-000452,-1.0538992195499999
ACH-000454,-0.8755029052779999
ACH-000458,-1.0112348682899999
ACH-000459,-0.785726181168
ACH-000460,-1.1953302803399999
ACH-000461,-0.87073749473
ACH-000463,-1.2585320532200002
ACH-000464,-1.09518964778
ACH-000466,-1.09774079058
ACH-000467,-0.8857353570550001
ACH-000468,-1.30235711357
ACH-000469,-1.0888121714299999
ACH-000470,-1.2422286474
ACH-000471,-1.22125918598
