,ATP6V1A (523)
ACH-000004,-1.8668380948400003
ACH-000007,-1.73777268177
ACH-000009,-1.61392151877
ACH-000011,-1.44739146456
ACH-000012,-1.4617172969799999
ACH-000013,-1.23931235187
ACH-000014,-1.8670728272200001
ACH-000015,-1.31797979646
ACH-000017,-1.34064741668
ACH-000018,-1.45123476994
ACH-000019,-1.6702100146399999
ACH-000021,-1.69002791306
ACH-000022,-1.32628324439
ACH-000025,-1.58068593688
ACH-000028,-1.5086475466299998
ACH-000030,-1.5052762121799999
ACH-000035,-1.59648229744
ACH-000036,-1.7051575815
ACH-000037,-0.479893869
ACH-000039,-1.4453909341100002
ACH-000040,-1.4696683528999999
ACH-000041,-1.42460535834
ACH-000042,-1.4577039376700003
ACH-000045,-1.88426760387
ACH-000047,-1.52308655838
ACH-000052,-1.67683523331
ACH-000053,-1.74588556407
ACH-000054,-1.57093632264
ACH-000055,-1.5791565107299999
ACH-000060,-1.4425706602500001
ACH-000067,-1.51330351445
ACH-000070,-1.65758443095
ACH-000075,-1.3563290483700001
ACH-000078,-1.52705116514
ACH-000082,-1.2252404224200002
ACH-000085,-1.40771733525
ACH-000086,-1.48278647288
ACH-000087,-1.4674878512799998
ACH-000092,-1.30947901884
ACH-000095,-1.48921995074
ACH-000097,-1.50240485831
ACH-000098,-1.3197001489
ACH-000099,-1.31930661162
ACH-000108,-1.41769382744
ACH-000113,-1.65959744843
ACH-000115,-1.12466631663
ACH-000116,-1.60147000535
ACH-000118,-1.49611990268
ACH-000120,-1.56321366776
ACH-000123,-1.6533892888600001
ACH-000127,-1.6161718626800001
ACH-000128,-1.5028461848899999
ACH-000132,-1.36747889643
ACH-000133,-1.5413074356099998
ACH-000137,-1.15841872221
ACH-000138,-1.5165251028400002
ACH-000142,-1.6322707302000001
ACH-000143,-1.53101909085
ACH-000146,-1.8273362801400004
ACH-000148,-1.2557345051
ACH-000150,-1.23475818721
ACH-000152,-1.14814797741
ACH-000153,-1.66349063541
ACH-000159,-1.49041088459
ACH-000160,-1.31602270106
ACH-000163,-1.17586197785
ACH-000167,-1.6736539719799999
ACH-000168,-1.5290384282499998
ACH-000169,-1.64629783012
ACH-000178,-1.6688233581099998
ACH-000182,-1.4198905674899998
ACH-000183,-1.54198186187
ACH-000188,-1.50557606848
ACH-000189,-1.6153823630700002
ACH-000190,-1.6406361107799998
ACH-000198,-1.63230784554
ACH-000204,-1.49549634502
ACH-000206,-1.3060399418000002
ACH-000207,-1.34964045845
ACH-000211,-1.3572738052899997
ACH-000215,-1.66291867264
ACH-000221,-1.6304261903200001
ACH-000222,-1.62768801419
ACH-000223,-1.58183139461
ACH-000226,-1.3994611496
ACH-000227,-1.26879189457
ACH-000228,-1.54365464403
ACH-000231,-1.3364279429600001
ACH-000232,-1.6646352363699999
ACH-000233,-1.73482972755
ACH-000234,-1.89772387211
ACH-000235,-1.3569794099
ACH-000237,-1.60822120829
ACH-000238,-1.31482041398
ACH-000243,-1.47015754115
ACH-000244,-1.67568968166
ACH-000246,-1.70983299335
ACH-000248,-1.3308833019600002
ACH-000250,-1.51674170609
ACH-000251,-1.9541705917400003
ACH-000253,-1.64372013689
ACH-000255,-1.3060502194399999
ACH-000256,-1.6103955831
ACH-000257,-1.0591192281200001
ACH-000258,-0.972125915716
ACH-000259,-1.62453463945
ACH-000260,-1.27121730219
ACH-000261,-1.33677409077
ACH-000262,-1.7137611502
ACH-000263,-1.55051368148
ACH-000264,-1.62785870096
ACH-000265,-1.3671533350299998
ACH-000266,-1.67409950805
ACH-000272,-1.44524957431
ACH-000273,-1.43077090466
ACH-000274,-1.1979498110200002
ACH-000277,-1.55707912454
ACH-000278,-2.0690581740700003
ACH-000279,-1.51930385973
ACH-000280,-1.43574325991
ACH-000281,-1.6224582201
ACH-000288,-1.6200234783200003
ACH-000291,-1.38278707669
ACH-000293,-1.5215956065600003
ACH-000294,-1.65604249481
ACH-000295,-1.43989703204
ACH-000296,-1.9229911587900002
ACH-000302,-1.4578949552899998
ACH-000304,-1.95847083882
ACH-000307,-1.52924243169
ACH-000308,-1.59135928302
ACH-000310,-1.3237084132999999
ACH-000311,-1.34740159277
ACH-000312,-1.41702513528
ACH-000315,-1.3727014170700003
ACH-000316,-1.5818729337600002
ACH-000317,-1.5644403663600002
ACH-000318,-1.4500710869100002
ACH-000319,-1.55356448731
ACH-000320,-1.33821991551
ACH-000322,-1.43417157239
ACH-000323,-0.535440875787
ACH-000324,-1.28882738467
ACH-000329,-1.53449128903
ACH-000330,-1.0042572785500001
ACH-000331,-1.3059014952299999
ACH-000332,-1.47223020064
ACH-000334,-1.6281073895200002
ACH-000335,-1.51557394894
ACH-000336,-1.9167375502000001
ACH-000337,-1.09477514044
ACH-000339,-1.6357122681999998
ACH-000341,-1.08380785412
ACH-000348,-1.735383221
ACH-000350,-1.3787910595700001
ACH-000352,-1.29588159414
ACH-000356,-1.6918280485600001
ACH-000361,-1.48354992884
ACH-000362,-1.86762639898
ACH-000363,-1.86630024065
ACH-000364,-1.25513363705
ACH-000365,-1.67774211403
ACH-000366,-1.4986279108200002
ACH-000368,-1.4737280495200002
ACH-000374,-1.33914899915
ACH-000375,-1.82752907655
ACH-000376,-1.51202340831
ACH-000381,-1.22456716626
ACH-000383,-1.91638662659
ACH-000387,-1.71435532417
ACH-000389,-1.60888991723
ACH-000390,-1.3964328389700003
ACH-000393,-1.7018139154799998
ACH-000395,-1.5520802632
ACH-000397,-1.88878949757
ACH-000401,-1.38352936014
ACH-000402,-1.70849279459
ACH-000403,-1.7836878223400003
ACH-000404,-1.5344461692200002
ACH-000406,-1.5570615149399998
ACH-000407,-1.5390082333300001
ACH-000408,-1.4694525754199999
ACH-000410,-1.4320219864
ACH-000411,-1.6466359895299998
ACH-000414,-1.6369753083
ACH-000415,-1.3226198512799998
ACH-000416,-1.34123046316
ACH-000420,-1.4235831364700002
ACH-000421,-1.5057288983000001
ACH-000424,-1.40634973248
ACH-000425,-1.4731466759399998
ACH-000426,-1.5946622083500002
ACH-000427,-1.66522177373
ACH-000433,-1.24953442393
ACH-000436,-1.4786088317800001
ACH-000444,-1.4245796404100002
ACH-000445,-1.3704054268900001
ACH-000448,-1.25167861862
ACH-000450,-1.30363640854
ACH-000452,-1.4008927496099999
ACH-000454,-1.58657898045
ACH-000458,-1.3616923707799997
ACH-000459,-2.20660752249
ACH-000460,-1.37879686174
ACH-000461,-1.40068021157
ACH-000463,-1.55195736874
ACH-000464,-1.57465052949
ACH-000466,-1.83745373789
ACH-000467,-1.30482457501
ACH-000468,-1.69961193548
ACH-000469,-1.61054204386
ACH-000470,-1.9193760073099997
ACH-000471,-1.41772087105
ACH-000472,-1.4709161503000001
ACH-000473,-1.20352290982
ACH-000475,-1.41117878363
ACH-000476,-1.74146877863
ACH-000477,-2.12056115986
ACH-000480,-1.6881275196599999
ACH-000481,-1.7349145746599999
ACH-000483,-1.76235000627
ACH-000484,-2.02470423265
ACH-000485,-1.4651674269600001
ACH-000486,-1.4769332078200001
ACH-000487,-1.4446390634900002
ACH-000488,-1.126657733
ACH-000490,-1.04658751769
ACH-000491,-1.3950169832100001
ACH-000495,-1.59123223623
ACH-000496,-1.8371874736200002
ACH-000499,-1.5142156942299998
ACH-000500,-1.55208817503
ACH-000502,-1.54164733142
ACH-000503,-1.29925121369
ACH-000505,-1.49316892076
ACH-000507,-1.5568251045100001
ACH-000510,-1.64172858153
ACH-000511,-1.53265037948
ACH-000512,-1.20767433439
ACH-000516,-1.33130366866
ACH-000517,-1.3230071453899999
ACH-000518,-1.65101412035
ACH-000520,-1.69621722385
ACH-000521,-1.45363414853
ACH-000522,-1.3934991396599998
ACH-000524,-1.7939352698700002
ACH-000527,-1.62038545092
ACH-000528,-1.33986187544
ACH-000537,-1.5719418779799998
ACH-000541,-1.5841390012099998
ACH-000542,-1.65272734051
ACH-000544,-1.46614812322
ACH-000545,-1.33473682857
ACH-000547,-1.4166162922299999
ACH-000548,-1.79081740407
ACH-000549,-1.25899105854
ACH-000550,-1.28514455413
ACH-000552,-1.39594882552
ACH-000556,-1.4962906339
ACH-000557,-1.84848493997
ACH-000570,-1.49199011529
ACH-000571,-1.7338246054400004
ACH-000573,-1.60221034181
ACH-000576,-1.53757767745
ACH-000580,-1.6028434644299998
ACH-000584,-1.69258653595
ACH-000585,-1.41492157528
ACH-000588,-1.5545537551
ACH-000589,-1.31846428599
ACH-000591,-1.4341170260499998
ACH-000593,-1.344176745
ACH-000600,-1.56824790301
ACH-000601,-1.48578267403
ACH-000604,-1.9238762568799999
ACH-000605,-1.45060434055
ACH-000606,-1.2444683757100001
ACH-000608,-1.93713319072
ACH-000614,-1.98527161449
ACH-000616,-1.56705747219
ACH-000618,-1.42933478986
ACH-000619,-1.49880338224
ACH-000620,-1.8651900642900001
ACH-000621,-1.81447532967
ACH-000622,-1.59281438289
ACH-000623,-1.56745743972
ACH-000624,-1.32050564255
ACH-000627,-1.57518519934
ACH-000630,-1.43354258939
ACH-000632,-1.41588869482
ACH-000633,-1.7642575164400003
ACH-000637,-0.8485684692550001
ACH-000638,-1.43393834621
ACH-000646,-2.38279218587
ACH-000647,-1.4205633292500002
ACH-000648,-1.92274662097
ACH-000649,-1.7264609466900003
ACH-000651,-1.43282996261
ACH-000652,-1.5693473792
ACH-000653,-1.54035799491
ACH-000657,-1.6204877958300001
ACH-000658,-1.93791892934
ACH-000661,-1.7843783280599999
ACH-000662,-1.71709574845
ACH-000663,-1.6475268682
ACH-000665,-1.3973398869100002
ACH-000671,-1.28172668602
ACH-000673,-1.42600415044
ACH-000676,-1.50966633155
ACH-000677,-1.12795820706
ACH-000681,-1.3342332866700002
ACH-000682,-1.4053708255500001
ACH-000683,-1.35510584789
ACH-000684,-1.69319453516
ACH-000688,-2.27520007289
ACH-000693,-1.48191532147
ACH-000694,-1.36576251199
ACH-000695,-1.44440207617
ACH-000696,-1.5399060952599999
ACH-000697,-1.25334821255
ACH-000699,-2.03637283864
ACH-000701,-0.947412444408
ACH-000706,-1.65376703926
ACH-000711,-1.55329782933
ACH-000713,-1.2836595438
ACH-000714,-1.2016973081
ACH-000718,-1.74166284817
ACH-000720,-1.49830146176
ACH-000721,-1.41546609329
ACH-000724,-1.5536015961399998
ACH-000725,-1.35359251486
ACH-000732,-1.4016703078200001
ACH-000734,-1.50568976306
ACH-000735,-1.24635605499
ACH-000736,-1.7675301066599998
ACH-000738,-1.3740669365600002
ACH-000746,-1.86837535055
ACH-000747,-1.4197419341600002
ACH-000748,-0.9837132961310001
ACH-000753,-1.59114483102
ACH-000756,-1.21270045368
ACH-000757,-1.5768185814700002
ACH-000758,-1.62058343834
ACH-000760,-1.52503031245
ACH-000763,-1.55038007481
ACH-000764,-1.46308205751
