,ACCSL (390110)
ACH-000004,0.127720619027
ACH-000007,-0.07311254556300001
ACH-000009,-0.11461661261600001
ACH-000011,-0.0590460007053
ACH-000012,-0.264773692761
ACH-000013,-0.26487497840199997
ACH-000014,-0.1702233074
ACH-000015,0.040839652462699993
ACH-000017,-0.041147405983699994
ACH-000018,0.1904388638
ACH-000019,-0.12334908639900001
ACH-000021,-0.287673902982
ACH-000022,-0.144297772344
ACH-000025,-0.317495733682
ACH-000028,-0.21750403719
ACH-000030,-0.19042259834699998
ACH-000035,-0.24966406089
ACH-000036,0.00962525237631
ACH-000037,0.0480134172506
ACH-000039,0.109210563773
ACH-000040,-0.0887588392913
ACH-000041,-0.0768155776876
ACH-000042,-0.224640290407
ACH-000045,-0.205979572742
ACH-000047,-0.0558483039379
ACH-000052,-0.451980548513
ACH-000053,-0.0191761515764
ACH-000054,-0.0538532375899
ACH-000055,-0.0182057640847
ACH-000060,-0.0413405406196
ACH-000067,-0.0716822805682
ACH-000070,-0.222892541164
ACH-000075,0.00227974317358
ACH-000078,-0.173409195367
ACH-000082,-0.134525779627
ACH-000085,0.0018580470571800001
ACH-000086,-0.166561366196
ACH-000087,-0.24084254458700002
ACH-000092,0.0912028986007
ACH-000095,-0.07193531851530001
ACH-000097,-0.109513012402
ACH-000098,-0.172149318745
ACH-000099,-0.12932342094799998
ACH-000108,-0.049978426303000006
ACH-000113,-0.167485696495
ACH-000115,0.00838292858214
ACH-000116,-0.185731037907
ACH-000118,-0.0663523424233
ACH-000120,-0.262593065788
ACH-000123,-0.19790634808200003
ACH-000127,-0.09469809789280001
ACH-000128,0.05210184052400001
ACH-000132,-0.0420057652934
ACH-000133,-0.0525186215475
ACH-000137,-0.208845235925
ACH-000138,-0.175259602079
ACH-000142,-0.191318003884
ACH-000143,-0.021080920053500003
ACH-000146,-0.101139366541
ACH-000148,-0.114884431439
ACH-000150,0.0432255422922
ACH-000152,0.00152596826684
ACH-000153,-0.284774863756
ACH-000159,-0.0423751184797
ACH-000160,0.08583055208200001
ACH-000163,0.121532182621
ACH-000167,-0.147957635309
ACH-000168,-0.162635943571
ACH-000169,-0.170162168719
ACH-000178,-0.169964720993
ACH-000182,-0.104528642526
ACH-000183,0.018553147841599997
ACH-000188,-0.084741502203
ACH-000189,-0.05208304799
ACH-000190,-0.049670185117
ACH-000198,-0.0617161828075
ACH-000204,-0.250550977835
ACH-000206,0.06454706331280001
ACH-000207,-0.419201402589
ACH-000211,-0.11435483808800001
ACH-000215,-0.0991064242343
ACH-000221,-0.332472144632
ACH-000222,-0.0626988759956
ACH-000223,-0.0111632185408
ACH-000226,-0.144362240109
ACH-000227,-0.11080562087099999
ACH-000228,0.08433608828150001
ACH-000231,-0.0968788581818
ACH-000232,-0.261564161599
ACH-000233,-0.136850145662
ACH-000234,0.0302500205554
ACH-000235,-0.0315120643217
ACH-000237,-0.106165771956
ACH-000238,-0.134759435491
ACH-000243,-0.108985130932
ACH-000244,-0.277771856587
ACH-000246,-0.0145017624489
ACH-000248,0.08921279961260001
ACH-000250,-0.0341712743351
ACH-000251,-0.0597524353756
ACH-000253,0.0524848052814
ACH-000255,-0.291119056431
ACH-000256,-0.197008225313
ACH-000257,-0.0182366634347
ACH-000258,-0.0723355617499
ACH-000259,-0.0489725540513
ACH-000260,-0.177696231934
ACH-000261,-0.115448180841
