,GYPE (2996)
ACH-000004,-0.138258429728
ACH-000007,-0.28330195852699996
ACH-000009,-0.08051392522560001
ACH-000011,-0.139300217012
ACH-000012,-0.097979319836
ACH-000013,-0.0139992573664
ACH-000014,-0.10647823397
ACH-000015,-0.0209862349488
ACH-000017,-0.180074982252
ACH-000018,-0.037372634608
ACH-000019,-0.137381481758
ACH-000021,-0.09667248668950001
ACH-000022,-0.27341063886100003
ACH-000025,-0.00064770548624
ACH-000028,-0.21216613333099998
ACH-000030,-0.123309866481
ACH-000035,-0.0336621504557
ACH-000036,-0.19016493480799998
ACH-000037,-0.121982691142
ACH-000039,0.0487543710495
ACH-000040,-0.137505059155
ACH-000041,-0.0942999644496
ACH-000042,-0.0567881187973
ACH-000045,-0.21825781378400003
ACH-000047,-0.0662022756179
ACH-000052,-0.471501515282
ACH-000053,-0.063852519446
ACH-000054,-0.117923190707
ACH-000055,-0.115861389488
ACH-000060,-0.23418072506299997
ACH-000067,-0.190132740696
ACH-000070,0.113364549502
ACH-000075,-0.15105912595
ACH-000078,0.00788293359212
ACH-000082,-0.08584794836510001
ACH-000085,-0.161951051816
ACH-000086,-0.194000777599
ACH-000087,-0.141337120161
ACH-000092,-0.19217045444699998
ACH-000095,-0.154091998908
ACH-000097,-0.0644599992064
ACH-000098,-0.200803233901
ACH-000099,-0.122403279611
ACH-000108,-0.142608952273
ACH-000113,-0.0891822965742
ACH-000115,0.09739255374839999
ACH-000116,-0.262071133038
ACH-000118,-0.020819030125599998
ACH-000120,-0.223656214724
ACH-000123,-0.080363412527
ACH-000127,-0.105456881118
ACH-000128,-0.195181199699
ACH-000132,-0.0657086314989
ACH-000133,-0.055643130831599996
ACH-000137,-0.0965214783429
ACH-000138,-0.0799556032675
ACH-000142,-0.204085993694
ACH-000143,0.09010913621510001
ACH-000146,-0.04223284082880001
ACH-000148,-0.18086019673599998
ACH-000150,-0.196656077163
ACH-000152,-0.227536366515
ACH-000153,0.213501194862
ACH-000159,-0.140458713476
ACH-000160,-0.0343256671604
ACH-000163,-0.288009083655
ACH-000167,-0.142360549156
ACH-000168,0.007729567384439999
ACH-000169,0.0331845735605
ACH-000178,-0.253960677573
ACH-000182,-0.145385145041
ACH-000183,-0.139288729601
ACH-000188,-0.21311750850400002
ACH-000189,-0.476399419716
ACH-000190,-0.195550513724
ACH-000198,-0.103749898716
ACH-000204,-0.156215009191
ACH-000206,-0.00188319532934
ACH-000207,-0.45361524621000004
ACH-000211,-0.225585168173
ACH-000215,-0.104414223855
ACH-000221,0.0431746275304
ACH-000222,-0.21435460735
ACH-000223,-0.105349471104
ACH-000226,-0.0872274030851
ACH-000227,-0.11382149576999999
ACH-000228,-0.00041495963589899997
ACH-000231,-0.161259527949
ACH-000232,-0.183166987802
ACH-000233,-0.0605465968394
ACH-000234,0.0780467646637
ACH-000235,-0.0531244974089
ACH-000237,-0.0742677431563
ACH-000238,-0.121564272174
ACH-000243,-0.111157062565
ACH-000244,0.0286540575447
ACH-000246,-0.199632054502
ACH-000248,-0.271220917433
ACH-000250,-0.22093497859
ACH-000251,-0.196616360306
ACH-000253,-0.27546815199700003
ACH-000255,-0.11860869267000002
ACH-000256,-0.136423445437
ACH-000257,0.155029093485
ACH-000258,-0.49064791520400003
ACH-000259,-0.214135158276
ACH-000260,-0.141206324378
ACH-000261,-0.156660795026
ACH-000262,-0.166096970194
ACH-000263,-0.442968433991
ACH-000264,-0.0821591798285
ACH-000265,0.0050520227276
ACH-000266,-0.156772605363
ACH-000272,-0.058848897432900005
ACH-000273,-0.185780288638
ACH-000274,-0.09389578154020001
ACH-000277,0.0589013050478
ACH-000278,-0.0681610817109
ACH-000279,-0.0657762364534
ACH-000280,-0.15856815878699998
ACH-000281,-0.0690721406486
ACH-000288,-0.191813196602
ACH-000291,-0.0438894868009
ACH-000293,-0.204880891126
ACH-000294,-0.10864189509099999
ACH-000295,-0.11648469544399999
ACH-000296,-0.19797939112
ACH-000302,0.0767310165487
ACH-000304,-0.19300805357099998
ACH-000307,-0.125236743485
ACH-000308,-0.250040783613
ACH-000310,-0.167686800154
ACH-000311,-0.252724684573
ACH-000312,-0.121786375657
ACH-000315,0.106108283389
ACH-000316,-0.10786611686599999
ACH-000317,-0.0377165649555
ACH-000318,-0.268901731605
ACH-000319,0.039234818037800004
ACH-000320,-0.285040602185
ACH-000322,-0.12517709240299998
ACH-000323,-0.264422170819
ACH-000324,-0.1210801224
ACH-000329,-0.165325474295
ACH-000330,0.009370637628120002
ACH-000331,0.0215547285237
ACH-000332,-0.124507767367
ACH-000334,-0.29528141137200004
ACH-000335,-0.310309261284
ACH-000336,0.0053405696688900006
ACH-000337,-0.349307654802
ACH-000339,-0.118841630941
ACH-000341,-0.021271910775900002
ACH-000348,-0.0458745755739
ACH-000350,-0.282227425657
ACH-000352,0.0261183160724
ACH-000356,0.149646367906
ACH-000361,-0.09336973930379999
ACH-000362,-0.0971871462988
ACH-000363,-0.15476149307
ACH-000364,-0.0647031947685
ACH-000365,-0.127854740096
ACH-000366,0.0297614637096
ACH-000368,-0.218805262757
ACH-000374,-0.226606719263
ACH-000375,-0.18774641317899998
ACH-000376,-0.167250379079
ACH-000381,-0.185932095587
ACH-000383,-0.13934718798
ACH-000387,-0.136499340925
