,CHMP1B (57132)
ACH-000004,0.404859264304
ACH-000007,0.055493070171099994
ACH-000009,0.36801635056299997
ACH-000011,0.352909713386
ACH-000012,0.220834821019
ACH-000013,0.29633439404
ACH-000014,0.29644049019200003
ACH-000015,0.199055427016
ACH-000017,0.168967092337
ACH-000018,0.24839908058600002
ACH-000019,0.40825968448100003
ACH-000021,0.191117227946
ACH-000022,0.384480726688
ACH-000025,0.179724142472
ACH-000028,0.25571668192499997
ACH-000030,0.19058787023600002
ACH-000035,0.213546330222
ACH-000036,0.0945962023202
ACH-000037,-0.18446224096799999
ACH-000039,0.19186744632199998
ACH-000040,0.369284671563
ACH-000041,0.298960227356
ACH-000042,0.234814520723
ACH-000045,0.178705862274
ACH-000047,0.230005282005
ACH-000052,0.153623421206
ACH-000053,0.247509160594
ACH-000054,-0.022822073223200002
ACH-000055,0.257439037677
ACH-000060,0.20656371007
ACH-000067,0.049391416459400005
ACH-000070,0.205093969219
ACH-000075,-0.054393688269800004
ACH-000078,0.129756900131
ACH-000082,0.21888220841400002
ACH-000085,0.0751543067347
ACH-000086,0.18999365520300002
ACH-000087,0.236059964018
ACH-000092,0.0944144175023
ACH-000095,0.25139511892
ACH-000097,0.15937298809800002
ACH-000098,0.354800512265
ACH-000099,0.278216182727
ACH-000108,0.141276475935
ACH-000113,0.10584286556500001
ACH-000115,0.153647575047
ACH-000116,0.22552605612100002
ACH-000118,0.134092361411
ACH-000120,0.29684520299199996
ACH-000123,0.250529321716
ACH-000127,0.058018439254400006
ACH-000128,0.468808990218
ACH-000132,0.273323056597
ACH-000133,0.108943480685
ACH-000137,0.224378341494
ACH-000138,0.08739502685350001
ACH-000142,-0.158690112886
ACH-000143,-0.0477759145687
ACH-000146,0.0391660149612
ACH-000148,0.185722565645
ACH-000150,0.278956471219
ACH-000152,-0.0325063212598
ACH-000153,0.42876715905999996
ACH-000159,0.11035334649800001
ACH-000160,0.22523517372699997
ACH-000163,0.15860513477
ACH-000167,0.227512624044
ACH-000168,0.125711233677
ACH-000169,-0.050199009813599996
ACH-000178,0.146007644818
ACH-000182,-0.00949989854322
ACH-000183,0.307134969955
ACH-000188,-0.162592675386
ACH-000189,0.450594640576
ACH-000190,0.14501408430999999
ACH-000198,0.21034233691799997
ACH-000204,0.504366269172
ACH-000206,0.502143947146
ACH-000207,-0.135422234936
ACH-000211,0.232360048972
ACH-000215,0.204104251291
ACH-000221,0.100661821874
ACH-000222,-0.0403514935426
ACH-000223,0.18747630914000002
ACH-000226,0.32558972383400003
ACH-000227,0.33457065968899996
ACH-000228,0.15220546346
ACH-000231,0.162611337991
ACH-000232,0.153915005692
ACH-000233,0.141333827888
ACH-000234,0.200968481067
ACH-000235,0.154754291523
ACH-000237,0.13277973575
ACH-000238,0.33875514334
ACH-000243,0.207866397977
ACH-000244,0.40727623825000003
ACH-000246,0.224244496008
ACH-000248,0.33578595038900005
ACH-000250,0.381308826017
ACH-000251,0.171677590751
ACH-000253,0.0682464436199
ACH-000255,0.201969854821
ACH-000256,0.39035679293799996
ACH-000257,0.449900971675
ACH-000258,0.155363009075
ACH-000259,0.352533866625
ACH-000260,0.245921252841
ACH-000261,0.166119992204
ACH-000262,0.185913565581
ACH-000263,-0.0105450750904
ACH-000264,0.163211445327
ACH-000265,0.298309897571
ACH-000266,0.0611899822322
ACH-000272,0.323389705844
ACH-000273,-0.0931840646576
ACH-000274,0.268187607053
ACH-000277,-0.008339438590020001
ACH-000278,0.0118435636756
ACH-000279,0.351005500321
ACH-000280,0.199650723413
ACH-000281,0.305121328047
ACH-000288,0.0749707535147
ACH-000291,0.35928061197
ACH-000293,0.33949434602899997
ACH-000294,0.16959291027600001
ACH-000295,0.345200583917
ACH-000296,0.21668373784400002
ACH-000302,0.239732569124
ACH-000304,0.381569328969
ACH-000307,0.12312321957800001
ACH-000308,0.08407320832630001
ACH-000310,0.194407144121
ACH-000311,-0.0438889289738
ACH-000312,0.369148743683
ACH-000315,0.128730631047
ACH-000316,0.456947626925
ACH-000317,0.40355775209399997
ACH-000318,0.312619249601
ACH-000319,0.194822936503
ACH-000320,-0.006156310738819999
ACH-000322,0.348115893696
ACH-000323,0.18378925518800002
ACH-000324,0.138950264036
ACH-000329,0.21749371528900002
ACH-000330,0.207204726915
ACH-000331,0.201300708734
ACH-000332,0.25488503468199997
ACH-000334,0.0114562771669
ACH-000335,-0.143861322644
ACH-000336,0.09460388199269999
ACH-000337,0.045306705519699994
ACH-000339,0.137205412842
ACH-000341,0.218318246989
ACH-000348,0.23346050832100002
ACH-000350,0.207401638245
ACH-000352,0.35022560340899994
ACH-000356,0.119378719543
ACH-000361,0.319965217486
ACH-000362,0.124430342875
ACH-000363,0.296317522822
ACH-000364,0.186336592728
ACH-000365,0.024760983745900002
ACH-000366,0.187281433078
ACH-000368,0.219928446262
ACH-000374,0.397579524974
ACH-000375,0.013843738299799999
ACH-000376,0.12732779069800002
ACH-000381,0.32197780977699997
ACH-000383,0.0851856170635
ACH-000387,0.23377624029
ACH-000389,0.0362094550644
ACH-000390,0.20383669853300002
ACH-000393,0.21937732442299998
ACH-000395,0.09216903030300001
ACH-000397,0.134032224888
ACH-000401,0.15862189960200002
ACH-000402,0.20450744045000002
ACH-000403,0.126120577295
ACH-000404,-0.00324168104078
ACH-000406,0.32189201690499997
ACH-000407,0.272319870905
ACH-000408,0.00982928228244
ACH-000410,0.34328905124700004
ACH-000411,0.3264139597
ACH-000414,0.0666226520098
ACH-000415,0.291235849066
ACH-000416,0.230444993825
ACH-000420,0.263302031484
ACH-000421,0.218015233246
ACH-000424,0.518014298825
ACH-000425,0.20732236622900002
ACH-000426,0.21196898039099998
ACH-000427,0.370477353047
ACH-000433,0.222064934271
ACH-000436,0.391516398678
ACH-000444,0.23336962148899998
ACH-000445,0.327085395759
ACH-000448,0.154094689791
ACH-000450,0.193807707915
ACH-000452,0.129962813624
ACH-000454,0.313347089474
ACH-000458,-0.02171097295
ACH-000459,0.229336293121
ACH-000460,0.193150453647
ACH-000461,0.601779220484
ACH-000463,-0.07234120859860001
