,SACM1L (22908)
ACH-000004,-0.902259903293
ACH-000007,-1.25824876599
ACH-000009,-1.27398910721
ACH-000011,-0.778433791706
ACH-000012,-1.0594123346
ACH-000013,-1.03981661394
ACH-000014,-1.03176208259
ACH-000015,-1.15294901302
ACH-000017,-1.0879197190799998
ACH-000018,-1.1969741227500001
ACH-000019,-1.2890928611499999
ACH-000021,-1.14563506061
ACH-000022,-1.11901138226
ACH-000025,-0.75331633016
ACH-000028,-1.2567046142
ACH-000030,-0.893358913477
ACH-000035,-1.12788502866
ACH-000036,-0.853922632612
ACH-000037,-1.16854175941
ACH-000039,-1.39347859824
ACH-000040,-1.03627937101
ACH-000041,-1.1486742176
ACH-000042,-1.3102749761799999
ACH-000045,-1.05647925265
ACH-000047,-1.04255888068
ACH-000052,-1.0013059322
ACH-000053,-1.20766494722
ACH-000054,-1.06311995039
ACH-000055,-1.29173039155
ACH-000060,-1.20915560716
ACH-000067,-1.03427850496
ACH-000070,-0.949586892508
ACH-000075,-1.31383252426
ACH-000078,-1.34734128197
ACH-000082,-0.8734453271179999
ACH-000085,-1.08729900194
ACH-000086,-0.90236720517
ACH-000087,-1.46688247704
ACH-000092,-1.00981013293
ACH-000095,-0.908940535826
ACH-000097,-1.20625437659
ACH-000098,-1.1193624797
ACH-000099,-1.0230015290799999
ACH-000108,-1.10671376497
ACH-000113,-0.992820016177
ACH-000115,-1.2117473150799998
ACH-000116,-0.84554898178
ACH-000118,-1.10544767493
ACH-000120,-1.04609745207
ACH-000123,-1.2048824971799998
ACH-000127,-1.15788650262
ACH-000128,-1.44439936602
ACH-000132,-1.0322050431
ACH-000133,-0.835220990977
ACH-000137,-0.989439726629
ACH-000138,-1.25133900191
ACH-000142,-0.9466677010060001
ACH-000143,-1.1668637022600001
ACH-000146,-1.05101315009
ACH-000148,-0.9098286203899999
ACH-000150,-0.8250984433740001
ACH-000152,-0.981109657677
ACH-000153,-0.7240304403
ACH-000159,-0.8858526096349999
ACH-000160,-1.40023112757
ACH-000163,-0.764485830784
ACH-000167,-1.2034351872700002
ACH-000168,-1.00696053956
ACH-000169,-1.02956488719
ACH-000178,-0.865662916998
ACH-000182,-1.01103839488
ACH-000183,-0.9524173776189999
ACH-000188,-0.994237883751
ACH-000189,-1.0595955925
ACH-000190,-1.11090209052
ACH-000198,-1.1192470315
ACH-000204,-1.4042177223299999
ACH-000206,-1.05309863846
ACH-000207,-1.15834964154
ACH-000211,-1.01388698347
ACH-000215,-0.9480769559550001
ACH-000221,-1.18093272576
ACH-000222,-1.1302738384200002
ACH-000223,-1.07619479431
ACH-000226,-0.9057689248880001
ACH-000227,-0.819712535912
ACH-000228,-1.48961539062
ACH-000231,-1.06721242811
ACH-000232,-1.30491838938
ACH-000233,-1.0588355927600002
ACH-000234,-1.24374289085
ACH-000235,-1.22645012696
ACH-000237,-1.14430899198
ACH-000238,-1.17251091518
ACH-000243,-1.1600289134000001
ACH-000244,-1.12367932146
ACH-000246,-1.23093589639
ACH-000248,-0.942506181125
ACH-000250,-1.20106977345
ACH-000251,-0.963745736318
ACH-000253,-1.23262647847
ACH-000255,-0.910408666434
ACH-000256,-1.2122700156200001
ACH-000257,-1.20559149355
