,SYDE2 (84144)
ACH-000004,-0.234444690996
ACH-000007,-0.237138588244
ACH-000009,0.0797401943492
ACH-000011,-0.36508373318099996
ACH-000012,-0.32107069123599996
ACH-000013,-0.209776014661
ACH-000014,-0.34955926246799995
ACH-000015,-0.228220487916
ACH-000017,-0.248090380748
ACH-000018,-0.309148206192
ACH-000019,-0.519061811655
ACH-000021,-0.111360976886
ACH-000022,-0.396585938826
ACH-000025,-0.40587017133000003
ACH-000028,-0.202362573266
ACH-000030,-0.23128765336399998
ACH-000035,-0.379960183785
ACH-000036,-0.177970990735
ACH-000037,0.0273903668131
ACH-000039,0.271843972449
ACH-000040,-0.231369496998
ACH-000041,-0.20290449493700002
ACH-000042,-0.14688020255999998
ACH-000045,-0.21020956522300002
ACH-000047,-0.352216288395
ACH-000052,-0.332471424671
ACH-000053,-0.160264027305
ACH-000054,-0.25589766358000005
ACH-000055,-0.16776581058499998
ACH-000060,-0.308346861266
ACH-000067,-0.423004625386
ACH-000070,-0.509556928716
ACH-000075,-0.21960662882399998
ACH-000078,-0.163798119928
ACH-000082,-0.344382462368
ACH-000085,-0.235834981359
ACH-000086,-0.181181393578
ACH-000087,-0.222883752023
ACH-000092,-0.0865345845903
ACH-000095,-0.09796680157950001
ACH-000097,-0.45557172226099996
ACH-000098,-0.23335693996399998
ACH-000099,-0.081665961968
ACH-000108,0.0672397731166
ACH-000113,-0.13136220124
ACH-000115,-0.14504937248400002
ACH-000116,-0.148149323289
ACH-000118,-0.17803120838
ACH-000120,0.0679427732993
ACH-000123,-0.029323051845800002
ACH-000127,-0.159482794492
ACH-000128,-0.173972350073
ACH-000132,-0.189675875083
ACH-000133,-0.317152057405
ACH-000137,-0.267027377021
ACH-000138,-0.109125124516
ACH-000142,-0.0592901956397
ACH-000143,-0.297355344317
ACH-000146,-0.11683147326
ACH-000148,-0.154405096316
ACH-000150,-0.28449639191799997
ACH-000152,-0.319486257769
ACH-000153,-0.204899790944
ACH-000159,-0.23534209763
ACH-000160,-0.024079586614900002
ACH-000163,0.08926452373950002
ACH-000167,-0.24453159511999997
ACH-000168,0.019289344668799998
ACH-000169,-0.239805845737
ACH-000178,-0.181849431219
ACH-000182,-0.09416265101469999
ACH-000183,-0.116295930437
ACH-000188,-0.23373997849300002
ACH-000189,0.11714047100099999
