,MOGS (7841)
ACH-000004,-0.376868936813
ACH-000007,-0.50493169253
ACH-000009,-0.270308036247
ACH-000011,-0.35959576625699996
ACH-000012,-0.41710243302199995
ACH-000013,-0.27558129703699996
ACH-000014,-0.215480394373
ACH-000015,-0.23559074293200002
ACH-000017,-0.465800623494
ACH-000018,-0.08215917957060001
ACH-000019,-0.407978554225
ACH-000021,-0.27654203136100003
ACH-000022,-0.417871879731
ACH-000025,-0.496561063789
ACH-000028,-0.37206029435500004
ACH-000030,-0.262683805009
ACH-000035,-0.234616395594
ACH-000036,-0.403316734124
ACH-000037,-0.637264381424
ACH-000039,-0.521520548205
ACH-000040,-0.44005638575499995
ACH-000041,-0.47199477828999997
ACH-000042,-0.493548288231
ACH-000045,-0.19247197367899999
ACH-000047,-0.384699099329
ACH-000052,-0.43301146195
ACH-000053,-0.280446378464
ACH-000054,-0.490886074708
ACH-000055,-0.338681121873
ACH-000060,-0.444148460414
ACH-000067,-0.27905129709800003
ACH-000070,-0.412839768299
ACH-000075,-0.140549879446
ACH-000078,-0.364153185433
ACH-000082,-0.487253232616
ACH-000085,-0.22696066040399998
ACH-000086,-0.363889892509
ACH-000087,-0.303351620858
ACH-000092,-0.601255463063
ACH-000095,-0.17055658271
ACH-000097,-0.407400402204
ACH-000098,-0.36452109578
ACH-000099,-0.374058267172
ACH-000108,-0.275875817542
ACH-000113,-0.450151411664
ACH-000115,-0.247234115767
ACH-000116,-0.195754434648
ACH-000118,-0.546561825694
ACH-000120,-0.34098487079400003
ACH-000123,-0.550650092711
ACH-000127,-0.442533869902
ACH-000128,-0.360882474896
ACH-000132,-0.35269385623899996
ACH-000133,-0.4351167851899999
ACH-000137,-0.448431217725
ACH-000138,-0.382871580124
ACH-000142,-0.267714951831
ACH-000143,-0.4759425388600001
ACH-000146,-0.23220186412500002
ACH-000148,-0.324026969261
ACH-000150,-0.36258964901600005
ACH-000152,-0.6048666406459999
ACH-000153,-0.159390409432
ACH-000159,-0.336477043496
ACH-000160,-0.318936292966
ACH-000163,-0.48165445963299997
ACH-000167,-0.280327525234
ACH-000168,-0.31110354579
ACH-000169,-0.18833402472600003
ACH-000178,-0.5647947010719999
ACH-000182,-0.391039648546
ACH-000183,-0.491974785303
ACH-000188,-0.348546253914
ACH-000189,-0.47387945523599995
ACH-000190,-0.49288292317000004
ACH-000198,-0.125947636214
ACH-000204,-0.232246340655
ACH-000206,-0.708981944303
ACH-000207,-0.585992803362
ACH-000211,-0.279824636764
ACH-000215,-0.407356325582
ACH-000221,-0.44247856199600005
ACH-000222,-0.521586840954
ACH-000223,-0.303835188288
ACH-000226,-0.33906109905000004
ACH-000227,-0.62033536403
ACH-000228,-0.48153846905000003
ACH-000231,-0.33189526974
ACH-000232,-0.37842495966899997
ACH-000233,-0.262514695042
ACH-000234,-0.141072224773
ACH-000235,-0.216097140362
ACH-000237,-0.235726033519
ACH-000238,-0.359862941742
ACH-000243,-0.48358200958400005
ACH-000244,-0.409045802876
ACH-000246,-0.30035464606600004
ACH-000248,-0.32701534496
ACH-000250,-0.330335847483
ACH-000251,-0.134666169371
ACH-000253,-0.328118902074
ACH-000255,-0.605422073663
ACH-000256,-0.506211106345
ACH-000257,-0.49094527497
ACH-000258,-0.250400644927
ACH-000259,-0.31246408373
ACH-000260,-0.3112020249
ACH-000261,-0.328540295672
ACH-000262,-0.267490728595
ACH-000263,-0.247817376789
ACH-000264,-0.41747291723200003
ACH-000265,-0.23397668724800003
ACH-000266,-0.282685187337
ACH-000272,-0.562801892218
ACH-000273,-0.288829013365
ACH-000274,-0.461732359304
ACH-000277,-0.321861154305
ACH-000278,-0.350994501123
ACH-000279,-0.364205734784
ACH-000280,-0.0984458370305
ACH-000281,-0.528952196685
ACH-000288,-0.370792329946
ACH-000291,-0.488797917712
ACH-000293,-0.28743907536400004
ACH-000294,-0.35894925117
ACH-000295,-0.306959066764
ACH-000296,-0.502850543854
ACH-000302,-0.340566436248
ACH-000304,-0.459520612829
ACH-000307,-0.306499385005
ACH-000308,-0.26860934528499997
ACH-000310,-0.254601192222
ACH-000311,-0.39422915157899996
ACH-000312,-0.29298304827300004
ACH-000315,-0.884961733521
ACH-000316,-0.239951589403
ACH-000317,-0.395080552094
ACH-000318,-0.137567616293
ACH-000319,-0.34725667217100004
ACH-000320,-0.230871780405
ACH-000322,-0.589000987831
ACH-000323,-0.028285019067199997
ACH-000324,-0.354390221203
ACH-000329,-0.40798152509400004
ACH-000330,-0.571607893478
ACH-000331,-0.451416085172
ACH-000332,-0.48101620018299995
ACH-000334,-0.403796241268
ACH-000335,-0.520470638342
ACH-000336,-0.511836894816
ACH-000337,-0.0520052747473
ACH-000339,-0.444160051796
ACH-000341,-0.753795422449
ACH-000348,-0.311581474433
ACH-000350,-0.39554487525700005
ACH-000352,-0.439673923519
ACH-000356,-0.528073228419
ACH-000361,-0.285136883169
ACH-000362,-0.43802604510300003
ACH-000363,-0.189593863673
ACH-000364,-0.520234892108
ACH-000365,-0.548985694966
ACH-000366,-0.331428116685
ACH-000368,-0.8605166664030001
ACH-000374,-0.402192551086
ACH-000375,-0.196867091944
ACH-000376,-0.502785993458
ACH-000381,-0.511352466831
ACH-000383,-0.177389162885
ACH-000387,-0.306602436611
ACH-000389,-0.647224116373
ACH-000390,-0.324464833704
ACH-000393,-0.481984144993
ACH-000395,-0.107743071917
ACH-000397,-0.5695370956710001
ACH-000401,-0.39727973982000003
ACH-000402,-0.0708115961351
ACH-000403,-0.490734471932
ACH-000404,-0.711618858951
ACH-000406,-0.335751371711
ACH-000407,-0.23642814476100002
ACH-000408,-0.7135079698129999
ACH-000410,-0.36662716342600005
ACH-000411,-0.372505002389
ACH-000414,-0.25429123361699996
ACH-000415,-0.45308979825499995
ACH-000416,-0.314838258562
ACH-000420,-0.38653306285300004
ACH-000421,-0.40065009304099997
ACH-000424,-0.42325910620499996
ACH-000425,-0.277456508175
ACH-000426,-0.300121267591
ACH-000427,-0.0811647333191
ACH-000433,-0.596351217448
ACH-000436,-0.39106028906999996
ACH-000444,-0.174631460876
ACH-000445,-0.45314921591000007
ACH-000448,-0.35984026716399997
ACH-000450,-0.6061611258290001
ACH-000452,-0.267761994494
ACH-000454,-0.654196136618
ACH-000458,-0.5060319536760001
ACH-000459,-0.39541480722800004
ACH-000460,-0.512550515395
ACH-000461,-0.494842398704
ACH-000463,-0.278636968927
ACH-000464,-0.515780995956
ACH-000466,-0.43613808143999994
ACH-000467,-0.393414829837
ACH-000468,-0.569907744442
ACH-000469,-0.31165548655299996
ACH-000470,-0.27610663852899997
ACH-000471,-0.5344444411689999
ACH-000472,-0.23178147998799997
ACH-000473,-0.315932824629
ACH-000475,-0.589247909206
ACH-000476,-0.22683913444200002
ACH-000477,-0.285134048513
ACH-000480,-0.6820375649379999
ACH-000481,-0.305468212314
ACH-000483,-0.209254231347
ACH-000484,-0.37739549422799995
ACH-000485,-0.503418648059
ACH-000486,-0.482582081302
ACH-000487,-0.350865092514
ACH-000488,-0.257613118987
ACH-000490,-0.590640207857
ACH-000491,-0.46388799746200005
ACH-000495,-0.564435300891
ACH-000496,-0.40839272021399997
ACH-000499,-0.46375251457500005
ACH-000500,-0.292108573067
ACH-000502,-0.384327725239
ACH-000503,-0.538662189862
ACH-000505,-0.244794522967
ACH-000507,-0.359904880787
ACH-000510,-0.352290164201
ACH-000511,-0.443786852632
ACH-000512,-0.326939414408
ACH-000516,-0.265650499844
