,GLTP (51228)
ACH-000004,-0.25902039868
ACH-000007,0.0648933506529
ACH-000009,-0.0103968916272
ACH-000011,-0.179828645779
ACH-000012,-0.208046735864
ACH-000013,-0.17246309172000002
ACH-000014,-0.180958592972
ACH-000015,-0.00262884434434
ACH-000017,-0.212769199007
ACH-000018,0.0606152864495
ACH-000019,0.213802922601
ACH-000021,-0.206432993634
ACH-000022,-0.038219830624300004
ACH-000025,-0.38780884828699996
ACH-000028,-0.0628654417382
ACH-000030,-0.337578533714
ACH-000035,0.0496086085021
ACH-000036,0.0277729302567
ACH-000037,-0.07499432692869999
ACH-000039,-0.148873524559
ACH-000040,-0.21932514918600002
ACH-000041,-0.165413699511
ACH-000042,-0.4317447931
ACH-000045,-0.38401198566
ACH-000047,-0.0115436399083
ACH-000052,0.0354818350498
ACH-000053,-0.07773300055139999
ACH-000054,-0.0190136164545
ACH-000055,-0.005949610210789999
ACH-000060,-0.24712420847600003
ACH-000067,-0.468577563504
ACH-000070,-0.484715957821
ACH-000075,-0.0456523127032
ACH-000078,-0.22770243094300002
ACH-000082,-0.0132867137815
ACH-000085,0.0562887021789
ACH-000086,-0.21342604428800002
ACH-000087,-0.18786336526099998
ACH-000092,-0.1058978415
ACH-000095,0.0166128331175
ACH-000097,-0.0951551940845
ACH-000098,-0.286661524346
ACH-000099,-0.00776587781854
ACH-000108,-0.08925936617489999
ACH-000113,-0.10461749859
ACH-000115,-0.190673545035
ACH-000116,-0.137944803821
ACH-000118,-0.0466639838579
ACH-000120,-0.149769318418
ACH-000123,-0.14383305773900001
ACH-000127,-0.22831038827599998
ACH-000128,-0.0349809037662
ACH-000132,-0.176899123208
ACH-000133,-0.275589283395
ACH-000137,-0.0202398084371
ACH-000138,-0.284440044342
ACH-000142,-0.351573392413
ACH-000143,-0.08629794510230002
ACH-000146,-0.219256365956
ACH-000148,-0.198049867298
ACH-000150,0.024318093114
ACH-000152,-0.104153143639
ACH-000153,-0.477582150788
ACH-000159,-0.15527102737
ACH-000160,-0.221218772918
ACH-000163,0.017731805269
ACH-000167,-0.407020755309
ACH-000168,-0.152198542546
ACH-000169,-0.0424954769623
ACH-000178,-0.09201021596110001
ACH-000182,-0.0190328620098
ACH-000183,-0.0768198569337
ACH-000188,-0.158862437737
ACH-000189,-0.38155615939099996
ACH-000190,-0.161214958676
ACH-000198,-0.204985202611
ACH-000204,-0.046745648502000005
ACH-000206,-0.202799127085
ACH-000207,-0.398024930261
ACH-000211,-0.180271721285
ACH-000215,-0.153787855576
ACH-000221,-0.174557519604
ACH-000222,0.029878660320599996
ACH-000223,-0.102350824523
ACH-000226,-0.234673043402
ACH-000227,-0.37800557475100005
ACH-000228,0.0403240746947
ACH-000231,-0.0721268865992
ACH-000232,-0.231558364687
ACH-000233,-0.07392060332489998
ACH-000234,-0.119862298817
ACH-000235,-0.10925430535
ACH-000237,-0.219717526018
ACH-000238,0.0291031300589
ACH-000243,-0.172638056731
ACH-000244,-0.27266230195999996
ACH-000246,-0.09757829462639998
ACH-000248,-0.322783394769
ACH-000250,-0.111461073718
ACH-000251,-0.564297769059
ACH-000253,-0.07167891139339999
ACH-000255,-0.122801565501
ACH-000256,0.04975833599690001
ACH-000257,-0.0566930415532
ACH-000258,-0.11039851544700001
ACH-000259,-0.116912485924
ACH-000260,-0.152700804913
ACH-000261,-0.275756447432
ACH-000262,-0.472793008882
ACH-000263,-0.317191127336
ACH-000264,-0.0418117953995
ACH-000265,-0.06339857171640001
ACH-000266,-0.087040139064
ACH-000272,-0.170715174509
ACH-000273,-0.13932146533
ACH-000274,-0.11562008747300001
ACH-000277,-0.20158103880999997
ACH-000278,-0.341403719705
ACH-000279,-0.12086888894600001
ACH-000280,-0.0703386589554
ACH-000281,-0.274601978353
ACH-000288,-0.124832825598
ACH-000291,-0.163647733352
ACH-000293,0.0714006437492
ACH-000294,-0.489569592683
ACH-000295,-0.0804033022313
ACH-000296,-0.136264754351
ACH-000302,-0.177275550562
ACH-000304,-0.049274580274
ACH-000307,-0.376012879613
ACH-000308,-0.0920941312417
ACH-000310,-0.197085699837
ACH-000311,-0.0789115438558
ACH-000312,-0.169647247077
ACH-000315,-0.324214231143
ACH-000316,-0.0451305165644
ACH-000317,-0.18065364595199998
ACH-000318,-0.254274444564
ACH-000319,-0.225562495338
ACH-000320,-0.381866204606
ACH-000322,-0.209252495148
ACH-000323,-0.27027279800500004
ACH-000324,-0.0036476642583899996
ACH-000329,-0.029979581419500002
ACH-000330,-0.0269743263882
ACH-000331,-0.085199533516
ACH-000332,-0.138901982456
ACH-000334,-0.46930561532799997
ACH-000335,-0.179130513266
ACH-000336,-0.2168434407
ACH-000337,-0.0821430218755
ACH-000339,-0.140938687271
ACH-000341,-0.256107772798
ACH-000348,-0.28699598981999996
ACH-000350,-0.0667835709469
ACH-000352,0.0233375063177
ACH-000356,-0.0811073196625
ACH-000361,-0.23082250446400002
ACH-000362,-0.276822218939
ACH-000363,-0.200824380033
ACH-000364,-0.137774888183
ACH-000365,-0.146723152938
ACH-000366,-0.283775085454
ACH-000368,-0.389486905616
ACH-000374,-0.15541202704399998
ACH-000375,0.161730511306
ACH-000376,-0.0958926371449
ACH-000381,-0.150039083184
ACH-000383,-0.180915799051
ACH-000387,-0.0176481041533
ACH-000389,0.0033011585674899997
ACH-000390,-0.0351635486106
ACH-000393,-0.25455911848
ACH-000395,-0.31291911212699997
ACH-000397,-0.11230413502
ACH-000401,-0.446648503775
ACH-000402,-0.21064143864799997
ACH-000403,-0.0763238367121
ACH-000404,0.050734761379300004
ACH-000406,-0.0797516186377
ACH-000407,-0.272834051478
ACH-000408,-0.197459689177
ACH-000410,-0.10307797733599999
ACH-000411,-0.234628676556
ACH-000414,-0.181973594577
ACH-000415,-0.123137947416
ACH-000416,-0.064138998033
ACH-000420,-0.040116181608099995
ACH-000421,-0.267309527744
ACH-000424,0.000625895921625
ACH-000425,-0.0794878891955
ACH-000426,-0.39647398488200003
ACH-000427,-0.270748560586
ACH-000433,-0.300190433881
ACH-000436,-0.026338982955400003
ACH-000444,-0.132076794281
ACH-000445,-0.155262859439
ACH-000448,-0.261064443697
ACH-000450,-0.15764831348
ACH-000452,-0.15422659219100002
ACH-000454,-0.351270387068
ACH-000458,-0.155898651703
ACH-000459,0.0640668497129
ACH-000460,-0.118764038731
ACH-000461,-0.34425591450599996
ACH-000463,-0.279445964801
ACH-000464,-0.171990523291
ACH-000466,-0.12955035278899998
ACH-000467,-0.09971242452120001
ACH-000468,-0.151972699218
ACH-000469,-0.122733443973
ACH-000470,-0.36123677080899996
ACH-000471,-0.100108288139
