,UPK2 (7379)
ACH-000004,-0.0891760591925
ACH-000007,-0.269879906815
ACH-000009,-0.286222871072
ACH-000011,-0.14784114345000002
ACH-000012,-0.192287117999
ACH-000013,-0.05515751222569999
ACH-000014,-0.18821105843400002
ACH-000015,-0.128903752509
ACH-000017,-0.21327385894200002
ACH-000018,-0.0374294797238
ACH-000019,-0.62306400969
ACH-000021,-0.135390822895
ACH-000022,-0.191860241873
ACH-000025,-0.21318080196800002
ACH-000028,-0.316460507946
ACH-000030,-0.14203838014
ACH-000035,-0.0609798423975
ACH-000036,-0.15227072082
ACH-000037,-0.791713113078
ACH-000039,0.12715069030200002
ACH-000040,-0.19383699719
ACH-000041,-0.595917507704
ACH-000042,-0.0188812852207
ACH-000045,-0.24966420138
ACH-000047,-0.143236806466
ACH-000052,-0.36096507017800006
ACH-000053,-0.2299013398
ACH-000054,-0.101692226991
ACH-000055,0.00159906082922
ACH-000060,-0.20111885443500002
ACH-000067,-0.265987549615
ACH-000070,-0.15430007105000001
ACH-000075,-0.33891421658299997
ACH-000078,-0.09591964423800001
ACH-000082,-0.125554469673
ACH-000085,0.018053465399599997
ACH-000086,-0.25252064952500003
ACH-000087,0.0379233232163
ACH-000092,-0.23958445116799998
ACH-000095,-0.10911603831800001
ACH-000097,-0.224657444678
ACH-000098,-0.181405798863
ACH-000099,-0.159888248919
ACH-000108,-0.204216501758
ACH-000113,-0.0896940076419
ACH-000115,0.0313819851136
ACH-000116,-0.28374942784699997
ACH-000118,-0.229295791239
ACH-000120,-0.227829928664
ACH-000123,-0.105857680965
ACH-000127,-0.12499715513000001
ACH-000128,-0.382816422004
ACH-000132,-0.294885296696
ACH-000133,-0.130574846021
ACH-000137,-0.193697935018
ACH-000138,-0.353587771294
ACH-000142,-0.0819110009486
ACH-000143,-0.0462675698949
ACH-000146,-0.100362278499
ACH-000148,-0.049528908633199996
ACH-000150,-0.43634345095
ACH-000152,-0.257215188814
ACH-000153,-0.332288899478
ACH-000159,-0.182394160655
ACH-000160,-0.25244570071
ACH-000163,-0.331557239382
ACH-000167,-0.455191962206
ACH-000168,-0.20787042142499998
ACH-000169,-0.154072100321
ACH-000178,-0.17716639161699999
ACH-000182,-0.0454771090615
ACH-000183,-0.125870063708
ACH-000188,-0.30256506923300003
ACH-000189,-0.37828020022799996
ACH-000190,-0.204939281583
ACH-000198,-0.36043699219400005
ACH-000204,0.0027206040659199997
ACH-000206,0.049923969955900004
ACH-000207,0.115800410141
ACH-000211,-0.143860521777
ACH-000215,-0.23141385200599998
ACH-000221,0.0818764061312
ACH-000222,-0.3593929095
ACH-000223,-0.197231953585
ACH-000226,0.024902482044299998
ACH-000227,-0.350969817329
ACH-000228,-0.507131156909
ACH-000231,-0.27375724786899996
ACH-000232,-0.21072800041900003
ACH-000233,0.035547913830699995
ACH-000234,-0.0645408353817
ACH-000235,-0.0855971540099
ACH-000237,-0.303283090838
ACH-000238,-0.212843401664
ACH-000243,-0.246873623695
ACH-000244,0.00101875310627
ACH-000246,-0.494990217327
ACH-000248,-0.0970360805385
ACH-000250,-0.187514689091
ACH-000251,-0.41845776707800003
ACH-000253,-0.22084408346999998
ACH-000255,-0.0708063612292
ACH-000256,-0.09096318547430002
ACH-000257,-0.351857057553
ACH-000258,-0.272646421825
ACH-000259,-0.18480523504000002
ACH-000260,-0.24450371447799998
ACH-000261,-0.14575888064099998
ACH-000262,-0.206812217004
ACH-000263,0.0105451197217
ACH-000264,-0.253885224993
ACH-000265,-0.11407017401799999
ACH-000266,-0.102960711907
ACH-000272,-0.21271874584699998
ACH-000273,-0.134544477458
ACH-000274,-0.268467206959
ACH-000277,-0.0222795661069
ACH-000278,-0.318827628171
ACH-000279,-0.11634898014100001
ACH-000280,-0.0504295116026
ACH-000281,-0.0780533296207
ACH-000288,-0.195781349908
ACH-000291,-0.206334605633
ACH-000293,-0.157037525635
ACH-000294,-0.092245582051
ACH-000295,-0.000912492978932
ACH-000296,-0.102491401959
ACH-000302,-0.0639397839669
ACH-000304,-0.06368788216990001
ACH-000307,-0.0535181003998
ACH-000308,-0.316033683909
ACH-000310,-0.114046189597
ACH-000311,-0.30337610327500003
ACH-000312,-0.325482183682
ACH-000315,-0.255434743982
ACH-000316,-0.528714437976
ACH-000317,-0.283165271959
ACH-000318,-0.181342832828
ACH-000319,-0.491541546735
ACH-000320,-0.0581915770589
ACH-000322,-0.103755115469
ACH-000323,-0.057395223719300004
ACH-000324,-0.184529818036
ACH-000329,-0.169764227762
ACH-000330,0.00412350451262
ACH-000331,-0.228887955931
ACH-000332,-0.330436304948
ACH-000334,-0.616737295391
ACH-000335,0.059344713985800004
ACH-000336,-0.151942115042
ACH-000337,-0.310821596049
ACH-000339,-0.159969926322
ACH-000341,-0.151266562832
ACH-000348,-0.204375423242
ACH-000350,-0.0629461024611
ACH-000352,-0.0117719513624
ACH-000356,-0.572732433275
ACH-000361,-0.143831675262
ACH-000362,-0.15948110602399998
ACH-000363,-0.18266277846
ACH-000364,-0.190535246896
ACH-000365,-0.25620936855500004
ACH-000366,-0.181768513184
ACH-000368,-0.056044139374000004
ACH-000374,-0.35247402714000003
ACH-000375,-0.326475286315
ACH-000376,-0.0881028600663
ACH-000381,-0.243998540599
ACH-000383,-0.13966877467
ACH-000387,-0.262833500368
ACH-000389,-0.354347073191
ACH-000390,-0.00579988489301
ACH-000393,-0.277859501511
ACH-000395,-0.312535485632
ACH-000397,-0.174763013514
ACH-000401,-0.123836340164
ACH-000402,-0.217402775601
ACH-000403,-0.357345447408
ACH-000404,-0.523981657906
ACH-000406,-0.19126634699
ACH-000407,-0.380675684882
ACH-000408,-0.12449280418099999
ACH-000410,-0.174596735871
ACH-000411,-0.250564009729
ACH-000414,-0.22230348724800003
ACH-000415,-0.148046291312
ACH-000416,-0.277031470204
ACH-000420,-0.245134590173
ACH-000421,-0.164704778505
ACH-000424,-0.202297025861
ACH-000425,-0.274457329952
ACH-000426,0.0323676758905
ACH-000427,-0.100377251551
ACH-000433,-0.1468148298
ACH-000436,-0.408190317206
ACH-000444,-0.14354290021
ACH-000445,-0.262061920674
ACH-000448,-0.29244795051
ACH-000450,-0.46680622916599995
ACH-000452,-0.211681553351
ACH-000454,-0.0414401560345
ACH-000458,-0.0975226346747
ACH-000459,-0.139848579154
ACH-000460,-0.245175166455
ACH-000461,-0.333298108433
ACH-000463,-0.11621396955
ACH-000464,-0.173498993263
ACH-000466,-0.228925496301
ACH-000467,-0.060247537558900006
ACH-000468,-0.213794032127
ACH-000469,-0.0945821230658
ACH-000470,-0.130534637616
ACH-000471,-0.0882673274756
ACH-000472,-0.341441055785
ACH-000473,-0.467105921988
ACH-000475,-0.229112360193
ACH-000476,-0.161555464684
ACH-000477,-0.125876526811
ACH-000480,-0.337838370518
ACH-000481,-0.256648974905
ACH-000483,-0.336426805494
ACH-000484,-0.42554570162199995
ACH-000485,-0.36293154648500003
ACH-000486,-0.226604905495
ACH-000487,-0.456230321254
ACH-000488,-0.160011509532
ACH-000490,-0.35122880706
ACH-000491,-0.219650111421
ACH-000495,-0.432834528245
ACH-000496,-0.102964898309
ACH-000499,-0.200408799139
ACH-000500,-0.8421002487170001
ACH-000502,-0.25310853652
ACH-000503,-0.200622102868
ACH-000505,-0.22350451710900002
ACH-000507,-0.328480842252
ACH-000510,-0.0979385602502
ACH-000511,-0.17236221747900002
ACH-000512,-0.32901469547699996
ACH-000516,-0.203607747747
ACH-000517,-0.231859266126
ACH-000518,-0.261370115394
ACH-000520,-0.020722382136
ACH-000521,-0.10101161276000001
ACH-000522,-0.207825348957
ACH-000524,-0.11051439752100001
ACH-000527,-0.309302518767
ACH-000528,-0.280460073887
ACH-000537,-0.277355505795
ACH-000541,-0.00994114361224
ACH-000542,-0.22315941252500002
ACH-000544,-0.113677422368
ACH-000545,-0.202892154183
ACH-000547,-0.14371093048800002
ACH-000548,-0.059985748544300006
ACH-000549,-0.157676108457
ACH-000550,-0.16087563132000002
ACH-000552,-0.114194362249
ACH-000556,-0.0186424684294
ACH-000557,-0.0747627149191
ACH-000570,-0.26379257014699997
ACH-000571,-0.340677154895
ACH-000573,-0.354295061029
ACH-000576,-0.550962892338
ACH-000580,-0.27039621664
ACH-000584,-0.182944969593
ACH-000585,-0.22674510924600003
ACH-000588,-0.442490865512
ACH-000589,-0.24200107382599997
ACH-000591,-0.0602281629385
ACH-000593,-0.165265959303
ACH-000600,-0.240399836281
ACH-000601,-0.229198191984
ACH-000604,-0.279216425534
ACH-000605,-0.13236758213400002
ACH-000606,-0.202210858953
ACH-000608,-0.268692840014
ACH-000614,-0.305232405383
ACH-000616,-0.05509879140980001
ACH-000618,-0.185470194338
ACH-000619,0.0404654738269
ACH-000620,-0.138365996964
ACH-000621,-0.0924603570518
ACH-000622,-0.241262697791
ACH-000623,-0.300398734366
ACH-000624,-0.38737405064
ACH-000627,-0.273978445949
ACH-000630,-0.21904163949799998
ACH-000632,-0.325567816371
ACH-000633,-0.27560295425299997
ACH-000637,-0.260397019946
ACH-000638,-0.120158252465
ACH-000646,-0.12675855711200001
ACH-000647,-0.16933679793200002
ACH-000648,-0.234125756312
ACH-000649,-0.07023918712739999
ACH-000651,-0.111610901478
ACH-000652,-0.295023942845
ACH-000653,-0.303705164929
ACH-000657,-0.07095850189899999
ACH-000658,-0.357192548824
ACH-000661,-0.05518073923280001
ACH-000662,-0.268315222051
ACH-000663,-0.132524171046
