,ANP32E (81611)
ACH-000004,-0.17698070517900003
ACH-000007,-0.2993700866
ACH-000009,-0.5408909108
ACH-000011,-0.383862907272
ACH-000012,-0.42354842920100005
ACH-000013,-0.306850415565
ACH-000014,0.176248512604
ACH-000015,-0.25387723196999995
ACH-000017,-0.10989480252
ACH-000018,0.06444611111580001
ACH-000019,-0.373280253264
ACH-000021,-0.304923273255
ACH-000022,-0.0726489137721
ACH-000025,-0.491659748191
ACH-000028,-0.377240051518
ACH-000030,-0.258221008928
ACH-000035,-0.291713424778
ACH-000036,-0.190167693228
ACH-000037,0.0388325609244
ACH-000039,-0.401525287414
ACH-000040,-0.015033898612899999
ACH-000041,-0.17211520521600002
ACH-000042,-0.35085903592100004
ACH-000045,-0.360002706016
ACH-000047,-0.114248850933
ACH-000052,-0.5561078868079999
ACH-000053,-0.489959284062
ACH-000054,-0.276114762439
ACH-000055,-0.321353062347
ACH-000060,-0.348050995775
ACH-000067,-0.22291912853100002
ACH-000070,-0.165259805091
ACH-000075,-0.0036105208054299995
ACH-000078,-0.476105751426
ACH-000082,-0.0998565062024
ACH-000085,0.112981121355
ACH-000086,-0.37897740722400003
ACH-000087,-0.301164490828
ACH-000092,-0.22192929479
ACH-000095,-0.37687397801
ACH-000097,-0.422443730744
ACH-000098,-0.511997559362
ACH-000099,-0.18501589126899998
ACH-000108,-0.625240238938
ACH-000113,-0.342506644168
ACH-000115,-0.340019779723
ACH-000116,-0.290549353804
ACH-000118,-0.33098507533599997
ACH-000120,0.0413321701036
ACH-000123,-0.327548438147
ACH-000127,-0.11262654628499999
ACH-000128,-0.185241436391
ACH-000132,-0.112176978025
ACH-000133,-0.641222359048
ACH-000137,-0.111831443687
ACH-000138,-0.344543956103
ACH-000142,-0.371748054572
ACH-000143,-0.16929287083900002
ACH-000146,-0.24469468303199998
ACH-000148,-0.211039998727
ACH-000150,-0.358104278983
ACH-000152,-0.26594879429900004
ACH-000153,-0.34426784078
ACH-000159,-0.328719685975
ACH-000160,0.04356051088909999
ACH-000163,-0.16962892397799997
ACH-000167,0.22559654064800003
ACH-000168,-0.43905514027
ACH-000169,-0.072993747937
ACH-000178,-0.335705774626
ACH-000182,-0.28630483413
ACH-000183,-0.302290264312
ACH-000188,-0.502393124419
ACH-000189,-0.137247519744
ACH-000190,0.202287310935
ACH-000198,-0.317222943353
ACH-000204,-0.403450414567
ACH-000206,-0.432773529364
ACH-000207,-0.25954721885000004
ACH-000211,-0.348334659014
ACH-000215,-0.225217966618
ACH-000221,-0.048914874988
ACH-000222,-0.20219137994800002
ACH-000223,-0.26252259635499997
ACH-000226,-0.472569549506
ACH-000227,-0.13372093137
ACH-000228,-0.291685757067
ACH-000231,-0.280379463767
ACH-000232,-0.353013518967
ACH-000233,-0.0247370954878
ACH-000234,-0.398799722708
ACH-000235,-0.41067187621699996
ACH-000237,-0.226139430238
ACH-000238,-0.305631732416
ACH-000243,-0.289762410634
ACH-000244,-0.224896078139
ACH-000246,-0.153945841132
ACH-000248,0.00354465758233
ACH-000250,-0.198479921296
ACH-000251,0.0953565580515
ACH-000253,-0.202192534395
ACH-000255,-0.269904563419
ACH-000256,-0.0981261944496
ACH-000257,-0.24425640288699998
ACH-000258,-0.689803448995
ACH-000259,-0.395942438196
ACH-000260,-0.39820349151600004
ACH-000261,-0.149430276038
ACH-000262,-0.38153610885399997
ACH-000263,-0.304269671139
ACH-000264,-0.45257600942000004
ACH-000265,-0.19411805263
ACH-000266,-0.354424337635
ACH-000272,-0.233736179212
ACH-000273,-0.604867028201
