,MRPS18A (55168)
ACH-000004,-0.430760028065
ACH-000007,-0.7800061632240001
ACH-000009,-0.45290563840099995
ACH-000011,-0.46955680517399995
ACH-000012,-0.633695338798
ACH-000013,-0.728642419821
ACH-000014,-0.34378079294200004
ACH-000015,-0.5802496143029999
ACH-000017,-0.514243471097
ACH-000018,-0.543782124223
ACH-000019,-0.861073323209
ACH-000021,-0.557436062625
ACH-000022,-0.679343221701
ACH-000025,-0.668133625094
ACH-000028,-0.800645436331
ACH-000030,-0.664121543758
ACH-000035,-0.8534031612369999
ACH-000036,-0.238809263993
ACH-000037,-0.414339736484
ACH-000039,-0.384976220943
ACH-000040,-0.405966195151
ACH-000041,-0.47595884763400004
ACH-000042,-0.30831246644
ACH-000045,-0.636534875433
ACH-000047,-0.593336497618
ACH-000052,-0.670064818078
ACH-000053,-0.460902242141
ACH-000054,-0.7098608289980001
ACH-000055,-0.377300833573
ACH-000060,-0.45720720364699996
ACH-000067,-0.44498684205300004
ACH-000070,-0.33620668782499996
ACH-000075,-0.167297611599
ACH-000078,-0.556748549849
ACH-000082,-0.344266236047
ACH-000085,-0.525252847585
ACH-000086,-0.5907640500460001
ACH-000087,-0.479634308507
ACH-000092,-0.524931917698
ACH-000095,-0.305688351714
ACH-000097,-0.41130366111500005
ACH-000098,-0.730223126
ACH-000099,-0.636606273413
ACH-000108,-0.173131876034
ACH-000113,-0.517408602414
ACH-000115,-0.540895475964
ACH-000116,-0.668847092223
ACH-000118,-0.9828439707269999
ACH-000120,-0.431077428572
ACH-000123,-0.508185454469
ACH-000127,-0.561204327767
ACH-000128,-0.737285981523
ACH-000132,-0.6891396759909999
ACH-000133,-0.397274189563
ACH-000137,-0.15020976877
ACH-000138,-0.609176444758
ACH-000142,-0.296909162329
ACH-000143,-0.550485839424
ACH-000146,-0.464325637482
ACH-000148,-0.525076045142
ACH-000150,-0.634666317833
ACH-000152,-0.457105923681
ACH-000153,-0.722843109454
ACH-000159,-0.670752539857
ACH-000160,-0.541637042664
ACH-000163,-0.36077643512900004
ACH-000167,-0.587414556099
ACH-000168,-0.179041676946
ACH-000169,-0.691967839715
ACH-000178,-0.572364873652
ACH-000182,-0.728670639941
ACH-000183,-0.586001117616
ACH-000188,-0.253858549459
ACH-000189,-0.586505987011
ACH-000190,-0.779446566246
ACH-000198,-0.477150665102
ACH-000204,-0.528220862355
ACH-000206,-0.46899131761999996
ACH-000207,-0.511786715757
ACH-000211,-0.466294104391
ACH-000215,-0.740156222808
ACH-000221,-0.998714728083
ACH-000222,-0.5217436639190001
ACH-000223,-0.640675829062
ACH-000226,-0.425701448495
ACH-000227,-0.726673574595
ACH-000228,-0.26444603801100003
ACH-000231,-0.572546354173
ACH-000232,-0.554731988993
ACH-000233,-0.762051740202
ACH-000234,-0.210928231366
ACH-000235,-0.625627157348
ACH-000237,-0.197403431114
ACH-000238,-0.5937640390919999
ACH-000243,-0.562436114429
ACH-000244,-0.7262796703030001
ACH-000246,-0.598489394225
ACH-000248,-0.552615706916
ACH-000250,-0.286553417966
ACH-000251,-0.77633082066
ACH-000253,-0.711358857175
ACH-000255,-0.533322161606
ACH-000256,-0.464542737221
ACH-000257,-0.38094876920299997
ACH-000258,-0.621269849724
ACH-000259,-0.74402916443
ACH-000260,-0.406187020127
ACH-000261,-0.45343770020900004
ACH-000262,-0.215428653211
ACH-000263,-0.381339626514
ACH-000264,-0.46898994688999995
ACH-000265,-0.654878026147
ACH-000266,-0.595756281869
ACH-000272,-0.296854564931
ACH-000273,-0.5853570496399999
ACH-000274,-0.29829639962
ACH-000277,-0.497499841151
ACH-000278,-0.34823981943800003
ACH-000279,-0.720229016574
ACH-000280,-0.38988566425899995
ACH-000281,-0.49225845158299997
ACH-000288,-0.711763876469
ACH-000291,-0.540490654582
ACH-000293,-0.599237917715
ACH-000294,-0.103132950167
ACH-000295,-0.471788458796
ACH-000296,-0.38617398037100004
ACH-000302,-0.6087105573889999
ACH-000304,-0.735426538136
ACH-000307,-0.515565261732
ACH-000308,-0.49463526315399997
ACH-000310,-0.532727908778
ACH-000311,-0.509717841825
ACH-000312,-0.765385540034
ACH-000315,-0.549618500698
ACH-000316,-0.6236217085419999
ACH-000317,-1.00104797403
ACH-000318,-0.712262765466
ACH-000319,-0.32146272255999997
ACH-000320,-0.8292299874339999
ACH-000322,-0.736086596815
ACH-000323,-0.562561512064
ACH-000324,-0.676264577251
ACH-000329,-0.667261682282
ACH-000330,-0.516626069567
ACH-000331,-0.544804886186
ACH-000332,-0.277685504445
ACH-000334,-0.330448300968
ACH-000335,-0.425464213178
ACH-000336,-0.585841959635
ACH-000337,-0.613101791249
ACH-000339,-0.660212090186
ACH-000341,-0.455799805313
ACH-000348,-0.45526482859899997
ACH-000350,-0.238883750924
