,DNASE1 (1773)
ACH-000004,-0.0291099613766
ACH-000007,-0.0119018622821
ACH-000009,0.0336489361646
ACH-000011,-0.18834255045099998
ACH-000012,-0.21748492805999997
ACH-000013,-0.210293889341
ACH-000014,-0.0044340276427799995
ACH-000015,-0.300673767568
ACH-000017,-0.0809276941764
ACH-000018,0.0707297855743
ACH-000019,0.0788871915204
ACH-000021,-0.213323252549
ACH-000022,-0.0268217140549
ACH-000025,-0.0161273594943
ACH-000028,-0.22336263367400003
ACH-000030,-0.00977641307555
ACH-000035,-0.127417712973
ACH-000036,-0.346919870933
ACH-000037,-0.141040193775
ACH-000039,-0.13929768718
ACH-000040,-0.32945344588500003
ACH-000041,-0.0813619257082
ACH-000042,-0.210083047771
ACH-000045,-0.26236356925
ACH-000047,-0.255856134102
ACH-000052,0.18692145066799998
ACH-000053,-0.19218051488
ACH-000054,-0.100154270631
ACH-000055,-0.0029423825685800003
ACH-000060,-0.0504220331041
ACH-000067,-0.19337112436999998
ACH-000070,-0.0730562117482
ACH-000075,-0.06945489843880001
ACH-000078,-0.10398681062899999
ACH-000082,-0.0455339895633
ACH-000085,-0.0431483508964
ACH-000086,-0.0467180744216
ACH-000087,-0.11815847014900001
ACH-000092,-0.120522261815
ACH-000095,-0.22411321376600002
ACH-000097,-0.274921632119
ACH-000098,-0.131250228066
ACH-000099,-0.17421448704999998
ACH-000108,-0.32970211406399996
ACH-000113,-0.19074681063
ACH-000115,-0.0460072709957
ACH-000116,-0.14591645226
ACH-000118,-0.207454884008
ACH-000120,-0.185307194712
ACH-000123,-0.15251473654300002
ACH-000127,-0.041974681655400005
ACH-000128,0.021505645396599996
ACH-000132,-0.126818355746
ACH-000133,0.015975225476599998
ACH-000137,-0.0138289668764
ACH-000138,-0.34341037309100003
ACH-000142,-0.268333641289
ACH-000143,-0.151543000135
ACH-000146,-0.10977104351299999
ACH-000148,-0.113904656912
ACH-000150,-0.22755954676600001
ACH-000152,-0.06991935425239999
ACH-000153,0.25108194704799996
ACH-000159,-0.11732753347100001
ACH-000160,0.0807519870595
ACH-000163,-0.0405363007139
ACH-000167,0.199609149707
ACH-000168,-0.0560759972459
ACH-000169,0.014516632632600002
ACH-000178,-0.119283934694
ACH-000182,-0.180659101828
ACH-000183,-0.153796220762
ACH-000188,-0.04642732606240001
ACH-000189,-0.176884451205
ACH-000190,-0.0786383810339
ACH-000198,-0.0487926709293
ACH-000204,-0.019794079796400004
ACH-000206,0.105171552732
ACH-000207,-0.307057320646
ACH-000211,-0.182278077834
ACH-000215,-0.0679512675356
