,ACHE (43)
ACH-000004,-0.15482252646
ACH-000007,-0.19461625604899999
ACH-000009,-0.0806539479086
ACH-000011,-0.0049089418962
ACH-000012,-0.200259114422
ACH-000013,-0.24886188234099998
ACH-000014,-0.338049731787
ACH-000015,-0.17001571220800002
ACH-000017,-0.275132486105
ACH-000018,-0.231597905134
ACH-000019,-0.324507342762
ACH-000021,-0.330705828029
ACH-000022,-0.461085418831
ACH-000025,-0.412442241463
ACH-000028,-0.334794273247
ACH-000030,-0.18900982597399998
ACH-000035,-0.31296791562
ACH-000036,-0.495401995746
ACH-000037,-0.519105307984
ACH-000039,-0.14123993861300002
ACH-000040,-0.36034717556
ACH-000041,-0.120967149833
ACH-000042,-0.180674278138
ACH-000045,-0.14367050841600001
ACH-000047,-0.46720081882
ACH-000052,-0.583986016051
ACH-000053,-0.269580788595
ACH-000054,-0.18207478545000003
ACH-000055,-0.105403545271
ACH-000060,-0.185884132162
ACH-000067,-0.495883121359
ACH-000070,-0.183643970321
ACH-000075,-0.198331550871
ACH-000078,-0.37874810368699996
ACH-000082,-0.439615201567
ACH-000085,-0.190356009837
ACH-000086,0.0550603759769
ACH-000087,-0.391362634308
ACH-000092,-0.299763002911
ACH-000095,-0.248512732692
ACH-000097,-0.269713565439
ACH-000098,-0.250480426578
ACH-000099,-0.316923238407
ACH-000108,-0.36298466828599996
ACH-000113,-0.00416631165571
ACH-000115,-0.394583035757
ACH-000116,-0.242765899594
ACH-000118,-0.22274009001999998
ACH-000120,-0.405556358015
ACH-000123,-0.296524678002
ACH-000127,-0.266235177658
ACH-000128,-0.415037354221
ACH-000132,-0.381200812196
ACH-000133,-0.112388110513
ACH-000137,-0.39861938042499995
ACH-000138,-0.392326749521
ACH-000142,-0.36889376471199997
ACH-000143,-0.184335369305
ACH-000146,-0.105322309851
ACH-000148,-0.463878005025
ACH-000150,-0.26517252272799996
ACH-000152,-0.39536968306299997
ACH-000153,-0.12075727775900001
ACH-000159,-0.168397678431
ACH-000160,-0.260991133855
ACH-000163,-0.449269042159
ACH-000167,-0.33353281423500003
ACH-000168,-0.06908041505189999
ACH-000169,0.194784550297
ACH-000178,-0.297041769455
ACH-000182,-0.289868328381
ACH-000183,-0.39546117030199995
ACH-000188,-0.124905428254
ACH-000189,-0.617645936159
ACH-000190,-0.293722940199
ACH-000198,-0.359899476984
ACH-000204,-0.0623918928913
ACH-000206,-0.123522210454
ACH-000207,-0.129604110416
ACH-000211,-0.13735695153799998
ACH-000215,-0.262590095466
ACH-000221,-0.668732385597
ACH-000222,-0.20935085729800001
ACH-000223,-0.039148073887
ACH-000226,-0.170312432872
ACH-000227,-0.18388211859499998
ACH-000228,-0.274238892713
ACH-000231,-0.299853740154
ACH-000232,-0.29256984262200003
ACH-000233,-0.31723449546
ACH-000234,-0.233217462834
ACH-000235,-0.333362777299
ACH-000237,-0.103586492618
ACH-000238,-0.439679822687
ACH-000243,-0.237540809287
ACH-000244,-0.6308028580089999
ACH-000246,-0.431463816955
ACH-000248,-0.0993410652178
ACH-000250,-0.248585088502
ACH-000251,-0.42167416965000004
ACH-000253,-0.360478880243
ACH-000255,-0.19730820902600002
ACH-000256,-0.296324331945
ACH-000257,-0.35338545449600006
ACH-000258,-0.208610348393
ACH-000259,-0.313879851686
ACH-000260,-0.224916656585
ACH-000261,-0.232396983827
ACH-000262,-0.54672432507
ACH-000263,-0.237985398105
ACH-000264,-0.409095616492
ACH-000265,-0.213698782804
ACH-000266,-0.0536491693676
ACH-000272,-0.328568241165
ACH-000273,-0.257370753523
ACH-000274,-0.297289457137
ACH-000277,-0.168310123492
ACH-000278,-0.16563872553200001
ACH-000279,-0.34090795082599995
ACH-000280,-0.139679530133
ACH-000281,-0.192933034723
ACH-000288,-0.317872504035
ACH-000291,-0.39316003191699994
ACH-000293,-0.704979389295
ACH-000294,-0.115220187253
ACH-000295,-0.07659529331789999
ACH-000296,-0.20542568805599998
ACH-000302,-0.243139638588
ACH-000304,0.019780805302099996
ACH-000307,-0.23015425675
ACH-000308,-0.26907414962
ACH-000310,-0.0714605752735
ACH-000311,-0.26190494514199997
ACH-000312,-0.294287893863
ACH-000315,-0.419292060911
ACH-000316,-0.06354629257540001
ACH-000317,-0.0706314685553
ACH-000318,-0.23357215868099998
ACH-000319,-0.164645920506
ACH-000320,-0.217466392818
ACH-000322,-0.178377976937
ACH-000323,-0.406659101135
ACH-000324,-0.279886317177
ACH-000329,-0.0610690902258
ACH-000330,-0.318591113191
ACH-000331,-0.211450384892
ACH-000332,-0.273219678876
ACH-000334,-0.43062620230899995
ACH-000335,-0.29836800598
ACH-000336,-0.394349433233
ACH-000337,-0.307370083161
ACH-000339,-0.23161503959000002
ACH-000341,-0.279759419798
ACH-000348,-0.322315964228
ACH-000350,-0.101588520527
ACH-000352,-0.356069981955
ACH-000356,-0.176240695478
ACH-000361,-0.228836817566
ACH-000362,-0.18354785359700002
ACH-000363,-0.19187022947500001
ACH-000364,-0.206451618982
ACH-000365,-0.31406085412900003
ACH-000366,-0.22998245131700001
ACH-000368,0.187940072878
ACH-000374,-0.39790436064900003
ACH-000375,-0.518575414662
ACH-000376,-0.196416036829
ACH-000381,-0.615825192892
ACH-000383,-0.276326866502
ACH-000387,-0.343880202658
ACH-000389,-0.426484799685
ACH-000390,-0.38896461292499995
ACH-000393,-0.290324760402
ACH-000395,-0.316899824052
ACH-000397,-0.267915031911
ACH-000401,-0.358152097708
ACH-000402,-0.012035484609
ACH-000403,-0.34737106145499996
ACH-000404,-0.317258590473
ACH-000406,-0.228770234982
ACH-000407,-0.490142698386
ACH-000408,-0.446303348983
ACH-000410,-0.401464626549
ACH-000411,-0.348118277149
ACH-000414,-0.266624053168
ACH-000415,-0.307248925432
ACH-000416,-0.336418776294
ACH-000420,-0.378932600139
ACH-000421,-0.362347748396
ACH-000424,-0.195007714353
ACH-000425,-0.347347877745
ACH-000426,-0.0549012519398
ACH-000427,-0.152954621962
ACH-000433,-0.23272901919300001
ACH-000436,-0.0367014276775
ACH-000444,-0.36928651917099997
ACH-000445,-0.0279954551221
ACH-000448,-0.317392352958
ACH-000450,-0.255328998983
ACH-000452,-0.291125897962
ACH-000454,-0.0950225982158
ACH-000458,-0.261122062966
ACH-000459,-0.621353255308
ACH-000460,-0.185644755043
ACH-000461,-0.34997265575000003
ACH-000463,-0.110506926775
ACH-000464,-0.355133248873
ACH-000466,-0.15183186587300002
ACH-000467,-0.402773592151
ACH-000468,-0.287363953589
ACH-000469,-0.383320549863
ACH-000470,-0.254420144239
ACH-000471,-0.250257547949
ACH-000472,-0.39026111627300003
ACH-000473,-0.361192213681
ACH-000475,-0.214001502257
ACH-000476,-0.200129786412
