,GTF2B (2959)
ACH-000004,-1.39604886865
ACH-000007,-1.20263588516
ACH-000009,-1.70256785745
ACH-000011,-1.30638543376
ACH-000012,-1.0376844054799998
ACH-000013,-1.5406144307499998
ACH-000014,-1.50101077926
ACH-000015,-1.25735285567
ACH-000017,-1.01816712478
ACH-000018,-0.973326667364
ACH-000019,-1.88248211445
ACH-000021,-1.25017606633
ACH-000022,-1.49239988852
ACH-000025,-1.292535599
ACH-000028,-1.54237528421
ACH-000030,-1.25943763674
ACH-000035,-1.31975454239
ACH-000036,-1.5158856115000001
ACH-000037,-1.5350601075499999
ACH-000039,-1.25220843109
ACH-000040,-1.0588614035500001
ACH-000041,-1.3613847862200001
ACH-000042,-1.21580857235
ACH-000045,-1.46149782306
ACH-000047,-1.2806692491
ACH-000052,-1.3463489806600002
ACH-000053,-1.49022115968
ACH-000054,-1.46916179128
ACH-000055,-1.3067115917899998
ACH-000060,-1.28533591334
ACH-000067,-1.28817838016
ACH-000070,-1.4800719550900001
ACH-000075,-1.3935130964200002
ACH-000078,-1.59245996681
ACH-000082,-1.4381004474599999
ACH-000085,-0.879389053829
ACH-000086,-1.45299521857
ACH-000087,-1.0977145243000002
ACH-000092,-1.41642774314
ACH-000095,-1.57406661373
ACH-000097,-1.7262191007900003
ACH-000098,-1.54741883865
ACH-000099,-1.41672663152
ACH-000108,-1.0823511881399999
ACH-000113,-1.3297894726000001
ACH-000115,-1.55989575712
ACH-000116,-1.45353103216
ACH-000118,-1.06996753884
ACH-000120,-1.4316986949200001
ACH-000123,-1.2235812428100001
ACH-000127,-1.28995761805
ACH-000128,-1.30230276114
ACH-000132,-1.57297221522
ACH-000133,-1.22568694667
ACH-000137,-1.2450043960600001
ACH-000138,-1.4627039829100001
ACH-000142,-1.30862400387
ACH-000143,-1.53656260745
ACH-000146,-1.66974308021
ACH-000148,-1.00675718803
ACH-000150,-1.66005531162
ACH-000152,-1.36737942456
ACH-000153,-1.3799470305000001
ACH-000159,-1.21144781485
ACH-000160,-0.944604773551
ACH-000163,-1.29279698513
ACH-000167,-1.11882466357
ACH-000168,-1.49658853622
ACH-000169,-1.37695907394
ACH-000178,-1.3401123942
ACH-000182,-1.33579624823
ACH-000183,-1.4727795611599999
ACH-000188,-1.0196144904
ACH-000189,-1.3903015788
ACH-000190,-0.941658783238
ACH-000198,-1.5484757282799997
ACH-000204,-0.9947315494760001
ACH-000206,-1.4847377802700001
ACH-000207,-1.38714345274
ACH-000211,-1.1092155485100001
ACH-000215,-1.50379236027
ACH-000221,-1.5657800708899998
ACH-000222,-1.30092670126
ACH-000223,-1.29706769955
ACH-000226,-1.2715913517
ACH-000227,-1.7396860963099998
ACH-000228,-1.7477936698599996
ACH-000231,-1.41890754253
ACH-000232,-1.4740871068399999
ACH-000233,-1.26376496809
ACH-000234,-1.53245420241
ACH-000235,-1.55668183333
ACH-000237,-1.25771020665
ACH-000238,-1.3460300119
ACH-000243,-1.3899510080000002
ACH-000244,-1.57751342641
ACH-000246,-1.2511084132899999
ACH-000248,-1.23084288575
ACH-000250,-1.4301150994799998
ACH-000251,-1.6433492422100002
ACH-000253,-1.6453595040900002
ACH-000255,-1.22961840487
ACH-000256,-1.1905479878
ACH-000257,-1.3766339498700002
ACH-000258,-1.92178905007
ACH-000259,-1.25765277574
ACH-000260,-1.37027445185
ACH-000261,-1.48818079968
ACH-000262,-1.36902312141
ACH-000263,-1.52706399945
ACH-000264,-1.52325792899
ACH-000265,-1.42069596881
ACH-000266,-1.5397349035499999
ACH-000272,-1.4669388242299999
ACH-000273,-1.3038601071
ACH-000274,-1.48240171349
ACH-000277,-1.36062829796
ACH-000278,-1.39590731063
ACH-000279,-1.41949085072
ACH-000280,-1.20724423637
ACH-000281,-1.25045816369
ACH-000288,-1.26794741437
ACH-000291,-1.47924772572
ACH-000293,-1.48036531424
ACH-000294,-1.3635054320500002
ACH-000295,-1.1958883044
ACH-000296,-1.44630322136
ACH-000302,-1.6303175519400002
ACH-000304,-1.5125890597
ACH-000307,-1.353394124
ACH-000308,-1.4557991294200001
ACH-000310,-1.55091104893
ACH-000311,-1.43546048546
ACH-000312,-1.55791012098
ACH-000315,-1.2559516327299998
ACH-000316,-1.3890350244
ACH-000317,-1.18819338219
ACH-000318,-1.56621558028
ACH-000319,-1.26393381268
ACH-000320,-1.34294179096
