,SEC61A1 (29927)
ACH-000004,-1.15741088586
ACH-000007,-1.45624371505
ACH-000009,-1.45020557784
ACH-000011,-1.3305022582600001
ACH-000012,-1.3356932231899998
ACH-000013,-1.33293712134
ACH-000014,-1.48948147442
ACH-000015,-1.2398981108
ACH-000017,-1.34272985225
ACH-000018,-1.3473938695899998
ACH-000019,-1.54723749109
ACH-000021,-1.4719495668
ACH-000022,-1.5619241471
ACH-000025,-1.2715168969700001
ACH-000028,-1.2194518277
ACH-000030,-1.40134581443
ACH-000035,-1.09618631861
ACH-000036,-1.48109244252
ACH-000037,-1.4938310209799999
ACH-000039,-1.3289970981700001
ACH-000040,-1.24077294226
ACH-000041,-1.5766054475600002
ACH-000042,-1.3214322021
ACH-000045,-1.7820533876900002
ACH-000047,-1.49593034379
ACH-000052,-1.3733548385499998
ACH-000053,-1.40304824645
ACH-000054,-1.22068751859
ACH-000055,-1.2553461481100001
ACH-000060,-1.31760568375
ACH-000067,-1.51349076981
ACH-000070,-1.45088787724
ACH-000075,-1.5309614411399999
ACH-000078,-1.14825830754
ACH-000082,-1.7287289191900004
ACH-000085,-1.26709307573
ACH-000086,-1.25885484551
ACH-000087,-1.20385023115
ACH-000092,-1.4746202675799998
ACH-000095,-1.4689341831099998
ACH-000097,-1.3691928441699999
ACH-000098,-1.398304965
ACH-000099,-1.37843980583
ACH-000108,-1.29268029111
ACH-000113,-1.50881541426
ACH-000115,-1.8659833320900001
ACH-000116,-1.4699007292
ACH-000118,-1.33316450383
ACH-000120,-1.4455296777899997
ACH-000123,-1.44844610111
ACH-000127,-1.6155640080000002
ACH-000128,-1.3317286262899999
ACH-000132,-1.7917781951400003
ACH-000133,-1.3474803654499998
ACH-000137,-1.13250382256
ACH-000138,-1.3107849595999999
ACH-000142,-1.0636001461700002
ACH-000143,-1.33612152029
ACH-000146,-1.54068076854
ACH-000148,-1.38284774796
ACH-000150,-1.4302184315900002
ACH-000152,-1.53212832817
ACH-000153,-1.6456917386200003
ACH-000159,-1.2827838279000001
ACH-000160,-1.40123315928
ACH-000163,-1.4284281026199999
