,FLNB (2317)
ACH-000004,0.054132429303599995
ACH-000007,0.19004356465
ACH-000009,-0.0901863417482
ACH-000011,-0.00581880309237
ACH-000012,-0.15976978719499998
ACH-000013,-0.109861852686
ACH-000014,-0.151293549653
ACH-000015,-0.178483720218
ACH-000017,0.00287563890209
ACH-000018,-0.364845147945
ACH-000019,-0.324680973527
ACH-000021,-0.255896029527
ACH-000022,0.00017626768008000002
ACH-000025,-0.267372590244
ACH-000028,-0.209702477718
ACH-000030,-0.10317238965299999
ACH-000035,-0.0477174346482
ACH-000036,-0.0870818260478
ACH-000037,-0.026455329880800002
ACH-000039,-0.122139404189
ACH-000040,-0.276420165068
ACH-000041,-0.188205514032
ACH-000042,-0.09610740469350001
ACH-000045,0.0615502406006
ACH-000047,0.048505400143800004
ACH-000052,0.0552411650342
ACH-000053,-0.0822308123034
ACH-000054,-0.041740279957800004
ACH-000055,0.043157753594300005
ACH-000060,0.08114822262310001
ACH-000067,-0.131170993657
ACH-000070,-0.31843556026000003
ACH-000075,-0.27772941702599996
ACH-000078,-0.0996642697275
ACH-000082,-0.269618353699
ACH-000085,-0.156939543891
ACH-000086,-0.254098916667
ACH-000087,-0.090788723192
ACH-000092,-0.08541777272739999
ACH-000095,-0.225338663585
ACH-000097,-0.156725563171
ACH-000098,-0.10722128783500001
ACH-000099,-0.165645837203
ACH-000108,-0.217236369898
ACH-000113,-0.18124142528700002
ACH-000115,-0.0141874767975
ACH-000116,-0.161931069008
ACH-000118,-0.322710036005
ACH-000120,-0.137057974913
ACH-000123,-0.16181440262900001
ACH-000127,-0.15980861486099998
ACH-000128,-0.264613497521
ACH-000132,-0.0220172783789
ACH-000133,-0.15663962918299998
ACH-000137,-0.121126025604
ACH-000138,-0.214492413928
ACH-000142,0.00274386532292
ACH-000143,-0.08585546158500001
ACH-000146,-0.009700284048020001
ACH-000148,0.0113434674094
ACH-000150,0.027934686367
ACH-000152,-0.220568507971
ACH-000153,-0.119386452882
ACH-000159,-0.168796280878
ACH-000160,-0.215707830138
ACH-000163,-0.239732868956
ACH-000167,-0.260826935359
ACH-000168,-0.219613887857
ACH-000169,-0.116389059056
ACH-000178,-0.154954962346
ACH-000182,-0.08807881577289998
ACH-000183,-0.09175303323480001
ACH-000188,0.0133017891335
ACH-000189,0.08502802928539999
ACH-000190,-0.17909714809399999
ACH-000198,-0.12575112591600002
ACH-000204,-0.0847422692118
ACH-000206,0.05000608709919999
ACH-000207,-0.17329416419799998
ACH-000211,-0.171507845718
ACH-000215,0.009137071647540001
ACH-000221,-0.270578188885
ACH-000222,-0.31431284819
ACH-000223,-0.084274788136
ACH-000226,-0.07340762629539999
ACH-000227,-0.033415658084900005
ACH-000228,-0.16830778522700002
ACH-000231,-0.16499189386
ACH-000232,-0.145444434813
ACH-000233,-0.015696323000299998
ACH-000234,-0.236431657476
ACH-000235,-0.130249278539
ACH-000237,-0.0941881330958
ACH-000238,-0.0680722956011
ACH-000243,-0.138523804089
ACH-000244,-0.23398151728
ACH-000246,-0.166045471109
ACH-000248,-0.0821148146691
ACH-000250,-0.0280475743828
ACH-000251,-0.18755826456900002
ACH-000253,-0.209517972568
ACH-000255,-0.162719217085
ACH-000256,-0.0540175794632
ACH-000257,-0.0792419554736
ACH-000258,-0.186326923941
ACH-000259,-0.129407894436
ACH-000260,-0.0767315043063
ACH-000261,-0.165279140648
ACH-000262,-0.07500937779910001
ACH-000263,0.05516431066869999
ACH-000264,-0.0440878847927
ACH-000265,-0.289901837414
ACH-000266,-0.15199142283199998
ACH-000272,-0.190762886305
ACH-000273,-0.0124585944998
ACH-000274,-0.112126501754
ACH-000277,0.109283278695
ACH-000278,-0.298078900556
ACH-000279,-0.146605728345
ACH-000280,-0.438123152571
ACH-000281,-0.347575159228
ACH-000288,-0.0529960344236
ACH-000291,-0.0633969312519
ACH-000293,-0.13871856739
ACH-000294,-0.206291392049
ACH-000295,-0.21222045428800002
ACH-000296,-0.182999300783
ACH-000302,-0.17089896987199998
ACH-000304,-0.16367548623
ACH-000307,-0.35881398791
ACH-000308,-0.151454711484
ACH-000310,-0.067794223777
ACH-000311,-0.0580601591871
ACH-000312,-0.16707952436100001
ACH-000315,-0.25691317425099996
ACH-000316,-0.056989035987599995
ACH-000317,-0.318269429291
ACH-000318,-0.22854141458500002
ACH-000319,-0.221179268593
ACH-000320,-0.447314207761
ACH-000322,0.00707419737591
ACH-000323,-0.056145257137
ACH-000324,-0.0574869248975
ACH-000329,-0.191532914232
ACH-000330,-0.20034775210900002
ACH-000331,-0.049846339660900005
ACH-000332,-0.163742453893
ACH-000334,0.11061763688300001
ACH-000335,-0.039347124640599994
ACH-000336,-0.28914818196
ACH-000337,-0.0952032664647
ACH-000339,-0.211340891796
ACH-000341,-0.175537213142
ACH-000348,-0.121245516969
ACH-000350,-0.0543682143401
ACH-000352,-0.12144441422499999
ACH-000356,-0.0507969423901
ACH-000361,-0.323577642543
ACH-000362,-0.125666169701
ACH-000363,-0.157659525581
ACH-000364,-0.152460545149
ACH-000365,-0.20689557101199998
ACH-000366,-0.154426257112
ACH-000368,-0.0676317604275
ACH-000374,-0.226225365002
ACH-000375,-0.0616428625398
ACH-000376,-0.08689744165449999
ACH-000381,-0.408644134844
ACH-000383,-0.0777455097656
ACH-000387,-0.10918097855799999
ACH-000389,0.078661717272
ACH-000390,-0.219561033033
ACH-000393,-0.26594730626999996
ACH-000395,-0.499104467608
ACH-000397,-0.133550295325
ACH-000401,-0.288047196084
ACH-000402,-0.652066397905
ACH-000403,0.013050637366400001
ACH-000404,0.0652241665569
ACH-000406,-0.15158591540400002
ACH-000407,-0.17859509528200002
ACH-000408,-0.124421633664
ACH-000410,-0.0166327840093
ACH-000411,0.038069466064199996
ACH-000414,-0.040936513083199996
ACH-000415,-0.246928634404
ACH-000416,-0.0158989601113
ACH-000420,-0.0663497808165
ACH-000421,-0.07924845910810001
ACH-000424,-0.16133100653
ACH-000425,-0.0575925409663
ACH-000426,-0.120555291232
ACH-000427,-0.000543050230185
ACH-000433,-0.030012972497099995
ACH-000436,-0.263171854142
ACH-000444,-0.10900157353800001
ACH-000445,-0.0433034257642
ACH-000448,-0.0677731547649
ACH-000450,0.08536852730910001
ACH-000452,-0.259372534292
ACH-000454,-0.344379497997
ACH-000458,-0.217230202866
ACH-000459,0.123331576428
ACH-000460,-0.137511706678
ACH-000461,-0.493309803803
ACH-000463,-0.0341201297947
ACH-000464,-0.176076591348
ACH-000466,-0.024424486428099995
ACH-000467,-0.0910344429806
ACH-000468,-0.113967122268
ACH-000469,-0.06236797462259999
ACH-000470,0.05155085953269999
ACH-000471,-0.037570044594400005
ACH-000472,-0.231631705508
ACH-000473,-0.138921405953
ACH-000475,-0.07459567518789999
ACH-000476,-0.0570884524917
ACH-000477,-0.44922657891
ACH-000480,-0.09785159263530001
ACH-000481,-0.102904630783
ACH-000483,-0.09146324250389999
ACH-000484,0.11085367158399999
ACH-000485,-0.125374027361
ACH-000486,-0.165707214369
ACH-000487,0.07993589458360001
ACH-000488,-0.00255095000396
ACH-000490,-0.23408164398000003
ACH-000491,-0.043916337652
ACH-000495,-0.1289385011
ACH-000496,0.070475217142
ACH-000499,-0.0932813574381
ACH-000500,0.269285548564
