,TMSB10 (9168)
ACH-000004,-0.758968287526
ACH-000007,-0.48548354071000005
ACH-000009,-0.7971429530149999
ACH-000011,-0.831351578744
ACH-000012,-0.7021711662819999
ACH-000013,-0.44810121971699995
ACH-000014,-0.6877195795700001
ACH-000015,-0.662397469512
ACH-000017,-0.738234073115
ACH-000018,-0.65821131372
ACH-000019,-0.674283057413
ACH-000021,-0.686283798278
ACH-000022,-0.6983555163959999
ACH-000025,-0.47160855383699996
ACH-000028,-0.7135283705750001
ACH-000030,-0.683646122817
ACH-000035,-0.732962820871
ACH-000036,-0.536765304462
ACH-000037,-0.372625853017
ACH-000039,-0.8241686856839999
ACH-000040,-0.440781355572
ACH-000041,-0.716683022313
ACH-000042,-0.58725231032
ACH-000045,-0.592663445654
ACH-000047,-0.6840224431199999
ACH-000052,-0.7520721755159999
ACH-000053,-0.594998019733
ACH-000054,-0.607454549701
ACH-000055,-0.6616649042670001
ACH-000060,-0.7166971522750001
ACH-000067,-0.6471998943
ACH-000070,-0.447413745827
ACH-000075,-0.899602168463
ACH-000078,-0.6117404097420001
ACH-000082,-0.685687658259
ACH-000085,-0.565333561889
ACH-000086,-0.569843165844
ACH-000087,-0.44437970818899997
ACH-000092,-0.8791494843109999
ACH-000095,-0.778825955111
ACH-000097,-0.641239241854
ACH-000098,-0.39860856803499994
ACH-000099,-0.631618649284
ACH-000108,-0.428497874
ACH-000113,-0.5584935354199999
ACH-000115,-0.71350046546
ACH-000116,-0.768394064762
ACH-000118,-0.650894201344
ACH-000120,-0.6344993950419999
ACH-000123,-0.821950552226
ACH-000127,-0.592233633428
ACH-000128,-0.425420937396
ACH-000132,-0.48358422464100004
ACH-000133,-0.5035484445530001
ACH-000137,-0.623231196164
ACH-000138,-0.8632033228579999
ACH-000142,-0.697487278752
ACH-000143,-0.44261925998199997
ACH-000146,-0.463927723266
ACH-000148,-0.464951371567
ACH-000150,-0.5854641225770001
ACH-000152,-0.634660380901
ACH-000153,-0.297125000959
ACH-000159,-0.603923429831
ACH-000160,-0.61593035766
ACH-000163,-0.536622276155
ACH-000167,-0.283179105685
ACH-000168,-0.852944354499
ACH-000169,-0.447419435947
ACH-000178,-0.449263985476
ACH-000182,-0.651930215208
ACH-000183,-0.624260556572
ACH-000188,-0.754951813584
ACH-000189,-0.617550248427
ACH-000190,-0.554303754593
ACH-000198,-0.560427976777
ACH-000204,-0.516809652168
ACH-000206,-0.19269492204799998
ACH-000207,-0.6840183383509999
ACH-000211,-0.650361469662
ACH-000215,-0.571811483165
ACH-000221,-0.61766354716
ACH-000222,-0.582387910012
ACH-000223,-0.55815845867
ACH-000226,-0.595838465085
ACH-000227,-0.8653990953990001
ACH-000228,-0.8494946646610001
ACH-000231,-0.49202202127899997
ACH-000232,-0.6186648669529999
ACH-000233,-0.716405354693
ACH-000234,-0.504668547586
ACH-000235,-0.6477428963490001
ACH-000237,-0.506534098619
ACH-000238,-0.8679701848989999
ACH-000243,-0.5321014810970001
ACH-000244,-0.80612166124
ACH-000246,-0.6098037199040001
ACH-000248,-0.7002191931880001
ACH-000250,-0.490360873959
ACH-000251,-0.381494447006
ACH-000253,-0.528013857965
ACH-000255,-0.56570489654
ACH-000256,-0.815912187331
ACH-000257,-0.254486757561
ACH-000258,-0.624795306231
ACH-000259,-0.72287992757
ACH-000260,-0.509104597652
ACH-000261,-0.567333618589
ACH-000262,-0.443258819586
ACH-000263,-0.37197599935900005
ACH-000264,-0.6777116645929999
ACH-000265,-0.7790343430589999
ACH-000266,-0.7047005822910001
ACH-000272,-0.677350754907
ACH-000273,-0.565717078814
