,DRAP1 (10589)
ACH-000004,-0.510723858269
ACH-000007,-0.504608191249
ACH-000009,-0.456764101004
ACH-000011,-1.03287316497
ACH-000012,-0.185329185219
ACH-000013,-0.251102455113
ACH-000014,-0.235920807992
ACH-000015,-0.509837750959
ACH-000017,-0.016512295386999998
ACH-000018,-0.774845717633
ACH-000019,-0.27600907977899997
ACH-000021,-0.230769759572
ACH-000022,-0.560293977806
ACH-000025,-0.51186626213
ACH-000028,-0.6145035907859999
ACH-000030,-0.316713539134
ACH-000035,-0.608122623371
ACH-000036,-0.31014406594300004
ACH-000037,-1.10501304662
ACH-000039,-0.505430469141
ACH-000040,-0.652339958716
ACH-000041,-0.546465016379
ACH-000042,-0.787268353629
ACH-000045,-0.855567765425
ACH-000047,-0.415214130149
ACH-000052,-0.669924778901
ACH-000053,-0.191755957866
ACH-000054,-0.029180846598900002
ACH-000055,-0.8179045984659999
ACH-000060,-0.624274689209
ACH-000067,-0.55673168462
ACH-000070,-0.528830187725
ACH-000075,-0.82548102811
ACH-000078,-0.273814307358
ACH-000082,-0.511172388671
ACH-000085,-0.6848229799719999
ACH-000086,-0.375804155964
ACH-000087,-0.41742613432899994
ACH-000092,-0.5690000031100001
ACH-000095,-0.6369707211600001
ACH-000097,-0.787738051278
ACH-000098,-0.40881027247699997
ACH-000099,0.16920283424000002
ACH-000108,-0.390027095155
ACH-000113,-0.820143399837
ACH-000115,-0.435692331117
ACH-000116,-0.932505592042
ACH-000118,-0.720069954233
ACH-000120,-0.336842966347
ACH-000123,-0.537157763957
ACH-000127,-0.523418647057
ACH-000128,-0.481587344705
ACH-000132,-0.494180965746
ACH-000133,-0.491902180559
ACH-000137,-0.315005975898
ACH-000138,-0.538865409471
ACH-000142,-0.7200058820899999
ACH-000143,-0.738256557694
ACH-000146,-0.6061154624130001
ACH-000148,-0.624916741594
ACH-000150,-0.654241860259
ACH-000152,-0.185927735721
ACH-000153,-0.285255680093
ACH-000159,-0.649559437234
ACH-000160,-0.5062509883590001
ACH-000163,-0.412983121131
ACH-000167,-0.967909856388
ACH-000168,-0.6758331589509999
ACH-000169,-0.370207133033
ACH-000178,-0.483512344837
ACH-000182,-0.536544561357
ACH-000183,-0.858560240182
ACH-000188,-0.770814404384
ACH-000189,-0.657403186499
ACH-000190,-0.609447874462
ACH-000198,-0.641214766239
ACH-000204,-0.476804840331
ACH-000206,-0.644427727946
ACH-000207,-0.994971729135
ACH-000211,-0.615268513587
ACH-000215,-0.571421498196
ACH-000221,-0.41737169485
ACH-000222,-0.568793821756
ACH-000223,-0.60905252724
ACH-000226,-0.64337310389
ACH-000227,-0.399714671914
ACH-000228,-0.531120037028
ACH-000231,-0.8136054796459999
ACH-000232,-0.7715335226260001
ACH-000233,-0.193293951086
ACH-000234,-0.696538472682
ACH-000235,-0.918398310359
ACH-000237,-0.614825066617
ACH-000238,-0.884556120755
ACH-000243,-0.752232967676
ACH-000244,-0.665763151244
ACH-000246,-0.648297243905
ACH-000248,-0.139082250715
ACH-000250,-0.522258627333
ACH-000251,-0.796654794914
ACH-000253,-0.254988181553
ACH-000255,-0.46067880666
ACH-000256,-0.614743827804
ACH-000257,-0.19662908466899998
ACH-000258,0.190411657536
ACH-000259,-0.368834909261
ACH-000260,-0.7125021469600001
ACH-000261,-0.563502128852
ACH-000262,-0.86203811082
ACH-000263,-0.5215300235970001
ACH-000264,-0.261587525785
ACH-000265,-0.41085284353100004
ACH-000266,-0.654172336943
ACH-000272,-0.516010928744
ACH-000273,-0.9401578181799999
ACH-000274,-0.0833707210647
ACH-000277,-0.48602365017099997
ACH-000278,-0.601497474737
ACH-000279,-0.495039306796
ACH-000280,-0.748743245899
ACH-000281,-0.699785659391
ACH-000288,-0.277230487035
ACH-000291,-0.282300423946
ACH-000293,-0.385376918671
ACH-000294,-0.975289590791
ACH-000295,-0.986505227564
ACH-000296,-0.29627301839000003
ACH-000302,-0.280181809557
ACH-000304,-0.536031764034
ACH-000307,-0.7034661086409999
ACH-000308,-0.49257038141099996
ACH-000310,-0.423617889327
ACH-000311,-0.473939116901
ACH-000312,-0.47858561193899996
ACH-000315,-0.6831621395149999
ACH-000316,-0.9469187320620001
ACH-000317,-1.1383169854100001
ACH-000318,-0.866240186673
ACH-000319,-0.430286251099
ACH-000320,-0.269480061268
ACH-000322,-0.658483775454
ACH-000323,-0.390468627655
ACH-000324,-0.503020674512
ACH-000329,-0.03844667218080001
ACH-000330,-0.6498722717759999
ACH-000331,-0.818076145638
ACH-000332,-0.6676350563210001
ACH-000334,-0.7341357187469999
ACH-000335,-0.310004616292
ACH-000336,-0.732850973836
ACH-000337,-0.446431032589
ACH-000339,-0.536818367819
ACH-000341,-0.644835836585
ACH-000348,-0.444757114851
ACH-000350,-0.646021436329
ACH-000352,-0.516806329206
ACH-000356,-0.527272442596
ACH-000361,0.1609802715
