,PINK1 (65018)
ACH-000004,-0.136938810357
ACH-000007,-0.014528661633899998
ACH-000009,-0.452735540334
ACH-000011,-0.113598445089
ACH-000012,-0.205434324093
ACH-000013,-0.13070385891699998
ACH-000014,-0.274454820267
ACH-000015,-0.226858168629
ACH-000017,0.0646009176692
ACH-000018,-0.00772864680604
ACH-000019,0.472325282403
ACH-000021,-0.166695603773
ACH-000022,0.0942930339681
ACH-000025,-0.12680950350700002
ACH-000028,-0.0028820973335599996
ACH-000030,-0.102340664582
ACH-000035,-0.33193183131
ACH-000036,-0.0571974896389
ACH-000037,-0.19674673748799998
ACH-000039,-0.298593983211
ACH-000040,-0.17301084918200002
ACH-000041,-0.0819405782265
ACH-000042,-0.1310467478
ACH-000045,-0.125381985304
ACH-000047,-0.169576873686
ACH-000052,-0.38295204276199996
ACH-000053,-0.142831336361
ACH-000054,0.00673473698337
ACH-000055,-0.319536283402
ACH-000060,-0.106553715425
ACH-000067,-0.16895250709100001
ACH-000070,-0.321924852934
ACH-000075,-0.26048304532600003
ACH-000078,-0.201169467029
ACH-000082,-0.17284500173200001
ACH-000085,-0.332213464767
ACH-000086,-0.245546556473
ACH-000087,-0.0998599828107
ACH-000092,-0.36378453482199996
ACH-000095,-0.0855243284714
ACH-000097,-0.110482252148
ACH-000098,-0.119247648301
ACH-000099,-0.0837124426927
ACH-000108,-0.169848240339
ACH-000113,-0.0130365480157
ACH-000115,0.10504810261299999
ACH-000116,-0.0233939728348
ACH-000118,-0.05186072304119999
ACH-000120,-0.323930104072
ACH-000123,-0.21141192936500003
ACH-000127,-0.11218112828099999
ACH-000128,-0.520681192844
ACH-000132,0.07694207851200001
ACH-000133,-0.090346016131
ACH-000137,-0.426449144925
ACH-000138,0.025434209104599998
ACH-000142,-0.199685062079
ACH-000143,-0.281865822228
ACH-000146,-0.143500085887
ACH-000148,-0.185407102205
ACH-000150,-0.5809707574390001
ACH-000152,-0.343478779541
ACH-000153,-0.128091190776
