,PKHD1 (5314)
ACH-000004,-0.21935165882399998
ACH-000007,-0.0141860022391
ACH-000009,-0.08773510527339999
ACH-000011,-0.07197505435210001
ACH-000012,-0.09208143891719998
ACH-000013,-0.142971641199
ACH-000014,-0.202038790468
ACH-000015,0.0178205831851
ACH-000017,0.08767449344599999
ACH-000018,-0.076055217085
ACH-000019,-0.169445017964
ACH-000021,-0.111725030008
ACH-000022,-0.0869808153767
ACH-000025,-0.0970572051829
ACH-000028,-0.176212130742
ACH-000030,-0.17814741204100001
ACH-000035,-0.35913506086999997
ACH-000036,-0.20610804690499998
ACH-000037,-0.380849374592
ACH-000039,-0.121979987255
ACH-000040,0.07641732646680001
ACH-000041,-0.15084268640100001
ACH-000042,-0.09925881754629999
ACH-000045,-0.263583664537
ACH-000047,-0.24212039396200002
ACH-000052,-0.43562214927299997
ACH-000053,-0.134156167351
ACH-000054,-0.07258526665130001
ACH-000055,-0.0255925946507
ACH-000060,-0.192758563422
ACH-000067,-0.394692105905
ACH-000070,0.024751452433700003
ACH-000075,-0.0385789077391
ACH-000078,-0.49031830293399997
ACH-000082,-0.236088293358
ACH-000085,-0.015114025633499999
ACH-000086,-0.09573822890830001
ACH-000087,-0.18540734087400002
ACH-000092,-0.09220289579160001
ACH-000095,-0.128592278432
ACH-000097,-0.15065194797700002
ACH-000098,-0.132651204512
ACH-000099,-0.281278117446
ACH-000108,-0.0660532499563
ACH-000113,-0.249322055205
ACH-000115,0.187938119155
ACH-000116,-0.025556277845700002
ACH-000118,-0.085148497565
ACH-000120,-0.0169859179821
ACH-000123,-0.111070381537
ACH-000127,-0.206662176724
ACH-000128,-0.14732465889000002
ACH-000132,-0.0877013573078
ACH-000133,-0.182742344745
ACH-000137,0.124396360047
ACH-000138,-0.108716819056
ACH-000142,-0.241694349669
ACH-000143,0.195790404285
ACH-000146,-0.09259010515699999
ACH-000148,-0.0834154415987
ACH-000150,0.107362058399
ACH-000152,-0.31649214624
ACH-000153,-0.6236843745130001
ACH-000159,-0.257330699765
ACH-000160,-0.009505254897860001
ACH-000163,-0.00502889679565
ACH-000167,0.0423831846359
ACH-000168,-0.402785927894
ACH-000169,-0.15721895799900001
ACH-000178,-0.176762753173
ACH-000182,-0.0682007060847
ACH-000183,-0.22787978539
ACH-000188,-0.174658547712
ACH-000189,0.16857215461599998
ACH-000190,-0.297983467309
ACH-000198,-0.141805824036
ACH-000204,0.0113626849912
ACH-000206,-0.306867843788
ACH-000207,-0.39832152272699994
ACH-000211,-0.0106952298779
ACH-000215,-0.192638977771
ACH-000221,-0.152009897035
ACH-000222,-0.152338858138
ACH-000223,-0.266535385013
ACH-000226,-0.132630224202
ACH-000227,-0.405741817117
ACH-000228,-0.244985315407
ACH-000231,-0.218744024778
ACH-000232,-0.09000515557880001
ACH-000233,-0.246023689154
ACH-000234,0.022994692412299997
ACH-000235,-0.0766697485397
ACH-000237,0.08611019632210001
ACH-000238,-0.292194764883
ACH-000243,-0.0944786752684
ACH-000244,-0.540754881954
ACH-000246,-0.11108073381200001
ACH-000248,-0.307485766597
ACH-000250,-0.172187392137
ACH-000251,0.28288324160399997
ACH-000253,-0.298866249293
ACH-000255,-0.06439211810619999
ACH-000256,0.0106199692932
ACH-000257,0.237064727534
ACH-000258,-0.06586667845319999
ACH-000259,-0.0565527610946
