,PIDD1 (55367)
ACH-000004,-0.152882185729
ACH-000007,0.0977067686172
ACH-000009,-0.053441906368500006
ACH-000011,-0.246164098059
ACH-000012,-0.0944356020699
ACH-000013,-0.036039156575599994
ACH-000014,-0.243909362209
ACH-000015,-0.114087529826
ACH-000017,-0.11481197360999999
ACH-000018,-0.398020964751
ACH-000019,-0.025520651247499998
ACH-000021,-0.0801451205274
ACH-000022,-0.0546313954395
ACH-000025,-0.174304492436
ACH-000028,-0.28006211648
ACH-000030,-0.102580268592
ACH-000035,-0.085769785266
ACH-000036,-0.22926854836
ACH-000037,-0.014873417498700001
ACH-000039,0.088363922588
ACH-000040,-0.163570644866
ACH-000041,-0.366827821228
ACH-000042,-0.221314644005
ACH-000045,-0.09722033348589999
ACH-000047,-0.155679399749
ACH-000052,-0.23518707375700001
ACH-000053,-0.13910410223300002
ACH-000054,-0.125860355045
ACH-000055,-0.153771678938
ACH-000060,-0.171266455312
ACH-000067,-0.1886512834
ACH-000070,-0.47617232453100006
ACH-000075,-0.146965163589
ACH-000078,-0.371969944656
ACH-000082,-0.0352651074596
ACH-000085,-0.205179743281
ACH-000086,-0.12219885557499999
ACH-000087,-0.056606951400100004
ACH-000092,-0.114132646649
ACH-000095,-0.00507291044007
ACH-000097,-0.161419582337
ACH-000098,-0.0793473356219
ACH-000099,-0.132720627221
ACH-000108,-0.30904877055
ACH-000113,-0.309521623233
ACH-000115,-0.10521797850400001
ACH-000116,-0.0756605495638
ACH-000118,-0.022057680139900004
ACH-000120,0.149891380727
ACH-000123,-0.0517759275426
ACH-000127,-0.106034107948
ACH-000128,-0.172005311253
ACH-000132,-0.279330562261
ACH-000133,0.00873665260748
ACH-000137,-0.21334351425099998
ACH-000138,-0.217336025726
ACH-000142,-0.12171999771400001
ACH-000143,-0.0424771939135
ACH-000146,-0.21888309921
ACH-000148,-0.0350945033014
ACH-000150,-0.36094362909100003
ACH-000152,-0.0645327201409
ACH-000153,-0.37061149725599996
ACH-000159,-0.10851389283299999
ACH-000160,0.016057117404700002
ACH-000163,-0.245651161341
ACH-000167,-0.0143094662522
ACH-000168,-0.0977736247743
ACH-000169,-0.145357670567
ACH-000178,-0.0953259311358
