,PRRX2 (51450)
ACH-000004,-0.08687672281600001
ACH-000007,-0.235298680072
ACH-000009,0.0271471052782
ACH-000011,-0.31085018372400003
ACH-000012,-0.22823691671
ACH-000013,-0.045498663077099995
ACH-000014,0.0160736219807
ACH-000015,-0.09560600154030001
ACH-000017,-0.10868628437200001
ACH-000018,-0.0125178887971
ACH-000019,-0.0215815287862
ACH-000021,-0.11770648072499999
ACH-000022,-0.0552443105914
ACH-000025,-0.0632819565159
ACH-000028,0.345494732975
ACH-000030,-0.182581148644
ACH-000035,0.242268389531
ACH-000036,-0.008328315601529999
ACH-000037,-0.0739037723531
ACH-000039,-0.13425036393200002
ACH-000040,-0.27367606328899996
ACH-000041,-0.21618633378000002
ACH-000042,-0.0341958064774
ACH-000045,-0.18781384710299998
ACH-000047,0.049472827353
ACH-000052,0.057977702514500004
ACH-000053,0.0161104337884
ACH-000054,0.133741265212
ACH-000055,-0.16843600596
ACH-000060,-0.059820724875300005
ACH-000067,-0.195868227418
ACH-000070,-0.08957278535350001
ACH-000075,-0.0156271444612
ACH-000078,0.07235354769539999
ACH-000082,-0.11075528418700001
ACH-000085,-0.600394558259
ACH-000086,-0.0656818889145
ACH-000087,-0.276057187341
ACH-000092,-0.11715708044000002
ACH-000095,-0.10050537216199999
ACH-000097,-0.17895362177700003
ACH-000098,-0.0858961938206
ACH-000099,0.008011391394850001
ACH-000108,-0.041694847053699996
ACH-000113,-0.126232081128
ACH-000115,-0.416043653714
ACH-000116,-0.06731172614269999
ACH-000118,-0.110232844627
ACH-000120,0.00250616373839
ACH-000123,-0.17457091640500003
ACH-000127,-0.025569463452499996
ACH-000128,-0.21246787130199998
ACH-000132,-0.151771927294
ACH-000133,0.00839671318681
ACH-000137,0.192955017924
ACH-000138,-0.042795473794099995
ACH-000142,-0.020049366808200002
ACH-000143,-0.286407634688
ACH-000146,0.024332573796900004
ACH-000148,-0.263629056833
ACH-000150,-0.0187969040078
ACH-000152,-0.16495623105999999
ACH-000153,0.230672748801
ACH-000159,0.0391330615877
ACH-000160,-0.0312153681816
ACH-000163,-0.16883920917
ACH-000167,-0.191842947254
ACH-000168,-0.000192908487395
ACH-000169,-0.0420803718824
ACH-000178,-0.0772706676405
ACH-000182,-0.129661079305
ACH-000183,0.007361613525170001
ACH-000188,-0.156350917554
ACH-000189,-0.0905079279236
ACH-000190,0.316588194802
ACH-000198,-0.08794729609639998
ACH-000204,0.000200435963798
ACH-000206,-0.648111341252
ACH-000207,-0.240482502104
ACH-000211,0.0518272362194
ACH-000215,-0.0301639195682
ACH-000221,-0.139650555708
ACH-000222,0.0736198351145
ACH-000223,-0.152080647672
ACH-000226,-0.257132174285
ACH-000227,0.021416203518
ACH-000228,-0.37803706797700004
ACH-000231,-0.026390228072900004
ACH-000232,-0.0662549586218
ACH-000233,0.051156903102
ACH-000234,0.021164817634900003
ACH-000235,-0.0415946690034
ACH-000237,-0.25421744935699997
ACH-000238,-0.132430734173
