,KATNA1 (11104)
ACH-000004,0.0158392211371
ACH-000007,-0.34941134533
ACH-000009,-0.568158648719
ACH-000011,-0.0423950323388
ACH-000012,-0.15413890645
ACH-000013,-0.39554207913199996
ACH-000014,-0.025692778782799998
ACH-000015,0.0166489370306
ACH-000017,-0.485836470878
ACH-000018,-0.170018467445
ACH-000019,-0.31536053156
ACH-000021,-0.5425341740380001
ACH-000022,-0.5905269988340001
ACH-000025,-0.0660272122414
ACH-000028,-0.714891408968
ACH-000030,-0.19366784919100002
ACH-000035,-0.0774378832477
ACH-000036,-0.150574155097
ACH-000037,-0.0389390757325
ACH-000039,0.00774907324839
ACH-000040,-0.192963942392
ACH-000041,-0.0238300139325
ACH-000042,-0.221192052828
ACH-000045,-0.08793318085280001
ACH-000047,0.029117804620500003
ACH-000052,0.138447553049
ACH-000053,-0.0621193992449
ACH-000054,-0.171517809263
ACH-000055,-0.19343365478799998
ACH-000060,-0.224179792314
ACH-000067,-0.223671468207
ACH-000070,-0.0444432514442
ACH-000075,-0.192993099932
ACH-000078,-0.0649369923902
ACH-000082,-0.217539322054
ACH-000085,0.0443545034302
ACH-000086,0.0594320291017
ACH-000087,-0.054556323271000004
ACH-000092,-0.08561279790899999
ACH-000095,-0.026080044469499998
ACH-000097,-0.0159328848016
ACH-000098,-0.138673687945
ACH-000099,-0.159989325117
ACH-000108,-0.163133515682
ACH-000113,-0.19154462838
ACH-000115,-0.35526280948100003
ACH-000116,-0.226323943028
ACH-000118,-0.094163384569
ACH-000120,-0.158909060079
ACH-000123,-0.0263121316531
ACH-000127,-0.295532255121
ACH-000128,-0.159462514729
ACH-000132,-0.151706014512
ACH-000133,-0.0645447281304
ACH-000137,-0.0235037658451
ACH-000138,-0.22527530852299998
ACH-000142,-0.284059250941
ACH-000143,-0.0599255453945
ACH-000146,-0.389307110184
ACH-000148,-0.0508101563071
ACH-000150,-0.10020923366800001
ACH-000152,-0.118991036608
ACH-000153,0.180397359501
ACH-000159,-0.0716819805002
ACH-000160,-0.251606747737
ACH-000163,0.0667224384969
ACH-000167,-0.144008992611
ACH-000168,-0.248641553136
ACH-000169,-0.0263985765057
ACH-000178,-0.0111864429994
ACH-000182,-0.23298700486200002
ACH-000183,-0.012599995281700001
ACH-000188,-0.10352069052999999
ACH-000189,0.152058547629
ACH-000190,-0.146374199895
ACH-000198,-0.11252457140999998
ACH-000204,-0.060512615640199996
ACH-000206,0.11268811768100001
ACH-000207,-0.172459153496
ACH-000211,-0.313383368192
ACH-000215,-0.0873165436796
ACH-000221,-0.126963457412
ACH-000222,-0.296931743021
ACH-000223,-0.294203293134
