,ELSPBP1 (64100)
ACH-000004,-0.020100227518400002
ACH-000007,-0.106530600134
ACH-000009,-0.0672680905206
ACH-000011,0.12374013092
ACH-000012,-0.0980817589638
ACH-000013,-0.226296593895
ACH-000014,0.05089749910519999
ACH-000015,-0.165152981445
ACH-000017,0.146775225513
ACH-000018,0.0285461939842
ACH-000019,-0.100822913879
ACH-000021,-0.0501482257501
ACH-000022,0.036553786475
ACH-000025,0.196639456586
ACH-000028,-0.11508747642000001
ACH-000030,-0.07201336221360001
ACH-000035,-0.117577869618
ACH-000036,-0.00109837543388
ACH-000037,0.309131763009
ACH-000039,-0.0193503002377
ACH-000040,0.19548866368599999
ACH-000041,-0.08255474142630001
ACH-000042,0.0767455715451
ACH-000045,0.11299444108899999
ACH-000047,0.0144571705185
ACH-000052,0.0904673611417
ACH-000053,-0.333027808369
ACH-000054,-0.10005059547499999
ACH-000055,0.0529571905766
ACH-000060,0.15549530542099999
ACH-000067,-0.130103642358
ACH-000070,0.080144319967
ACH-000075,0.129213142753
ACH-000078,0.149004174461
ACH-000082,0.107760049998
ACH-000085,-0.158667606781
ACH-000086,0.0227014045597
ACH-000087,-0.0526207786925
ACH-000092,0.047547410739000005
ACH-000095,0.00686227872153
ACH-000097,-0.0916826640427
ACH-000098,-0.18824278770199998
ACH-000099,-0.081736700144
ACH-000108,-0.040884809949400004
ACH-000113,-0.0226398281391
ACH-000115,-0.08005702055819999
ACH-000116,0.0125655385109
ACH-000118,0.0118238957137
ACH-000120,0.0683217234964
ACH-000123,-0.0802141057532
ACH-000127,-0.04761539352369999
ACH-000128,-0.0626157085546
ACH-000132,0.0476668199331
ACH-000133,0.058569604865699995
ACH-000137,-0.147196606297
ACH-000138,-0.136246529461
ACH-000142,-0.06419371395409999
ACH-000143,-0.036940992631300004
ACH-000146,-0.047672597730599994
ACH-000148,0.0159701211188
ACH-000150,-0.0668069460114
ACH-000152,0.05335233923859999
ACH-000153,-0.0231107939321
ACH-000159,-0.0176702410193
ACH-000160,-0.176556598323
ACH-000163,0.0443461759504
ACH-000167,-0.00264798571
ACH-000168,-0.22695914617199997
ACH-000169,0.06205659641
ACH-000178,0.0966394795081
ACH-000182,0.049497365525900006
ACH-000183,-0.164001887244
ACH-000188,-0.0645036855161
ACH-000189,-0.10330848159700001
ACH-000190,0.0319400808116
ACH-000198,-0.08584383918880001
ACH-000204,-0.172810548832
ACH-000206,-0.012300796634299999
ACH-000207,-0.0477201697131
ACH-000211,0.00371643856992
ACH-000215,0.0543533477092
