,OSTC (58505)
ACH-000004,-0.9312330312039999
ACH-000007,-0.92956195889
ACH-000009,-1.02257260523
ACH-000011,-0.8286363977210001
ACH-000012,-0.602160312399
ACH-000013,-0.7460380394920001
ACH-000014,-0.724303881357
ACH-000015,-0.8888209366680001
ACH-000017,-0.696977645998
ACH-000018,-0.8479547897859999
ACH-000019,-0.765486042679
ACH-000021,-0.8109275110969999
ACH-000022,-1.28716459697
ACH-000025,-0.768896235315
ACH-000028,-0.7873149368269999
ACH-000030,-0.844474586639
ACH-000035,-0.829897288486
ACH-000036,-0.983974648021
ACH-000037,-0.7770819884289999
ACH-000039,-0.668402939344
ACH-000040,-0.9059431819689999
ACH-000041,-1.00088317307
ACH-000042,-1.1562407786700002
ACH-000045,-0.570531170954
ACH-000047,-0.87910352967
ACH-000052,-1.08673020507
ACH-000053,-0.6604049832150001
ACH-000054,-0.813520736173
ACH-000055,-0.981685757473
ACH-000060,-1.02733043409
ACH-000067,-1.0227173033399999
ACH-000070,-0.828195925312
ACH-000075,-0.831314957953
ACH-000078,-0.9309851200570001
ACH-000082,-0.973360596766
ACH-000085,-0.841142763892
ACH-000086,-0.8393767775319999
ACH-000087,-0.8957977388700001
ACH-000092,-0.93610023325
ACH-000095,-0.8822108788959999
ACH-000097,-0.654014123793
ACH-000098,-0.820668259774
ACH-000099,-1.08402817142
ACH-000108,-1.1507598575
ACH-000113,-0.951970642012
ACH-000115,-0.8609447695010001
ACH-000116,-0.912959483224
ACH-000118,-0.884270812841
ACH-000120,-0.8776474390889999
ACH-000123,-0.796605288923
ACH-000127,-0.92967944604
ACH-000128,-0.9115545324619999
ACH-000132,-0.851162548542
ACH-000133,-0.953766871859
ACH-000137,-0.808525317142
ACH-000138,-0.820467150123
ACH-000142,-0.901308848804
ACH-000143,-0.7882527194589999
ACH-000146,-0.6772442902600001
ACH-000148,-0.69690724787
ACH-000150,-1.16213910979
ACH-000152,-0.6887744273
ACH-000153,-0.712804533882
ACH-000159,-0.7310957833689999
ACH-000160,-0.953169581347
ACH-000163,-0.836028512464
ACH-000167,-0.9216638762170001
ACH-000168,-1.00769766796
ACH-000169,-1.1841644129200002
ACH-000178,-0.9337145326540001
ACH-000182,-0.7646291675839999
ACH-000183,-1.06531516925
ACH-000188,-1.02930756877
ACH-000189,-0.753361337561
ACH-000190,-0.7156405636650001
ACH-000198,-0.718135197033
ACH-000204,-1.19686560464
ACH-000206,-0.859069146114
ACH-000207,-0.79959413942
ACH-000211,-0.82227375701
ACH-000215,-0.686769309982
ACH-000221,-0.769125646303
ACH-000222,-1.38931348554
ACH-000223,-0.9149031885269999
ACH-000226,-0.558272187683
ACH-000227,-0.905407138537
ACH-000228,-1.04605857371
ACH-000231,-0.790314693391
ACH-000232,-0.9582710180959999
ACH-000233,-0.636602927998
ACH-000234,-0.7759504997
ACH-000235,-0.977757636256
ACH-000237,-0.892034128918
ACH-000238,-0.940774486127
ACH-000243,-1.04110136668
ACH-000244,-0.801918807037
ACH-000246,-0.8021563119859999
ACH-000248,-1.03678985073
ACH-000250,-0.7243711975660001
ACH-000251,-0.770898219092
ACH-000253,-0.915332490485
ACH-000255,-0.722918187908
ACH-000256,-0.851427228148
ACH-000257,-0.789715613012
ACH-000258,-0.972138907559
ACH-000259,-0.7853401619179999
ACH-000260,-0.981365324833
ACH-000261,-0.79761098411
ACH-000262,-0.757759555371
ACH-000263,-0.543448467734
ACH-000264,-0.8380783829430001
ACH-000265,-0.942807883761
ACH-000266,-1.1228828215200002
ACH-000272,-1.0652671525700002
ACH-000273,-0.8236069160449999
ACH-000274,-1.1927519046
ACH-000277,-0.763408749311
ACH-000278,-0.938291190222
ACH-000279,-1.0078089583299998
ACH-000280,-0.867262944306
ACH-000281,-1.0717313375700002
ACH-000288,-0.917086738745
ACH-000291,-0.921666722105
ACH-000293,-0.955527378773
ACH-000294,-0.672642106877
ACH-000295,-0.90205757146
ACH-000296,-1.1832009950700002
ACH-000302,-1.07036182941
ACH-000304,-0.926928933909
ACH-000307,-0.986569949253
ACH-000308,-0.8171554011419999
ACH-000310,-0.9279700059270001
ACH-000311,-1.17101383592
ACH-000312,-0.879327448829
ACH-000315,-0.74776056872
ACH-000316,-0.9941086859999999
ACH-000317,-1.03676981901
ACH-000318,-0.921009349894
ACH-000319,-0.818695193775
ACH-000320,-1.20336811044
ACH-000322,-0.88260193771
ACH-000323,-1.10746048096
ACH-000324,-1.10551708668
ACH-000329,-0.626826433
ACH-000330,-0.6451921166
ACH-000331,-1.15177216079
ACH-000332,-1.0131057767899998
ACH-000334,-0.770565835891
ACH-000335,-0.8436701645219999
ACH-000336,-0.676768108189
ACH-000337,-0.9470053802860001
ACH-000339,-0.905462094711
ACH-000341,-0.874204048255
ACH-000348,-0.661824030858
ACH-000350,-1.04001870213
ACH-000352,-0.650654022929
ACH-000356,-0.781207089436
ACH-000361,-0.8568766995730001
ACH-000362,-0.657836067824
ACH-000363,-0.811963937438
ACH-000364,-1.22025986318
ACH-000365,-0.7232033813050001
ACH-000366,-1.11970131905
ACH-000368,-0.921570834284
ACH-000374,-1.19108930777
ACH-000375,-0.800661721248
ACH-000376,-0.795055369068
ACH-000381,-0.951313072641
ACH-000383,-0.575831563719
ACH-000387,-0.9108020158
ACH-000389,-0.662327082931
ACH-000390,-1.14760531111
ACH-000393,-0.802628136259
ACH-000395,-1.01425219013
ACH-000397,-0.815770787783
ACH-000401,-0.7510438466079999
ACH-000402,-0.8811100845469999
ACH-000403,-0.8240014764040001
ACH-000404,-1.28894436083
ACH-000406,-0.7760471256470001
ACH-000407,-0.83066046355
ACH-000408,-1.0491181967
ACH-000410,-1.0121024344299998
ACH-000411,-0.768138891328
ACH-000414,-0.9172442671529999
ACH-000415,-1.0129353357200002
ACH-000416,-0.927294771714
ACH-000420,-0.8639807444859999
ACH-000421,-0.823669792198
ACH-000424,-0.8670095116050001
ACH-000425,-0.8447547512549999
ACH-000426,-1.3125973666500002
ACH-000427,-0.909465613726
ACH-000433,-1.07035227831
ACH-000436,-0.833714675014
ACH-000444,-0.961592234067
ACH-000445,-1.10424371557
ACH-000448,-0.945842014438
ACH-000450,-0.856629521654
ACH-000452,-1.0841395573100001
ACH-000454,-0.834924880572
ACH-000458,-0.854801084742
ACH-000459,-0.539299051677
ACH-000460,-1.0551168012899999
ACH-000461,-0.909217844693
ACH-000463,-0.8230245371160001
ACH-000464,-0.8463093217569999
ACH-000466,-0.905925190838
ACH-000467,-0.938666444931
ACH-000468,-1.0412769291
ACH-000469,-0.73773392003
ACH-000470,-1.14359535536
ACH-000471,-0.821353160538
ACH-000472,-0.813389989681
ACH-000473,-0.8921144050759999
ACH-000475,-1.0444724878799998
ACH-000476,-0.595232321759
ACH-000477,-0.953530496654
ACH-000480,-0.9505644202
ACH-000481,-0.714627766723
ACH-000483,-0.759702582972
ACH-000484,-0.6742948900839999
ACH-000485,-0.924376255369
ACH-000486,-0.8842422754379999
ACH-000487,-0.924833733635
ACH-000488,-0.922822461187
ACH-000490,-0.972885148046
ACH-000491,-0.997271467214
ACH-000495,-0.766552671594
ACH-000496,-0.952150613231
ACH-000499,-1.04514196979
ACH-000500,-1.04100727979
ACH-000502,-1.11351839098
ACH-000503,-1.03786911141
ACH-000505,-1.03992132721
ACH-000507,-1.14583616704
