,BCS1L (617)
ACH-000004,-0.621740197901
ACH-000007,-0.563422120353
ACH-000009,-0.633089753375
ACH-000011,-0.45841867090599997
ACH-000012,-0.5202805166269999
ACH-000013,-0.672930246694
ACH-000014,-0.527166233362
ACH-000015,-0.6696386101349999
ACH-000017,-0.464734298662
ACH-000018,-0.471405652206
ACH-000019,-0.6887772012729999
ACH-000021,-0.390681522228
ACH-000022,-0.801433171883
ACH-000025,-0.603239115994
ACH-000028,-0.707009060296
ACH-000030,-1.00820804454
ACH-000035,-0.598356452291
ACH-000036,-0.140536798368
ACH-000037,-0.685113103552
ACH-000039,-0.496806442577
ACH-000040,-0.325654913064
ACH-000041,-0.5134197019510001
ACH-000042,-0.31764772890799997
ACH-000045,-0.5196574290179999
ACH-000047,-0.7018915688510001
ACH-000052,-0.622662295247
ACH-000053,-0.397494909419
ACH-000054,-0.361187155404
ACH-000055,-0.518384767055
ACH-000060,-0.401389655237
ACH-000067,-0.32588701299199996
ACH-000070,-0.70907249921
ACH-000075,-0.38599498978200003
ACH-000078,-0.581039382651
ACH-000082,-0.325578955495
ACH-000085,-0.374168468572
ACH-000086,-0.6837594938220001
ACH-000087,-0.7010255104440001
ACH-000092,-0.507507486396
ACH-000095,-0.136459867476
ACH-000097,-0.461297302476
ACH-000098,-0.5420244425490001
ACH-000099,-0.738893736875
ACH-000108,-0.491281464622
ACH-000113,-0.5409939496339999
ACH-000115,-0.65391826693
ACH-000116,-0.635289619488
ACH-000118,-0.822718010346
ACH-000120,-0.563898427722
ACH-000123,-0.521773999787
ACH-000127,-0.82643209485
ACH-000128,-0.9277368076350001
ACH-000132,-0.42132019905999996
ACH-000133,-0.393714870911
ACH-000137,-0.610365471062
ACH-000138,-0.747311023619
ACH-000142,-0.374861806344
ACH-000143,-0.42435444506
ACH-000146,-0.714740635872
ACH-000148,-0.666169001455
ACH-000150,-0.525415069032
ACH-000152,-0.42999758194300003
ACH-000153,-0.759698958355
ACH-000159,-0.493037814044
ACH-000160,-0.710584554964
ACH-000163,-0.6094119714280001
ACH-000167,-0.341945165537
ACH-000168,-0.478541402326
ACH-000169,-0.384965490057
ACH-000178,-0.445046331135
ACH-000182,-0.870052056039
ACH-000183,-0.7375448356290001
ACH-000188,-0.497510260893
ACH-000189,-0.867686109919
ACH-000190,-0.5313325178980001
ACH-000198,-0.645864131491
ACH-000204,-0.26712476266999996
ACH-000206,-0.24719954955200002
ACH-000207,-0.7232770367069999
ACH-000211,-0.501596298071
ACH-000215,-0.57725677195
ACH-000221,-1.0128742717
ACH-000222,-0.476974322525
ACH-000223,-0.734337060282
ACH-000226,-0.5575150574059999
ACH-000227,-0.8345296571549999
ACH-000228,-0.571233470921
ACH-000231,-0.311510194976
ACH-000232,-0.264363440932
ACH-000233,-0.566911194069
ACH-000234,-0.545047535756
ACH-000235,-0.541060004908
ACH-000237,-0.431628993527
ACH-000238,-0.376800344008
ACH-000243,-0.33728715030199996
ACH-000244,-0.269241500749
ACH-000246,-0.682649045204
ACH-000248,-0.34212661295
ACH-000250,-0.21283853774599998
ACH-000251,-0.34853356311899997
ACH-000253,-0.5999809459800001
ACH-000255,-0.42497520687600004
ACH-000256,-0.43315086920400003
ACH-000257,-0.483736502013
ACH-000258,-0.913705508559
ACH-000259,-0.497348339049
ACH-000260,-0.241693390555
ACH-000261,-0.421674447655
ACH-000262,-0.392016203002
ACH-000263,-0.686226538646
ACH-000264,-0.5418986869510001
ACH-000265,-0.7294030990639999
ACH-000266,-0.314500263368
ACH-000272,-0.530600061445
ACH-000273,-0.489081203476
ACH-000274,-0.553315462191
ACH-000277,-0.6389822468330001
ACH-000278,-0.564032028427
ACH-000279,-0.902734815594
ACH-000280,-0.559328284858
ACH-000281,-0.8134563723299999
ACH-000288,-0.843366844474
ACH-000291,-0.570752120396
ACH-000293,-0.600037523424
ACH-000294,-0.699669112266
ACH-000295,-0.937745464284
ACH-000296,-0.239283068018
ACH-000302,-0.427761349151
ACH-000304,-0.493078951901
ACH-000307,-0.702756650271
ACH-000308,-0.476205403741
ACH-000310,-0.410230961078
ACH-000311,-0.43936272166900003
ACH-000312,-0.490525306829
ACH-000315,-0.295508004401
ACH-000316,-0.582923395701
ACH-000317,-0.9463407836859999
ACH-000318,-0.407309625078
ACH-000319,-0.385433745805
ACH-000320,-0.6880146164390001
ACH-000322,-0.840740979503
ACH-000323,-0.505979585304
ACH-000324,-0.259902102779
ACH-000329,-0.9112905689640001
ACH-000330,-0.6012158778050001
ACH-000331,-0.279932689474
ACH-000332,-0.0642694325104
ACH-000334,-0.109538140572
ACH-000335,-0.287631805559
ACH-000336,-0.864943512861
ACH-000337,-0.7041887249519999
ACH-000339,-0.656521301489
ACH-000341,-0.49317822072800005
ACH-000348,-0.44002234597900003
ACH-000350,-0.7703568866920001
ACH-000352,-0.517796954547
ACH-000356,-0.8052304069859999
ACH-000361,-0.25084815987799997
ACH-000362,-0.642790607499
ACH-000363,-0.7205322244429999
ACH-000364,-0.589675546766
ACH-000365,-0.596931645448
ACH-000366,-0.6274671399130001
ACH-000368,-0.529466290036
ACH-000374,-0.774009303229
ACH-000375,-0.689279588422
ACH-000376,-0.491121369674
ACH-000381,-0.616534508714
ACH-000383,-0.708538855574
ACH-000387,-0.5338361020369999
ACH-000389,-0.103979404968
ACH-000390,-0.642248220955
ACH-000393,-0.43793929988200003
ACH-000395,-0.565012357349
ACH-000397,-0.333673564679
ACH-000401,-0.6983660537559999
ACH-000402,-0.879013754028
ACH-000403,-0.49230292442100004
ACH-000404,-0.805514370267
ACH-000406,-0.929381581046
ACH-000407,-0.54349571833
ACH-000408,-0.393786160344
ACH-000410,-0.670893367782
ACH-000411,-0.395217543659
ACH-000414,-0.50648383296
ACH-000415,-0.561097805437
ACH-000416,-0.7524660858259999
ACH-000420,-0.405279605597
ACH-000421,-0.37899448760399995
ACH-000424,-0.754957693209
ACH-000425,-0.39753856336300003
ACH-000426,-0.408752282566
ACH-000427,-0.8301862713420001
ACH-000433,-0.34495256736999996
ACH-000436,-0.39916883636699996
ACH-000444,-0.66617625016
ACH-000445,-0.372427992892
ACH-000448,-0.305878328386
ACH-000450,-0.657017968453
ACH-000452,-0.46360951905299996
ACH-000454,-0.742343195728
ACH-000458,-0.415493101593
ACH-000459,-1.22522155895
ACH-000460,-0.658347085107
ACH-000461,-1.25819688766
ACH-000463,-0.373168767628
ACH-000464,-0.607982275292
ACH-000466,-0.415819049917
ACH-000467,-0.87139305521
ACH-000468,-0.6028038608780001
ACH-000469,-0.7491426835070001
ACH-000470,-0.37432535081600005
ACH-000471,-0.222124173134
ACH-000472,-0.65156683065
ACH-000473,-0.441504479314
ACH-000475,-0.718690395186
ACH-000476,-0.817802266131
ACH-000477,-0.747561329143
ACH-000480,-0.610277023338
ACH-000481,-0.6069874135710001
ACH-000483,-0.800500683785
ACH-000484,-0.570562514914
ACH-000485,-0.591342749498
ACH-000486,-0.665023771197
ACH-000487,-0.740843292305
ACH-000488,-0.787555724254
ACH-000490,-0.345104313451
ACH-000491,-0.674685982321
ACH-000495,-0.226105134007
ACH-000496,-0.40333726201399994
ACH-000499,-0.7428291557089999
ACH-000500,-0.688890266302
ACH-000502,-0.52215052585
ACH-000503,-0.396923078135
ACH-000505,-0.381311267143
ACH-000507,-0.766330708999
ACH-000510,-0.561480058372
ACH-000511,-0.267495165441
ACH-000512,-0.966810466905
ACH-000516,-0.189884917727
ACH-000517,-0.3855745797
ACH-000518,-0.302993013121
ACH-000520,-0.281321503029
ACH-000521,-0.442132904885
ACH-000522,-0.74984823286
ACH-000524,-0.364386763562
ACH-000527,-0.348727256937
ACH-000528,-0.7773167343080001
ACH-000537,-0.6781927569480001
ACH-000541,-0.725111788869
ACH-000542,-0.37171625591300006
ACH-000544,-0.5307477918410001
ACH-000545,-0.476001528958
ACH-000547,-0.606163431546
ACH-000548,-0.45428291792900005
ACH-000549,-0.8851586298880001
ACH-000550,-0.536410015109
ACH-000552,-0.51894746437
ACH-000556,-0.839116904613
ACH-000557,-0.678118086761
ACH-000570,-0.408938952847
ACH-000571,-0.711069094735
ACH-000573,-0.547637174817
ACH-000576,-0.513220443794
ACH-000580,-0.678659325733
ACH-000584,-0.7787230353560001
ACH-000585,-0.677230281696
ACH-000588,-0.6768371394689999
ACH-000589,-0.7853662396269999
ACH-000591,-0.9168238470810001
ACH-000593,-0.697342848877
ACH-000600,-0.50724133795
ACH-000601,-0.890396631927
ACH-000604,-0.39596332335900003
ACH-000605,-0.569911944444
ACH-000606,-0.641235036632
ACH-000608,-0.769374532602
ACH-000614,-0.883572815635
ACH-000616,-0.5044555367629999
ACH-000618,-1.0569476411799998
ACH-000619,-0.628577912955
ACH-000620,-0.6650457781920001
ACH-000621,-0.566999235822
ACH-000622,-0.636135947371
ACH-000623,-0.535831143827
ACH-000624,-0.7758953595810001
ACH-000627,-0.40502133498099996
ACH-000630,-0.414138273371
ACH-000632,-0.435693848336
ACH-000633,-1.08312331738
ACH-000637,-0.720012757208
ACH-000638,-0.491854973412
ACH-000646,-0.7138220329330001
ACH-000647,-0.6033285716619999
ACH-000648,-0.5665047149419999
ACH-000649,-0.40399178384499995
ACH-000651,-0.925589003582
ACH-000652,-0.636467673038
ACH-000653,-0.503677600178
ACH-000657,-0.715752620513
ACH-000658,-0.63242828653
ACH-000661,-0.840306023541
ACH-000662,-0.406899950267
ACH-000663,-0.6924845663429999
ACH-000665,-0.40082497699299996
ACH-000671,-0.675947644647
ACH-000673,-0.310559268669
ACH-000676,-1.09395121064
ACH-000677,-0.630773388987
ACH-000681,-0.337716723477
ACH-000682,-0.7038463485430001
ACH-000683,-0.636895677515
ACH-000684,-0.57534987385
ACH-000688,-0.57245204449
ACH-000693,-0.7923205052410001
ACH-000694,-0.773514048659
ACH-000695,-0.42989747524300004
ACH-000696,-0.498434582577
ACH-000697,-0.7393140877359999
