,AIFM2 (84883)
ACH-000004,0.00189426656512
ACH-000007,-0.0875153781439
ACH-000009,-0.164163883783
ACH-000011,-0.07023273753439999
ACH-000012,-0.10716223800899999
ACH-000013,-0.0461165679732
ACH-000014,-0.12031797445499999
ACH-000015,-0.197988122335
ACH-000017,-0.12721844028100002
ACH-000018,-0.0781032890509
ACH-000019,-0.11842800463
ACH-000021,-0.320294518992
ACH-000022,-0.08410435896469999
ACH-000025,-0.16536184258
ACH-000028,0.0203559960488
ACH-000030,-0.327629674519
ACH-000035,-0.131969450923
ACH-000036,-0.145024425761
ACH-000037,-0.174155730195
ACH-000039,-0.176621852112
ACH-000040,-0.060904447931699995
ACH-000041,-0.38093325301799996
ACH-000042,-0.181310957811
ACH-000045,-0.0021966319379000004
ACH-000047,-0.0342235537194
ACH-000052,0.05103932724219999
ACH-000053,-0.121177338338
ACH-000054,-0.196143006493
ACH-000055,-0.119942588387
ACH-000060,-0.229695163522
ACH-000067,-0.0725382719184
ACH-000070,-0.07747104259410001
ACH-000075,0.235696634894
ACH-000078,0.0016587211528599998
ACH-000082,-0.0789675955113
ACH-000085,-0.29256816559099996
ACH-000086,-0.21188974589200002
ACH-000087,-0.07134479511660001
ACH-000092,-0.137577584326
ACH-000095,-0.18666867979600002
ACH-000097,-0.052493189348800005
ACH-000098,-0.0815014498132
ACH-000099,-0.19323819498199998
ACH-000108,-0.266725523966
ACH-000113,-0.0984181849767
ACH-000115,-0.335024534747
ACH-000116,-0.104398544656
ACH-000118,-0.0576192353367
ACH-000120,0.0138363622459
ACH-000123,-0.22809798685199997
ACH-000127,-0.053111135785600005
ACH-000128,-0.0497306874802
ACH-000132,-0.048839149496999995
ACH-000133,-0.256319981209
ACH-000137,-0.027870582013099998
ACH-000138,-0.0522829487084
ACH-000142,-0.09982541567129999
ACH-000143,-0.20308186058400002
ACH-000146,-0.0711194244885
ACH-000148,-0.262495675742
ACH-000150,-0.167696519648
ACH-000152,0.0560702485455
ACH-000153,-0.0469042451469
ACH-000159,-0.15890039840700002
ACH-000160,-0.18187851079999998
ACH-000163,-0.206153265123
ACH-000167,0.026730009207200003
ACH-000168,0.102074965325
ACH-000169,0.306142444943
ACH-000178,0.08022664099810001
ACH-000182,0.0841448798584
ACH-000183,-0.06872391739789999
ACH-000188,-0.166268306416
ACH-000189,-0.054691522868099994
ACH-000190,-0.280710942492
ACH-000198,-0.046355443006300005
ACH-000204,-0.018410201212599998
ACH-000206,-0.00832522154372
ACH-000207,-0.0643447349806
ACH-000211,-0.0645960671704
ACH-000215,-0.09160849343260001
ACH-000221,0.060310677618000005
ACH-000222,-0.207936475803
ACH-000223,-0.24266647475699998
ACH-000226,-0.147878634628
ACH-000227,-0.399699374648
ACH-000228,-0.230178354723
ACH-000231,-0.0457552656674
ACH-000232,-0.08024513690150001
ACH-000233,-0.329550294606
ACH-000234,0.0412358942986
ACH-000235,-0.11411374357000001
ACH-000237,-0.172474501142
ACH-000238,-0.09489050646160001
ACH-000243,-0.11026369994799999
ACH-000244,0.11388108551100001
ACH-000246,-0.05434453496259999
ACH-000248,-0.0266149246198
ACH-000250,-0.10361186693499999
ACH-000251,-0.134103622157
ACH-000253,0.034466932766699994
ACH-000255,-0.225509014668
ACH-000256,-0.17477554173700002
ACH-000257,-0.321112043701
ACH-000258,-0.139865250635
ACH-000259,-0.120920577259
ACH-000260,-0.0806480465687
ACH-000261,-0.246428096574
ACH-000262,0.0245464090784
ACH-000263,-0.293308864928
ACH-000264,-0.198789451338
ACH-000265,-0.253202305779
ACH-000266,-0.0734178250443
ACH-000272,-0.04337515583869999
ACH-000273,-0.10921207879599999
ACH-000274,-0.0564883943729
ACH-000277,0.0277043354802
ACH-000278,-0.152603732639
ACH-000279,-0.09516948137610001
ACH-000280,0.0288249898412
ACH-000281,-0.24316364321199999
ACH-000288,-0.0798543339823
ACH-000291,-0.0252781561029
ACH-000293,-0.113930970864
ACH-000294,-0.41198034077600004
ACH-000295,-0.24056818815
ACH-000296,0.10529680525900001
ACH-000302,-0.130792622982
ACH-000304,0.08960839688950001
ACH-000307,-0.13073659975500002
ACH-000308,-0.11126718060100001
ACH-000310,-0.10864610714199999
ACH-000311,-0.222545721998
ACH-000312,-0.124454864544
ACH-000315,-0.584844851486
ACH-000316,-0.324072428659
ACH-000317,-0.08018543848399999
ACH-000318,-0.015547727417899998
ACH-000319,-0.0442645822558
ACH-000320,-0.14192253308299999
ACH-000322,-0.21898404079199998
ACH-000323,-0.302130824798
ACH-000324,-0.09649170015039998
ACH-000329,0.030836497472999998
ACH-000330,-0.0336972824981
ACH-000331,-0.17630611620099998
ACH-000332,-0.239083466554
ACH-000334,0.113288150703
ACH-000335,-0.127489053386
ACH-000336,0.0348536495254
ACH-000337,-0.13990581397500002
ACH-000339,-0.084480040076
ACH-000341,-0.24518162318599998
ACH-000348,-0.067304133079
ACH-000350,-0.147897772136
ACH-000352,-0.147888660451
ACH-000356,-0.191407980506
ACH-000361,-0.283659752843
ACH-000362,-0.07691937264399999
ACH-000363,-0.0586288893575
ACH-000364,-0.206365919027
ACH-000365,0.00126160340545
ACH-000366,-0.653268493956
ACH-000368,-0.22098734077100002
ACH-000374,-0.0386081698076
ACH-000375,-0.198389686959
ACH-000376,0.0211368053622
ACH-000381,-0.267497962525
ACH-000383,-0.043793348841
ACH-000387,-0.166671715046
ACH-000389,-0.109374736187
ACH-000390,-0.026716447877599997
ACH-000393,-0.18781205029
ACH-000395,0.15984324994100002
ACH-000397,-0.120178923402
ACH-000401,-0.010366528790299999
ACH-000402,-0.434407317754
ACH-000403,-0.104060970285
ACH-000404,-0.06432130239419999
ACH-000406,-0.09367042991419999
ACH-000407,-0.132046577536
ACH-000408,-0.334032554131
ACH-000410,-0.09891866241410001
ACH-000411,-0.11851654102600001
ACH-000414,-0.238381423482
ACH-000415,-0.260016707879
ACH-000416,-0.0318348912676
ACH-000420,-0.0907500156682
