,CHMP4A (29082)
ACH-000004,-0.214068057211
ACH-000007,-0.20455239884799997
ACH-000009,-0.0997746561597
ACH-000011,-0.103427570703
ACH-000012,-0.112381931884
ACH-000013,-0.0653324523998
ACH-000014,-0.138164194845
ACH-000015,-0.0641058337175
ACH-000017,-0.309733848765
ACH-000018,-0.16789797516600002
ACH-000019,-0.21228439508299998
ACH-000021,-0.156987340284
ACH-000022,0.00154004934114
ACH-000025,0.0177923714031
ACH-000028,-0.191250072637
ACH-000030,-0.18615215713
ACH-000035,-0.24738740718000002
ACH-000036,-0.005951316464600001
ACH-000037,0.15997847782
ACH-000039,-0.25128177479
ACH-000040,-0.18534874740899998
ACH-000041,-0.07258464707760001
ACH-000042,-0.101914589829
ACH-000045,-0.03375421319
ACH-000047,-0.241365255294
ACH-000052,-0.0525425188636
ACH-000053,-0.143373077087
ACH-000054,-0.189800205434
ACH-000055,-0.223312835208
ACH-000060,-0.349848706722
ACH-000067,-0.2002684582
ACH-000070,0.024197555883
ACH-000075,-0.00431442541132
ACH-000078,-0.100543553892
ACH-000082,-0.19928367724100002
ACH-000085,-0.0432831551419
ACH-000086,-0.182683272727
ACH-000087,-0.0908387635462
ACH-000092,-0.10735039473500001
ACH-000095,-0.228053756037
ACH-000097,-0.309150180106
ACH-000098,-0.0719295219536
ACH-000099,0.0443988715615
ACH-000108,-0.0376958083904
ACH-000113,-0.19411489357500003
ACH-000115,0.0532826991713
ACH-000116,-0.143766951216
ACH-000118,-0.246404578904
ACH-000120,-0.0312347771191
ACH-000123,-0.112433687389
ACH-000127,-0.139939396787
ACH-000128,-0.123861865349
ACH-000132,0.044033719003300005
ACH-000133,-0.19168844192099999
ACH-000137,-0.0996568051112
ACH-000138,-0.08265757747239999
ACH-000142,-0.0536626737679
ACH-000143,-0.0568321896399
ACH-000146,-0.11213108001399999
ACH-000148,-0.209837297667
ACH-000150,0.07674209971269999
ACH-000152,-0.21854611409400002
ACH-000153,-0.104327708882
ACH-000159,-0.239803728129
ACH-000160,-0.557747705313
ACH-000163,-0.18994063436500003
ACH-000167,-0.289993538512
ACH-000168,-0.13892135401900002
ACH-000169,-0.0230188978975
ACH-000178,-0.050743316352
ACH-000182,-0.09028180735829999
ACH-000183,-0.18788399185899998
ACH-000188,-0.0803220477436
ACH-000189,-0.022744989029900003
ACH-000190,-0.07966404819419999
ACH-000198,-0.140164494126
ACH-000204,0.0630477922248
ACH-000206,-0.085793510329
ACH-000207,-0.302061447884
ACH-000211,-0.118397536829
ACH-000215,-0.07477121840130001
ACH-000221,0.0606747385927
ACH-000222,-0.17060687153700002
ACH-000223,-0.10479332671599999
ACH-000226,-0.100919253564
ACH-000227,0.028091778278799998
ACH-000228,-0.22523432099500001
ACH-000231,-0.228845121747
