,ESRP2 (80004)
ACH-000004,-0.0496533454296
ACH-000007,-0.341529797789
ACH-000009,-0.211308175085
ACH-000011,-0.252689495871
ACH-000012,-0.36205959291100004
ACH-000013,-0.224203676331
ACH-000014,-0.0786114427782
ACH-000015,-0.137946049328
ACH-000017,-0.615517373392
ACH-000018,-0.496074508505
ACH-000019,-0.166215121207
ACH-000021,-0.146041356978
ACH-000022,0.0340445103228
ACH-000025,-0.261965137625
ACH-000028,-0.282267500286
ACH-000030,-0.196880048356
ACH-000035,-0.270887293199
ACH-000036,-0.136615394332
ACH-000037,-0.14466354315899999
ACH-000039,-0.39601591141500003
ACH-000040,-0.00961916432082
ACH-000041,-0.06958615909469999
ACH-000042,-0.175267094647
ACH-000045,-0.08431400416729999
ACH-000047,-0.11491685029000001
ACH-000052,-0.601322047086
ACH-000053,-0.30407075866300004
ACH-000054,-0.132722232367
ACH-000055,-0.119263920628
ACH-000060,-0.169837884439
ACH-000067,-0.10672059534600001
ACH-000070,0.00345456410419
ACH-000075,0.07623500929339999
ACH-000078,-0.21042133174199998
ACH-000082,-0.294740341752
ACH-000085,-0.100862128232
ACH-000086,-0.239568932688
ACH-000087,0.105758063836
ACH-000092,-0.0700629111207
ACH-000095,-0.214788173202
ACH-000097,-0.163020291687
ACH-000098,-0.242732162595
ACH-000099,-0.0841018252254
ACH-000108,-0.340200202912
ACH-000113,0.0567939355178
ACH-000115,-0.182448422758
ACH-000116,-0.236154386107
ACH-000118,-0.349724258274
ACH-000120,-0.24663433264600002
ACH-000123,-0.270225664991
ACH-000127,-0.256657687281
ACH-000128,-0.0514729038038
ACH-000132,-0.187660720212
ACH-000133,-0.147266216801
ACH-000137,-0.000604235289887
ACH-000138,-0.0963118095122
ACH-000142,-0.457465015664
ACH-000143,-0.23407228252700002
ACH-000146,-0.384692137496
ACH-000148,-0.24677177829500002
ACH-000150,0.0331657591277
ACH-000152,-0.234051387812
ACH-000153,-0.11761907920499999
ACH-000159,-0.141924006857
ACH-000160,-0.100003085044
ACH-000163,-0.27224633103
ACH-000167,-0.350535534353
ACH-000168,-0.145048694742
ACH-000169,-0.223637892883
ACH-000178,-0.256326465546
ACH-000182,-0.158552023101
ACH-000183,-0.10007428803200001
ACH-000188,-0.293127764963
ACH-000189,-0.100322910649
ACH-000190,-0.08691065840250001
ACH-000198,-0.0567398444181
ACH-000204,-0.402902829385
ACH-000206,-0.0432879959849
ACH-000207,-0.323850407508
ACH-000211,-0.302603447882
ACH-000215,-0.19023881762000003
ACH-000221,-0.334176609217
ACH-000222,-0.347119439923
ACH-000223,-0.219779059331
ACH-000226,-0.23828495820700002
ACH-000227,0.032600780786599996
ACH-000228,-0.148894831689
ACH-000231,-0.316456613719
ACH-000232,-0.140206681987
ACH-000233,-0.20061640074200002
ACH-000234,-0.14459422872400002
ACH-000235,-0.347193167509
ACH-000237,-0.0105624821621
ACH-000238,-0.157730524772
ACH-000243,-0.129093799356
ACH-000244,-0.517026020822
ACH-000246,-0.10906295496099999
ACH-000248,-0.261828784197
ACH-000250,-0.139305329661
ACH-000251,0.377906715404
ACH-000253,-0.29699013668
ACH-000255,-0.0665862541739
ACH-000256,0.04715162708000001
ACH-000257,-0.13611864769999998
ACH-000258,-0.221623506623
ACH-000259,-0.0855667573057
ACH-000260,-0.19002854689399998
ACH-000261,-0.23540218347800002
ACH-000262,-0.10111185104499999
ACH-000263,0.11273931987199999
ACH-000264,-0.142209291195
ACH-000265,-0.0544721831621
ACH-000266,-0.342055850343
ACH-000272,-0.129814017414
ACH-000273,0.0340359415678
