,SNUPN (10073)
ACH-000004,-1.02782777798
ACH-000007,-1.07700554016
ACH-000009,-0.982331111583
ACH-000011,-0.914645160183
ACH-000012,-0.936137015524
ACH-000013,-1.1343241042299999
ACH-000014,-1.0525522357600001
ACH-000015,-0.7066475502349999
ACH-000017,-0.982630134339
ACH-000018,-1.1600073808700002
ACH-000019,-1.15606068924
ACH-000021,-0.872753983302
ACH-000022,-0.537378575077
ACH-000025,-1.10890342438
ACH-000028,-1.1265828732799998
ACH-000030,-0.910461535695
ACH-000035,-0.831794882851
ACH-000036,-1.02713762459
ACH-000037,-0.997874436031
ACH-000039,-0.848200259528
ACH-000040,-1.2377657303
ACH-000041,-0.8572921083859999
ACH-000042,-1.02866975013
ACH-000045,-0.8691357729070001
ACH-000047,-1.12670575373
ACH-000052,-0.943759024813
ACH-000053,-0.403499196127
ACH-000054,-0.644083325882
ACH-000055,-0.987650785951
ACH-000060,-1.1514344941799999
ACH-000067,-1.17246094677
ACH-000070,-0.812003106295
ACH-000075,-1.06907731418
ACH-000078,-0.715666619073
ACH-000082,-1.00166465457
ACH-000085,-1.16957565657
ACH-000086,-0.965899091021
ACH-000087,-0.7905666117
ACH-000092,-0.703900088654
ACH-000095,-0.7374671217759999
ACH-000097,-0.9545008404909999
ACH-000098,-0.7838187648039999
ACH-000099,-0.507982495363
ACH-000108,-0.7473144679449999
ACH-000113,-0.773705152323
ACH-000115,-1.15915483603
ACH-000116,-0.936702279572
ACH-000118,-0.9598998713269999
ACH-000120,-0.885225589504
ACH-000123,-0.856124044168
ACH-000127,-0.84897013394
ACH-000128,-1.06450385548
ACH-000132,-1.04711524126
ACH-000133,-1.02135301972
ACH-000137,-1.00659653167
ACH-000138,-0.48623781163900004
ACH-000142,-1.24352887222
ACH-000143,-1.15539388247
ACH-000146,-0.585194559546
ACH-000148,-1.11570950855
ACH-000150,-0.917562400847
ACH-000152,-1.17267708378
ACH-000153,-1.1766293233299998
ACH-000159,-0.825841250018
ACH-000160,-1.04304120801
ACH-000163,-1.05935688878
ACH-000167,-1.52591900137
ACH-000168,-0.617502964217
ACH-000169,-1.08920459534
ACH-000178,-1.0986999601799998
ACH-000182,-1.04234740658
ACH-000183,-0.784804449763
ACH-000188,-1.0444378960299998
ACH-000189,-0.7484206326109999
ACH-000190,-1.00851732955
ACH-000198,-0.773198273396
ACH-000204,-0.879307059247
ACH-000206,-0.819836495757
ACH-000207,-0.646177687604
ACH-000211,-1.18464260023
ACH-000215,-1.04091819851
ACH-000221,-0.958207524948
ACH-000222,-0.678920981104
ACH-000223,-1.03226546791
ACH-000226,-1.2624636232100002
ACH-000227,-0.67103233434
ACH-000228,-1.01992504961
ACH-000231,-1.0339093752700002
ACH-000232,-1.0349488984
ACH-000233,-0.6969141779119999
ACH-000234,-1.11909350431
