,CMTR1 (23070)
ACH-000004,-1.16286019652
ACH-000007,-1.1543051606499999
ACH-000009,-1.23599574304
ACH-000011,-1.0364369978
ACH-000012,-0.990881395459
ACH-000013,-1.0764349598799998
ACH-000014,-1.34929779775
ACH-000015,-1.00430962013
ACH-000017,-0.762990656577
ACH-000018,-1.54150827977
ACH-000019,-1.01311775803
ACH-000021,-0.785550286656
ACH-000022,-1.03436295127
ACH-000025,-1.16497815896
ACH-000028,-0.978741058999
ACH-000030,-1.11785431026
ACH-000035,-1.47978827415
ACH-000036,-1.16641392885
ACH-000037,-1.08181635218
ACH-000039,-0.7460065764980001
ACH-000040,-1.06653569302
ACH-000041,-1.05341890013
ACH-000042,-1.3751660723199999
ACH-000045,-1.2121165453799998
ACH-000047,-1.04751226921
ACH-000052,-1.3673938087200002
ACH-000053,-0.9006663578899999
ACH-000054,-0.548742005061
ACH-000055,-1.06771141678
ACH-000060,-1.15234267911
ACH-000067,-1.2644433193200002
ACH-000070,-1.1494096567799998
ACH-000075,-0.8732709691509999
ACH-000078,-1.06555994514
ACH-000082,-1.0167796694700002
ACH-000085,-1.0322079730299998
ACH-000086,-1.17425832864
ACH-000087,-0.759040127235
ACH-000092,-0.939658785196
ACH-000095,-0.869594017398
ACH-000097,-1.0793596671799999
ACH-000098,-1.22662607106
ACH-000099,-0.9628908993880001
ACH-000108,-1.36810989692
ACH-000113,-1.04657818399
ACH-000115,-1.00545989014
ACH-000116,-1.0596426053599999
ACH-000118,-1.2795425580600002
ACH-000120,-1.01286965153
ACH-000123,-0.8986082200740001
ACH-000127,-1.20825001293
ACH-000128,-0.9090477086419999
ACH-000132,-0.842536952393
ACH-000133,-0.9015308372600002
ACH-000137,-0.896207615543
ACH-000138,-1.07687935718
ACH-000142,-1.33543423987
ACH-000143,-1.0294186413700002
ACH-000146,-0.900363252255
ACH-000148,-1.07388219437
ACH-000150,-1.01111119143
ACH-000152,-0.830026565452
ACH-000153,-1.19671398298
ACH-000159,-0.8549693496490001
ACH-000160,-0.793606840023
ACH-000163,-0.990965271171
ACH-000167,-0.9768824672409999
ACH-000168,-1.0675381907400001
ACH-000169,-0.7776391574339999
ACH-000178,-1.0426084760799998
ACH-000182,-1.35022454176
ACH-000183,-1.29608828809
ACH-000188,-0.966065915042
ACH-000189,-1.12772290637
ACH-000190,-1.24381643467
ACH-000198,-1.08378904067
ACH-000204,-1.20475183222
ACH-000206,-0.770361695738
ACH-000207,-1.1792609839100001
ACH-000211,-1.36373884613
ACH-000215,-1.1646402065700001
ACH-000221,-1.16578219073
ACH-000222,-1.11603933408
ACH-000223,-1.09411955588
ACH-000226,-1.13083361143
ACH-000227,-1.22395169875
ACH-000228,-1.54661474254
ACH-000231,-1.2341729116700002
ACH-000232,-1.10359344558
ACH-000233,-0.97240140097
ACH-000234,-0.757509004485
ACH-000235,-1.16137538488
ACH-000237,-1.3540802143000001
ACH-000238,-1.2091543388700001
ACH-000243,-1.24940909161
ACH-000244,-1.14870639116
ACH-000246,-1.16673195935
ACH-000248,-1.1490339307
ACH-000250,-1.188764666
ACH-000251,-1.0428334987299999
ACH-000253,-1.0639644038299998
ACH-000255,-1.04453905202
ACH-000256,-1.26482763942
ACH-000257,-0.965223063392
ACH-000258,-1.48317487011
ACH-000259,-1.1323713084
ACH-000260,-1.0930326196100002
ACH-000261,-0.857644315173
ACH-000262,-0.9428882882709999
ACH-000263,-0.915079298371
ACH-000264,-0.945545671312
ACH-000265,-1.1312253235299998
ACH-000266,-1.07131679457
ACH-000272,-0.746415908647
ACH-000273,-1.1645892602799999
ACH-000274,-0.927101526706
ACH-000277,-0.43428934900399996
ACH-000278,-1.24294637343
ACH-000279,-1.18335699247
ACH-000280,-1.02165288124
ACH-000281,-1.46475890947
ACH-000288,-1.08381180687
ACH-000291,-1.081680049
ACH-000293,-1.1992667744399998
ACH-000294,-1.15148010448
ACH-000295,-0.7177063109039999
ACH-000296,-0.8228436833939999
ACH-000302,-0.701107014515
ACH-000304,-0.946206513931
ACH-000307,-1.1294306204100002
ACH-000308,-0.744153276083
ACH-000310,-0.832973162137
ACH-000311,-0.8498768023759999
ACH-000312,-0.982533360271
ACH-000315,-1.5060338637900001
ACH-000316,-1.12661901075
ACH-000317,-1.25368459891
ACH-000318,-1.1640903248999999
ACH-000319,-1.06020787616
ACH-000320,-1.2248261607
ACH-000322,-0.930825892781
ACH-000323,-1.04096125906
ACH-000324,-1.02838672492
ACH-000329,-0.638961591254
ACH-000330,-0.851394416237
ACH-000331,-1.1110249911599999
ACH-000332,-1.2674848419700002
ACH-000334,-0.7639752447679999
ACH-000335,-1.0865732318
ACH-000336,-1.43099862544
ACH-000337,-1.18013193116
ACH-000339,-1.14137328341
ACH-000341,-1.4534172278
ACH-000348,-1.07337101331
ACH-000350,-0.556791848696
ACH-000352,-1.25019730298
ACH-000356,-1.1766163115200001
ACH-000361,-1.11877689349
ACH-000362,-0.9340591625929999
ACH-000363,-0.788117762506
ACH-000364,-0.990780701064
ACH-000365,-1.2142502954899999
ACH-000366,-1.2133120517799998
ACH-000368,-1.14269724956
ACH-000374,-1.00896985107
ACH-000375,-1.3290263035299998
ACH-000376,-1.11454810902
ACH-000381,-1.26181019573
ACH-000383,-0.946445961957
ACH-000387,-0.87218959269
ACH-000389,-0.896528294714
ACH-000390,-1.1944667361799999
ACH-000393,-1.25323115125
ACH-000395,-1.19240235271
ACH-000397,-1.34101872975
ACH-000401,-0.9224702636929999
ACH-000402,-0.6544434068739999
ACH-000403,-0.922333369591
ACH-000404,-0.982004803057
ACH-000406,-0.880001554374
ACH-000407,-1.34665367882
ACH-000408,-1.08234926238
