,FTCD (10841)
ACH-000004,-0.572225275015
ACH-000007,-0.410270247392
ACH-000009,-0.049577564586500006
ACH-000011,-0.194725322781
ACH-000012,-0.09417954783339999
ACH-000013,-0.30459997277199996
ACH-000014,-0.154039351711
ACH-000015,-0.202287707242
ACH-000017,-0.36394412597
ACH-000018,-0.0173455654903
ACH-000019,-0.455718624079
ACH-000021,-0.23382012255399998
ACH-000022,-0.225032217231
ACH-000025,-0.113580744855
ACH-000028,-0.267192876099
ACH-000030,-0.252309463799
ACH-000035,-0.07175207303969999
ACH-000036,-0.359782846281
ACH-000037,-0.28683582221799997
ACH-000039,-0.38097570651900003
ACH-000040,-0.18613317515099997
ACH-000041,-0.22155828964699997
ACH-000042,-0.10460446502800001
ACH-000045,-0.27137888833
ACH-000047,-0.25661911625100003
ACH-000052,-0.0789033043685
ACH-000053,-0.252369416907
ACH-000054,-0.215437581203
ACH-000055,-0.129363114043
ACH-000060,-0.27229328751
ACH-000067,-0.164406685925
ACH-000070,-0.219853509063
ACH-000075,-0.421930079723
ACH-000078,-0.0894366203994
ACH-000082,-0.33426185845600004
ACH-000085,-0.22257364611400002
ACH-000086,-0.532650857306
ACH-000087,-0.432452973656
ACH-000092,-0.390030303696
ACH-000095,-0.34008473301200004
ACH-000097,-0.26500144719200003
ACH-000098,-0.337673581978
ACH-000099,-0.28023135624
ACH-000108,-0.172154511617
ACH-000113,-0.396691427699
ACH-000115,-0.188243118535
ACH-000116,-0.433516844296
ACH-000118,-0.143806846094
ACH-000120,-0.254599961969
ACH-000123,-0.234166453381
ACH-000127,-0.396188141903
ACH-000128,-0.298319752842
ACH-000132,-0.33009009175299997
ACH-000133,-0.35993660303099995
ACH-000137,-0.183561965477
ACH-000138,-0.106838492626
ACH-000142,-0.274738850526
ACH-000143,-0.238241658514
ACH-000146,-0.24788078598000002
ACH-000148,-0.267083613817
ACH-000150,-0.428721836711
ACH-000152,-0.22807859285300003
ACH-000153,-0.250284946781
ACH-000159,-0.279023535649
ACH-000160,-0.470955628786
ACH-000163,-0.362298890305
ACH-000167,-0.328165780936
ACH-000168,-0.411010180886
ACH-000169,-0.312207233726
ACH-000178,-0.192609979195
ACH-000182,-0.042728374452400006
ACH-000183,-0.15848162588099998
ACH-000188,-0.0818965099337
ACH-000189,-0.132305236215
ACH-000190,-0.228187001567
ACH-000198,-0.124000860213
ACH-000204,-0.104192775484
ACH-000206,-0.188866487542
ACH-000207,-0.506453291503
ACH-000211,-0.305982101328
ACH-000215,-0.36242213649899996
ACH-000221,-0.21284317160799998
ACH-000222,0.0415014089552
ACH-000223,-0.13662889932299999
ACH-000226,-0.288287432126
ACH-000227,-0.5227883177629999
ACH-000228,-0.28543883841699996
ACH-000231,-0.408330677259
ACH-000232,-0.16581768509199998
ACH-000233,-0.284374179461
ACH-000234,-0.324086571291
ACH-000235,-0.173894527669
ACH-000237,-0.140260688353
ACH-000238,-0.391873436338
ACH-000243,-0.0672030269558
ACH-000244,-0.623326265783
ACH-000246,-0.281061470923
ACH-000248,-0.18929397234
ACH-000250,-0.440815023231
ACH-000251,-0.109853439133
ACH-000253,-0.268946439134
ACH-000255,-0.22940332071999997
ACH-000256,-0.45508236734800006
ACH-000257,-0.583205168827
ACH-000258,-0.33695841347800004
ACH-000259,-0.245843888175
ACH-000260,-0.293101645793
ACH-000261,-0.294074787117
ACH-000262,-0.564061765081
ACH-000263,-0.38021283680699997
ACH-000264,-0.179547699111
ACH-000265,-0.138170347104
ACH-000266,-0.305441317878
ACH-000272,-0.142667678268
ACH-000273,-0.25428668118000003
ACH-000274,-0.5262147318370001
ACH-000277,-0.267270984323
ACH-000278,-0.5507517396399999
ACH-000279,-0.209891977918
ACH-000280,-0.252557800062
ACH-000281,-0.282281742253
ACH-000288,-0.30098178729
ACH-000291,-0.280654006289
ACH-000293,-0.178801502037
ACH-000294,-0.276064651472
ACH-000295,-0.463585383602
ACH-000296,-0.207899282358
ACH-000302,-0.535172588322
ACH-000304,-0.42459451669200005
ACH-000307,-0.17980196671100002
ACH-000308,-0.220268201023
ACH-000310,-0.26680002739500003
ACH-000311,-0.15846064630999998
ACH-000312,-0.0544412273503
ACH-000315,-0.47373450067699996
ACH-000316,-0.17677612599599998
ACH-000317,-0.175067848707
ACH-000318,-0.212319607995
ACH-000319,-0.374118791598
ACH-000320,0.0806587662643
ACH-000322,-0.11772900652799999
ACH-000323,-0.207131214029
ACH-000324,-0.35997219495399996
ACH-000329,-0.480402248471
ACH-000330,-0.045773916171599996
ACH-000331,-0.361964959998
ACH-000332,-0.205814030678
ACH-000334,-0.43796379362099996
ACH-000335,0.0241027597137
ACH-000336,-0.57289977408
ACH-000337,-0.575673902958
ACH-000339,-0.19548981756499997
ACH-000341,-0.280204778482
ACH-000348,-0.35742118584399996
ACH-000350,-0.148399309098
ACH-000352,-0.408062662812
ACH-000356,-0.21645953747299998
ACH-000361,-0.0136836289687
ACH-000362,-0.182276404397
ACH-000363,-0.269476959636
ACH-000364,-0.391887596196
ACH-000365,-0.330251151374
ACH-000366,-0.384278327125
ACH-000368,-0.12946936698699998
ACH-000374,-0.0167354264812
ACH-000375,-0.263849710495
ACH-000376,-0.180805423743
ACH-000381,-0.27029044638
ACH-000383,-0.19782762361900003
ACH-000387,-0.149204998644
ACH-000389,-0.231144948643
ACH-000390,-0.268811185229
ACH-000393,-0.383180190685
ACH-000395,-0.259452021511
ACH-000397,-0.21551578491099999
ACH-000401,-0.53804311246
ACH-000402,0.113287957675
ACH-000403,-0.19269988145999997
ACH-000404,-0.346628008536
ACH-000406,-0.22092750243099998
ACH-000407,-0.368769211103
ACH-000408,-0.34992609646399997
ACH-000410,-0.43109884554300004
ACH-000411,-0.194308117333
ACH-000414,-0.177170526384
