,NR0B2 (8431)
ACH-000004,-0.161604406289
ACH-000007,-0.459639262996
ACH-000009,-0.49402787083000005
ACH-000011,-0.376552204742
ACH-000012,-0.309699004643
ACH-000013,-0.451759890097
ACH-000014,-0.5957425173659999
ACH-000015,-0.282379391267
ACH-000017,-0.383008300693
ACH-000018,-0.110502446586
ACH-000019,-0.152598233611
ACH-000021,-0.335508013446
ACH-000022,-0.340477622938
ACH-000025,-0.295955250276
ACH-000028,-0.466304078904
ACH-000030,-0.417032255036
ACH-000035,-0.345697528873
ACH-000036,-0.315705413187
ACH-000037,-0.432931642883
ACH-000039,-0.116739481118
ACH-000040,-0.38472341970799995
ACH-000041,-0.271446271568
ACH-000042,-0.265337118627
ACH-000045,-0.358924552196
ACH-000047,-0.174556470735
ACH-000052,-0.12921583978
ACH-000053,-0.306857012158
ACH-000054,-0.259813907345
ACH-000055,-0.1657073114
ACH-000060,-0.14521941842900002
ACH-000067,-0.612838772577
ACH-000070,-0.0673471226148
ACH-000075,-0.265561834216
ACH-000078,-0.254761451057
ACH-000082,-0.33754657010899997
ACH-000085,-0.387252832985
ACH-000086,-0.38565222692699996
ACH-000087,-0.32136646294
ACH-000092,-0.657355008053
ACH-000095,-0.298737202663
ACH-000097,-0.280409205796
ACH-000098,-0.401040566888
ACH-000099,-0.267427681001
ACH-000108,-0.5280423708399999
ACH-000113,-0.300372367242
ACH-000115,-0.22232730636700002
ACH-000116,-0.32908108119699997
ACH-000118,-0.325878631547
ACH-000120,-0.267628835976
ACH-000123,-0.352770445631
ACH-000127,-0.353927355098
ACH-000128,-0.588982952203
ACH-000132,-0.239994583618
ACH-000133,-0.471196241246
ACH-000137,-0.5019570730139999
ACH-000138,-0.26593748748
ACH-000142,-0.412326549916
ACH-000143,-0.118015667091
ACH-000146,-0.317728300134
ACH-000148,-0.44091486798199997
ACH-000150,-0.594216657771
ACH-000152,-0.371783878234
ACH-000153,-0.257709447194
ACH-000159,-0.46459551027400003
ACH-000160,-0.425403804437
ACH-000163,-0.150246490833
ACH-000167,-0.248577482289
ACH-000168,-0.0760709079138
ACH-000169,-0.33887602112599996
