,GUCY1A2 (2977)
ACH-000004,0.152383303314
ACH-000007,-0.0350028820455
ACH-000009,0.07201534680669999
ACH-000011,0.0608132754295
ACH-000012,0.059317723428
ACH-000013,0.027032262217900005
ACH-000014,0.31144598770799997
ACH-000015,0.07762529001469999
ACH-000017,0.0643670399782
ACH-000018,-0.116006014176
ACH-000019,0.00839174342517
ACH-000021,0.125915691947
ACH-000022,0.048371380475599995
ACH-000025,0.0278302676528
ACH-000028,0.052029917899900004
ACH-000030,0.12233028142899999
ACH-000035,0.129040128345
ACH-000036,-0.018975023788999998
ACH-000037,-0.00702686485604
ACH-000039,-0.154280835682
ACH-000040,-0.0385037447316
ACH-000041,0.142386559203
ACH-000042,0.020489144940799998
ACH-000045,0.064548360212
ACH-000047,0.031395520249999996
ACH-000052,0.207175900974
ACH-000053,0.031762313698
ACH-000054,0.020625893074
ACH-000055,-0.09515161495860001
ACH-000060,0.019877252617099998
ACH-000067,0.183559312861
ACH-000070,0.110054545343
ACH-000075,0.316722943852
ACH-000078,0.0828974480258
ACH-000082,0.0205708816448
ACH-000085,-0.06867229407459999
ACH-000086,-0.125605794714
ACH-000087,0.232256019635
ACH-000092,0.0320195610672
ACH-000095,0.00594388498404
ACH-000097,0.0345359966593
ACH-000098,0.157781152052
ACH-000099,0.08615451914149999
ACH-000108,-0.050311211968300004
ACH-000113,-0.10226533615599999
ACH-000115,0.131352647907
ACH-000116,0.0825963546459
ACH-000118,-0.025691414111099996
ACH-000120,-0.104762198403
ACH-000123,0.122830993442
ACH-000127,0.0924242625608
ACH-000128,-0.18638690902600002
ACH-000132,0.0737464493006
ACH-000133,0.11999176310200001
ACH-000137,0.122198352354
ACH-000138,-0.09438351215810001
ACH-000142,0.0785227240568
ACH-000143,0.082723418586
ACH-000146,0.028124442177400004
ACH-000148,0.024456716382299997
ACH-000150,0.123824530647
ACH-000152,0.151195537659
ACH-000153,0.0107510330458
ACH-000159,0.138091996228
ACH-000160,-0.024481796612700002
