,CCP110 (9738)
ACH-000004,-0.21411626148899998
ACH-000007,-0.493855048206
ACH-000009,-0.20389524279500001
ACH-000011,-0.511632489617
ACH-000012,-0.628577626626
ACH-000013,-0.286868149191
ACH-000014,-0.6976783589129999
ACH-000015,-0.710619898434
ACH-000017,-0.242373468423
ACH-000018,-0.698729705952
ACH-000019,-0.464070922097
ACH-000021,-0.49037443127999997
ACH-000022,-0.42927315637900004
ACH-000025,-0.476324943358
ACH-000028,-0.723478608387
ACH-000030,-0.20812369380399998
ACH-000035,-0.532716368404
ACH-000036,-0.626494054736
ACH-000037,-0.293208626197
ACH-000039,-0.60803745782
ACH-000040,-0.355703598018
ACH-000041,-0.478301410829
ACH-000042,-0.527449152954
ACH-000045,-0.527748228105
ACH-000047,-0.201786630336
ACH-000052,-0.562364973372
ACH-000053,-0.23370779450100002
ACH-000054,-0.465937207409
ACH-000055,-0.529854197675
ACH-000060,-0.612509048184
ACH-000067,-0.404113918685
ACH-000070,-0.404978643179
ACH-000075,-0.415342039186
ACH-000078,-0.5217419876120001
ACH-000082,-0.604241629746
ACH-000085,-0.268842527384
ACH-000086,-0.114558268192
ACH-000087,-0.8310548794079999
ACH-000092,-0.520230259509
ACH-000095,-0.642700668512
ACH-000097,-0.642650164822
ACH-000098,-0.37470357036300006
ACH-000099,-0.314174805756
ACH-000108,-0.6224733824700001
ACH-000113,-0.35644088663199996
ACH-000115,-0.648491903036
ACH-000116,-0.250716355867
ACH-000118,-0.47072563700099995
ACH-000120,-0.7755449125309999
ACH-000123,-0.621594855507
ACH-000127,-0.711830921791
ACH-000128,-0.35278281814900003
ACH-000132,-0.311815466133
ACH-000133,-0.40603225081999994
ACH-000137,-0.456017043199
ACH-000138,-0.420568370114
ACH-000142,-0.516528636724
ACH-000143,-0.576937999803
ACH-000146,-0.475726648402
ACH-000148,-0.46125611091200003
ACH-000150,-0.396552824383
ACH-000152,-0.38493541683
ACH-000153,-0.942842345363
ACH-000159,-0.423111207915
ACH-000160,-0.48950996022200005
ACH-000163,-0.421997744667
ACH-000167,-0.5523798366920001
ACH-000168,-0.36407526299599996
ACH-000169,-0.431042083495
ACH-000178,-0.614777551156
ACH-000182,-0.188513766684
ACH-000183,-0.554353523273
ACH-000188,-0.12718536242
ACH-000189,-0.184768787612
ACH-000190,-0.34435236425300003
ACH-000198,-0.38385163480800005
ACH-000204,-0.252342916065
ACH-000206,-0.152465477096
ACH-000207,-0.588345260412
ACH-000211,-0.558159913198
ACH-000215,-0.537903905515
ACH-000221,-0.7425333041140001
ACH-000222,-0.288007900735
ACH-000223,-0.321597051731
ACH-000226,-0.595672355534
ACH-000227,-0.728493130455
ACH-000228,-0.477485515204
ACH-000231,-0.525581244515
ACH-000232,-0.567389116978
ACH-000233,-0.497079048397
ACH-000234,-0.212241839028
ACH-000235,-0.477583219604
ACH-000237,-0.504203817194
ACH-000238,-0.09737341981860001
ACH-000243,-0.890939457651
ACH-000244,-0.756870248961
ACH-000246,-0.477278890237
ACH-000248,-0.332229198592
ACH-000250,-0.218959391205
ACH-000251,-0.679176233207
ACH-000253,-0.17021312399500002
ACH-000255,-0.326081012716
ACH-000256,-0.12356987319
ACH-000257,-0.547079586274
ACH-000258,-0.452915539407
ACH-000259,-0.290604735922
ACH-000260,-0.500361185425
ACH-000261,-0.334177200455
ACH-000262,-0.649922124478
ACH-000263,-0.126871786987
ACH-000264,-0.482153925705
ACH-000265,-0.6581832967100001
ACH-000266,-0.207136066342
ACH-000272,-0.343677331853
ACH-000273,-0.329611711588
ACH-000274,-0.541894197971
ACH-000277,-0.08657024192119998
ACH-000278,-0.29545852903700004
ACH-000279,-0.491035186449
ACH-000280,-0.456268671465
ACH-000281,-0.553159791386
ACH-000288,-0.39906009484800004
ACH-000291,-0.7103774508759999
ACH-000293,-0.12495174751499999
ACH-000294,-0.479618597025
ACH-000295,-0.388202126447
ACH-000296,-0.498168575291
ACH-000302,-0.330940204846
ACH-000304,-0.751101116858
ACH-000307,-0.584455965652
ACH-000308,-0.409327183585
ACH-000310,-0.739257829681
ACH-000311,-0.521350005773
ACH-000312,-0.391868941756
ACH-000315,-0.35180500017
ACH-000316,-0.42773637575999995
ACH-000317,-0.631598544243
ACH-000318,-0.331386998394
ACH-000319,-0.548838646976
ACH-000320,-0.6749682888840001
ACH-000322,-0.641689653146
ACH-000323,-0.5806131253310001
ACH-000324,-0.334027462708
ACH-000329,-0.37856714509499995
ACH-000330,-0.638748137141
ACH-000331,-0.5604399576160001
ACH-000332,-0.602052928883
ACH-000334,-0.375803623868
ACH-000335,-0.478568106838
ACH-000336,-0.326972743581
ACH-000337,-0.24547347553100002
ACH-000339,-0.407251301204
ACH-000341,-0.178611039076
ACH-000348,-0.318246570997
ACH-000350,-0.4260931386
ACH-000352,-0.5856457277229999
ACH-000356,-0.614559409009
ACH-000361,-0.965112275446
ACH-000362,-0.441842012436
ACH-000363,-0.16959986698399998
ACH-000364,-0.613105540249
ACH-000365,-0.452393773807
ACH-000366,-0.42580696959299996
ACH-000368,-0.44561038342799997
ACH-000374,-0.571792219549
ACH-000375,-0.47233859257
ACH-000376,-0.286190995439
ACH-000381,-0.253827421204
ACH-000383,-0.42917387957599995
ACH-000387,-0.38520854678000005
ACH-000389,-0.43979781689999997
ACH-000390,-0.471260393878
ACH-000393,-0.323661784592
ACH-000395,-0.407059724339
ACH-000397,-0.489436957095
ACH-000401,-0.534885940792
ACH-000402,0.176970205044
ACH-000403,-0.341866919085
ACH-000404,-0.8051280118240001
ACH-000406,-0.47529877665
ACH-000407,-0.49563239470200005
ACH-000408,-0.604352898919
ACH-000410,-0.339403909032
ACH-000411,-0.597763154999
ACH-000414,-0.645585587523
ACH-000415,-0.5581777827619999
ACH-000416,-0.45562551403000007
ACH-000420,-0.667658348553
ACH-000421,-0.506888002721
ACH-000424,-0.21883336859900002
ACH-000425,-0.641450107666
ACH-000426,-0.171946387017
ACH-000427,-0.612302474967
ACH-000433,-0.528710035036
ACH-000436,-0.378251410044
ACH-000444,-0.6799441976289999
ACH-000445,-0.59085162331
ACH-000448,-0.46080902042599997
ACH-000450,-0.488780286775
ACH-000452,-0.449173082791
ACH-000454,-0.605047453975
ACH-000458,-0.7139627810410001
