,SCARB1 (949)
ACH-000004,-0.130334463057
ACH-000007,-0.547451858402
ACH-000009,-0.262540653646
ACH-000011,-0.293350244725
ACH-000012,-0.231458376802
ACH-000013,-0.142881255536
ACH-000014,0.0258905800954
ACH-000015,-0.201078392768
ACH-000017,-0.22028525591899997
ACH-000018,-0.232214307467
ACH-000019,-0.544888769839
ACH-000021,-0.6160522575330001
ACH-000022,-0.303126227046
ACH-000025,-0.379951711928
ACH-000028,-0.24067400990600002
ACH-000030,-0.0874117073798
ACH-000035,-0.222448596671
ACH-000036,-0.43571703466399997
ACH-000037,-0.705845772421
ACH-000039,-0.290867187944
ACH-000040,-0.525358351677
ACH-000041,-0.320438302575
ACH-000042,-0.394527147312
ACH-000045,-0.264452336708
ACH-000047,-0.17833504741700001
ACH-000052,-0.414548218757
ACH-000053,-0.281379764072
ACH-000054,-0.163201306904
ACH-000055,-0.463663901552
ACH-000060,-0.410695695096
ACH-000067,-0.305354091242
ACH-000070,-0.052232288606500005
ACH-000075,-0.532883866325
ACH-000078,-0.352247915117
ACH-000082,-0.269534657558
ACH-000085,-0.478616898276
ACH-000086,-0.384293982012
ACH-000087,-0.577575562494
ACH-000092,-0.38574489113399996
ACH-000095,-0.24711858903499997
ACH-000097,-0.224975149569
ACH-000098,-0.247902573348
ACH-000099,-0.30130700695
ACH-000108,-0.238721715816
ACH-000113,-0.12284074666099999
ACH-000115,-0.30483568592
ACH-000116,-0.183043519657
ACH-000118,-0.265245690935
ACH-000120,-0.195030804961
ACH-000123,-0.16654849024499999
ACH-000127,-0.236336311419
ACH-000128,-0.17549167164299997
ACH-000132,-0.135144178677
ACH-000133,-0.126848304425
ACH-000137,-0.40508224371600005
ACH-000138,-0.26163080839
ACH-000142,-0.17639408527800002
ACH-000143,-0.167294876244
ACH-000146,-0.243317916209
ACH-000148,-0.432516370116
ACH-000150,-0.34413475648100006
ACH-000152,-0.42097555228699995
ACH-000153,-0.279652846736
ACH-000159,-0.15578760764900002
ACH-000160,-0.382859600413
ACH-000163,-0.429499746264
ACH-000167,-0.206053790608
ACH-000168,-0.29165009178199996
ACH-000169,-0.26475837487799997
ACH-000178,-0.35951638526999996
ACH-000182,-0.314580382928
ACH-000183,-0.286082398929
ACH-000188,-0.172593740429
ACH-000189,-0.309576717358
ACH-000190,-0.279321151509
ACH-000198,-0.248240877883
ACH-000204,-0.368610558251
ACH-000206,-0.34597508358499995
ACH-000207,-0.04381851973130001
ACH-000211,-0.389618247232
ACH-000215,-0.35463257739799997
ACH-000221,-0.25165160456999996
ACH-000222,-0.178869490405
ACH-000223,-0.181641493709
ACH-000226,-0.324879444657
ACH-000227,-0.494268460798
ACH-000228,-0.0350176335859
ACH-000231,-0.236742807986
ACH-000232,-0.287642368168
ACH-000233,-0.233146607366
ACH-000234,-0.286601732332
ACH-000235,-0.294485310739
ACH-000237,-0.183255086299
ACH-000238,-0.42329597328100005
ACH-000243,-0.325894141696
ACH-000244,-0.483451898934
ACH-000246,-0.236980510786
ACH-000248,-0.243051952918
ACH-000250,-0.37240844608999996
ACH-000251,-0.445039156247
ACH-000253,-0.329428461749
ACH-000255,-0.13908375803
ACH-000256,-0.484323879392
ACH-000257,-0.322497556731
ACH-000258,-0.189897417945
ACH-000259,-0.300722791043
ACH-000260,-0.137429120032
ACH-000261,-0.312450993814
ACH-000262,0.162442233675
ACH-000263,-0.41756185630599996
ACH-000264,-0.246087721677
ACH-000265,-0.374142645933
ACH-000266,-0.33950259622100004
ACH-000272,-0.248336218387
ACH-000273,-0.19755887330699998
ACH-000274,-0.283474964391
ACH-000277,-0.171587837432
ACH-000278,-0.365345415446
ACH-000279,-0.46390635024800003
ACH-000280,-0.300243941467
ACH-000281,-0.27057369344
ACH-000288,-0.375022883619
ACH-000291,-0.11394506668299999
ACH-000293,-0.349746783821
ACH-000294,-0.14602565523
ACH-000295,-0.250740629492
ACH-000296,-0.270122409402
ACH-000302,-0.230721842281
ACH-000304,-0.117191330066
ACH-000307,-0.258602482135
ACH-000308,-0.355073128771
ACH-000310,-0.282988162546
ACH-000311,-0.147092960935
ACH-000312,-0.380005743269
ACH-000315,-0.264466290283
ACH-000316,-0.40745365847
ACH-000317,0.0587011109495
ACH-000318,-0.314015785695
ACH-000319,-0.34095638185000005
ACH-000320,-0.104373641381
ACH-000322,-0.349865649015
ACH-000323,-0.26051750585
ACH-000324,-0.129707558923
ACH-000329,-0.204630586928
ACH-000330,-0.260445102572
ACH-000331,-0.488459316382
ACH-000332,-0.24615339894299998
ACH-000334,-0.248445607158
