,ATP5L2 (267020)
ACH-000004,-0.07115926819410001
ACH-000007,-0.198639945856
ACH-000009,-0.336912354115
ACH-000011,-0.305775185444
ACH-000012,-0.337625604848
ACH-000013,-0.493055182522
ACH-000014,-0.43825433419200005
ACH-000015,-0.21356728816599999
ACH-000017,-0.30127395264
ACH-000018,-0.375030164537
ACH-000019,-0.32570776018
ACH-000021,-0.294797397577
ACH-000022,-0.18582226855200001
ACH-000025,-0.39366049079899995
ACH-000028,-0.015973663306799998
ACH-000030,-0.368734211444
ACH-000035,-0.047269332790800006
ACH-000036,-0.15588717241800001
ACH-000037,-0.243036823653
ACH-000039,-0.6714523459399999
ACH-000040,-0.12104228367999999
ACH-000041,-0.486486237693
ACH-000042,-0.249328238951
ACH-000045,-0.17912114191599998
ACH-000047,-0.348060123052
ACH-000052,-0.392555801199
ACH-000053,-0.292411036347
ACH-000054,-0.23220882331300002
ACH-000055,-0.28757103604400003
ACH-000060,-0.6140297594640001
ACH-000067,-0.09322704226919999
ACH-000070,-0.286891984841
ACH-000075,-0.0816548038193
ACH-000078,-0.499015448117
ACH-000082,-0.326977873314
ACH-000085,-0.300918342736
ACH-000086,-0.19471154645199998
ACH-000087,-0.207146750874
ACH-000092,-0.208533113204
ACH-000095,-0.35129028814499996
ACH-000097,-0.10240991162999999
ACH-000098,-0.276224725244
ACH-000099,-0.499319388786
ACH-000108,-0.41468578239299997
ACH-000113,-0.309166380559
ACH-000115,-0.127642571591
ACH-000116,-0.192635936592
ACH-000118,-0.29755667001999997
ACH-000120,-0.47125015088999994
ACH-000123,-0.24653662636799997
ACH-000127,-0.166210171867
ACH-000128,0.09613907420600001
ACH-000132,-0.142403370531
ACH-000133,-0.170369356829
ACH-000137,-0.28908366357
ACH-000138,-0.0345656866899
ACH-000142,-0.25361265579799996
ACH-000143,-0.330922529687
ACH-000146,-0.385254768207
ACH-000148,-0.147023418715
ACH-000150,-0.0658676529865
ACH-000152,-0.218598332661
ACH-000153,0.135749076136
ACH-000159,-0.23699431567200002
ACH-000160,-0.35244715671099996
ACH-000163,-0.15460399510700001
ACH-000167,0.147426071779
ACH-000168,-0.207126483673
ACH-000169,-0.261601898567
ACH-000178,-0.126594068423
ACH-000182,-0.170257237343
ACH-000183,-0.17116677535
ACH-000188,-0.0602455667172
ACH-000189,-0.126318170372
ACH-000190,-0.10782004926
ACH-000198,-0.233424707901
ACH-000204,0.112732181658
ACH-000206,-0.20661844844500002
ACH-000207,-0.053013399912800005
ACH-000211,-0.302169320762
ACH-000215,-0.24175584398699998
ACH-000221,-0.366438681585
ACH-000222,-0.378154357915
ACH-000223,-0.34322552701
ACH-000226,-0.472220956288
ACH-000227,-0.6881575306550001
ACH-000228,-0.36470156684
ACH-000231,-0.38654358684
ACH-000232,-0.403024879253
ACH-000233,-0.25034656860800003
ACH-000234,-0.39576980139
ACH-000235,-0.19362875201699997
ACH-000237,-0.344853375749
ACH-000238,-0.24304657988699999
ACH-000243,-0.31476290099599996
ACH-000244,-0.057654646047
ACH-000246,-0.134476948796
ACH-000248,-0.0374383006095
ACH-000250,-0.253313084264
ACH-000251,0.12320718172
ACH-000253,-0.08710546710339999
ACH-000255,-0.255890458783
ACH-000256,-0.294434912289
ACH-000257,-0.143714697177
ACH-000258,-0.060616343558999995
ACH-000259,-0.407983233085
ACH-000260,-0.29405309652899997
ACH-000261,-0.306157507793
ACH-000262,-0.255579280048
ACH-000263,-0.266483699013
ACH-000264,-0.33833137895099996
ACH-000265,-0.228458898433
ACH-000266,-0.352728517131
ACH-000272,-0.20024131919799998
ACH-000273,-0.203031073958
ACH-000274,-0.43164933681100004
ACH-000277,0.029815162706900003
ACH-000278,-0.459898328075
ACH-000279,-0.340852751977
ACH-000280,-0.144450796505
ACH-000281,-0.30875333624699997
ACH-000288,-0.22199304289900001
ACH-000291,-0.19216304159699998
ACH-000293,-0.38046434526
ACH-000294,-0.163689684164
ACH-000295,-0.08255079852580001
ACH-000296,-0.38650386739299997
ACH-000302,-0.207913949621
ACH-000304,-0.157965729529
ACH-000307,-0.0665102663315
ACH-000308,-0.257582342276
ACH-000310,-0.895552720968
ACH-000311,-0.5281523389399999
ACH-000312,-0.42689683327699995
ACH-000315,-0.452140567522
ACH-000316,-0.241822299731
ACH-000317,-0.381059596823
ACH-000318,-0.360569743141
ACH-000319,-0.234578041705
ACH-000320,-0.257614682191
ACH-000322,-0.43352295628799997
ACH-000323,-0.181464071384
ACH-000324,-0.34668460616400004
ACH-000329,-0.294889030714
ACH-000330,-0.254206851289
ACH-000331,-0.210468412931
