,TUFM (7284)
ACH-000004,-0.148762931751
ACH-000007,-0.5470452922510001
ACH-000009,-0.188735770566
ACH-000011,-0.0801087631843
ACH-000012,-0.460958945686
ACH-000013,-0.482737288437
ACH-000014,-0.138029362584
ACH-000015,-0.504652044816
ACH-000017,-0.202272521505
ACH-000018,-0.377411756567
ACH-000019,-0.372179688249
ACH-000021,-0.164664418305
ACH-000022,-0.42662641541999996
ACH-000025,-0.283829323268
ACH-000028,-0.5581577180839999
ACH-000030,0.014562472130000002
ACH-000035,-0.456796049214
ACH-000036,-0.24952560831099999
ACH-000037,0.015029668436399999
ACH-000039,-0.633682575431
ACH-000040,-0.142304148312
ACH-000041,-0.180917121721
ACH-000042,-0.0391829507436
ACH-000045,-0.535319795744
ACH-000047,-0.16231695739600002
ACH-000052,-0.328136859589
ACH-000053,-0.15061748926
ACH-000054,-0.28282083791900003
ACH-000055,0.000300178553874
ACH-000060,-0.0428095748589
ACH-000067,-0.324521201317
ACH-000070,-0.303502135078
ACH-000075,-0.567415409347
ACH-000078,0.024598337507000002
ACH-000082,-0.35083571418399995
ACH-000085,-0.308457358493
ACH-000086,-0.383669144435
ACH-000087,-0.47307247352700005
ACH-000092,-0.148716511907
ACH-000095,-0.18899130532900002
ACH-000097,-0.301994786639
ACH-000098,-0.394066761859
ACH-000099,-0.293546102198
ACH-000108,-0.0170870277888
ACH-000113,-0.43531113234200003
ACH-000115,-0.532936847682
ACH-000116,-0.343954597118
ACH-000118,-0.216375840997
ACH-000120,-0.15563446517
ACH-000123,-0.184334415535
ACH-000127,-0.33659697408600003
ACH-000128,-0.265608483827
ACH-000132,-0.489233490778
ACH-000133,-0.21433514455400002
ACH-000137,-0.5273575080039999
ACH-000138,-0.18755816486
ACH-000142,-0.146392143501
ACH-000143,-0.289547060103
ACH-000146,-0.197950583101
ACH-000148,-0.544153856058
ACH-000150,-0.578180820542
ACH-000152,-0.210746794558
ACH-000153,-0.520508036673
ACH-000159,-0.197727705359
ACH-000160,-0.343098757991
ACH-000163,-0.17416116990699998
ACH-000167,-0.6163521732680001
ACH-000168,0.0982323033955
ACH-000169,-0.19781436165
ACH-000178,-0.245094256384
ACH-000182,-0.584928450776
ACH-000183,-0.257403941289
ACH-000188,-0.217086420351
ACH-000189,-0.323944641871
ACH-000190,-0.268435051264
ACH-000198,-0.31873823289700004
ACH-000204,-0.617330289202
ACH-000206,0.0212124633912
ACH-000207,-0.465953301401
ACH-000211,-0.21396948630600002
ACH-000215,-0.28771200829
ACH-000221,-0.35875572495200003
ACH-000222,0.0174590005474
ACH-000223,-0.42168758669100004
ACH-000226,-0.239895049774
ACH-000227,-0.420889501412
ACH-000228,-0.368816762275
ACH-000231,-0.332715474553
ACH-000232,-0.33343786347300003
ACH-000233,-0.429925075978
ACH-000234,-0.44693547006000006
ACH-000235,-0.21197771429499998
ACH-000237,-0.0193158437259
ACH-000238,-0.279753917818
ACH-000243,-0.28051969751999994
ACH-000244,-0.199691177614
ACH-000246,-0.273637646823
ACH-000248,-0.595824372741
ACH-000250,-0.097859109304
ACH-000251,-0.257563704592
ACH-000253,-0.154557450395
ACH-000255,-0.448728828784
ACH-000256,-0.204561112043
ACH-000257,-0.20053657864399999
ACH-000258,-0.133686585884
ACH-000259,-0.347664767442
ACH-000260,-0.32775117907900003
ACH-000261,-0.28588842814599996
ACH-000262,-0.194789397261
ACH-000263,-0.37248891615099994
ACH-000264,-0.30794575918699996
ACH-000265,-0.27318636177
ACH-000266,-0.114721236683
ACH-000272,0.09880702504569999
ACH-000273,-0.233348487533
ACH-000274,-0.23116625545800001
ACH-000277,-0.39920076936399995
ACH-000278,-0.00987247942253
ACH-000279,-0.421569510739
ACH-000280,-0.303558602387
ACH-000281,-0.2485556878
ACH-000288,-0.27444918355000003
ACH-000291,-0.211722294412
ACH-000293,-0.360009146053
ACH-000294,-0.173587484848
ACH-000295,-0.107462193967
ACH-000296,-0.146217640824
ACH-000302,-0.328905845036
ACH-000304,-0.351896572796
ACH-000307,-0.267142483099
ACH-000308,-0.196071848189
ACH-000310,-0.205280611503
ACH-000311,-0.19663457436700002
ACH-000312,-0.25307353474
ACH-000315,-0.535250743717
ACH-000316,-0.07474292806039999
ACH-000317,-0.100727004257
ACH-000318,-0.211544022589
ACH-000319,-0.194924576588
