,PPARGC1B (133522)
ACH-000004,-0.8896441271250001
ACH-000007,-0.798879873433
ACH-000009,-0.784656527284
ACH-000011,-0.7142557592450001
ACH-000012,-0.8442861736
ACH-000013,-0.760628409266
ACH-000014,-0.947685835049
ACH-000015,-0.930255116266
ACH-000017,-0.7643948329019999
ACH-000018,-1.01238373016
ACH-000019,-0.875134088308
ACH-000021,-0.846516093165
ACH-000022,-0.9748801610299999
ACH-000025,-0.9533428467299999
ACH-000028,-0.833662910336
ACH-000030,-0.840323074664
ACH-000035,-0.70656686316
ACH-000036,-0.7372851669760001
ACH-000037,-0.992706481979
ACH-000039,-1.12990661548
ACH-000040,-0.800260617191
ACH-000041,-0.788397639854
ACH-000042,-0.7927244125030001
ACH-000045,-0.63402798345
ACH-000047,-1.1316367595
ACH-000052,-0.786256615212
ACH-000053,-0.900381848047
ACH-000054,-0.936016350651
ACH-000055,-0.881610229529
ACH-000060,-0.892922243414
ACH-000067,-1.02692748125
ACH-000070,-1.1628984524500001
ACH-000075,-0.722279617324
ACH-000078,-1.19414677315
ACH-000082,-0.942500402367
ACH-000085,-0.8050416613950001
ACH-000086,-0.610479706468
ACH-000087,-0.6900448232009999
ACH-000092,-0.791846189148
ACH-000095,-1.06737350086
ACH-000097,-0.977431312252
ACH-000098,-0.7244952459890001
ACH-000099,-0.8430945762000001
ACH-000108,-0.747038948255
ACH-000113,-0.780105408785
ACH-000115,-1.18569903481
ACH-000116,-1.0257727682
ACH-000118,-0.676769429424
ACH-000120,-0.735472778135
ACH-000123,-0.839471530933
ACH-000127,-0.837311736222
ACH-000128,-0.707208131397
ACH-000132,-1.01231859124
ACH-000133,-0.90159072299
ACH-000137,-0.596382211269
ACH-000138,-0.725368835908
ACH-000142,-0.83309580642
ACH-000143,-0.578583122381
ACH-000146,-1.08251705155
ACH-000148,-0.84252872644
ACH-000150,-0.902584390844
ACH-000152,-0.812549991622
ACH-000153,-0.475504907769
ACH-000159,-0.901424072567
ACH-000160,-0.700795066582
ACH-000163,-0.879436900854
ACH-000167,-0.544994228632
ACH-000168,-0.9876401401039999
ACH-000169,-0.7859719441949999
ACH-000178,-0.9501312417059999
ACH-000182,-0.84598292862
ACH-000183,-0.952616033009
ACH-000188,-0.9128447400030001
ACH-000189,-0.818356642709
ACH-000190,-0.47335750643
ACH-000198,-0.9841053910349999
ACH-000204,-0.786448003459
ACH-000206,-0.8636295986839999
ACH-000207,-1.0171141724600001
ACH-000211,-0.912161663685
ACH-000215,-0.775625413318
ACH-000221,-0.8382500405840001
ACH-000222,-0.478275529372
ACH-000223,-0.86072186129
ACH-000226,-0.644031397867
ACH-000227,-1.32765004327
ACH-000228,-0.9546588234289999
ACH-000231,-1.02093851162
ACH-000232,-0.947804646594
ACH-000233,-0.794928857588
ACH-000234,-0.8113267532100001
ACH-000235,-0.8265156596500001
ACH-000237,-0.804353096029
ACH-000238,-0.8882563508720001
ACH-000243,-0.726350832573
ACH-000244,-0.81291555065
ACH-000246,-0.8155549974690001
ACH-000248,-0.628232173238
ACH-000250,-1.10903117716
ACH-000251,-1.03331435528
ACH-000253,-0.843264286616
ACH-000255,-0.948806599266
ACH-000256,-0.93217598501
ACH-000257,-1.06867414771
ACH-000258,-1.49574780314
ACH-000259,-0.787120635711
ACH-000260,-0.760602044269
ACH-000261,-0.929485492915
ACH-000262,-0.8697263720209999
ACH-000263,-0.7851577531239999
ACH-000264,-1.04284843488
ACH-000265,-0.814341755056
ACH-000266,-0.873418769878
ACH-000272,-0.703150834321
ACH-000273,-0.685539809039
ACH-000274,-1.1751595522299998
ACH-000277,-1.00020573612
ACH-000278,-0.73678268008
ACH-000279,-0.9420834649690001
ACH-000280,-0.829512408696
ACH-000281,-0.8745648956919999
ACH-000288,-0.925945905835
ACH-000291,-0.742861112352
ACH-000293,-0.737736221214
ACH-000294,-0.442692315003
ACH-000295,-0.9856142546719999
ACH-000296,-0.9736661571549999
ACH-000302,-1.01646386306
ACH-000304,-1.0947886140799998
ACH-000307,-0.7801128295659999
ACH-000308,-0.944567474448
ACH-000310,-1.1823919360700001
ACH-000311,-0.676039538706
ACH-000312,-0.831363901463
ACH-000315,-0.816492655163
ACH-000316,-0.828228900122
ACH-000317,-0.987356997115
ACH-000318,-1.02726934031
ACH-000319,-1.1355308551899999
ACH-000320,-0.796631389896
ACH-000322,-0.5489782468100001
