,STRAP (11171)
ACH-000004,-1.0452270857
ACH-000007,-1.06927504824
ACH-000009,-0.7994212645829999
ACH-000011,-1.0758086444
ACH-000012,-0.661710607144
ACH-000013,-0.977499290815
ACH-000014,-1.2881819290899998
ACH-000015,-0.898482437241
ACH-000017,-1.34613148372
ACH-000018,-0.804846668629
ACH-000019,-0.22649888079
ACH-000021,-0.815315379286
ACH-000022,-1.3160287885
ACH-000025,-1.13304967526
ACH-000028,-0.9822571491150001
ACH-000030,-0.9160866467509999
ACH-000035,-1.30249628101
ACH-000036,-1.0786102457100002
ACH-000037,-0.6918199179960001
ACH-000039,-0.6274141966969999
ACH-000040,-0.8503532239399999
ACH-000041,-1.22160557206
ACH-000042,-0.9974989019059999
ACH-000045,-0.926239319392
ACH-000047,-0.44749434928599996
ACH-000052,-1.12956029415
ACH-000053,-1.1074072238
ACH-000054,-1.01846410393
ACH-000055,-1.2430572644
ACH-000060,-1.02001301994
ACH-000067,-0.931590195153
ACH-000070,-1.0080220795700001
ACH-000075,-0.974910507348
ACH-000078,-0.337945159603
ACH-000082,-0.392715272007
ACH-000085,-1.4129703368200002
ACH-000086,-0.7086341338140001
ACH-000087,-0.503762556927
ACH-000092,-1.00071383847
ACH-000095,-0.876574561257
ACH-000097,-0.999048533301
ACH-000098,-0.7107154689
ACH-000099,-0.956662462245
ACH-000108,-0.548733499456
ACH-000113,-1.09962099736
ACH-000115,-0.76984064591
ACH-000116,-0.555029576876
ACH-000118,-0.8892771360420001
ACH-000120,-0.563802932888
ACH-000123,-0.9612802273409999
ACH-000127,-0.990229382051
ACH-000128,-0.669636173069
ACH-000132,-1.17206833983
ACH-000133,-0.6101401424740001
ACH-000137,-0.603443155096
ACH-000138,-1.27103091916
ACH-000142,-1.06225392859
ACH-000143,-1.02636149459
ACH-000146,-0.629835035152
ACH-000148,-0.765992099801
ACH-000150,-0.817545153953
ACH-000152,-0.751404745501
ACH-000153,-1.4176395272100002
ACH-000159,-1.06348666293
ACH-000160,-0.77295039765
ACH-000163,-0.657823848888
ACH-000167,-0.522155909457
ACH-000168,-1.06070196448
ACH-000169,-0.928957233109
ACH-000178,-0.9711422343520001
ACH-000182,-0.7014152593699999
ACH-000183,-1.1957086222799997
ACH-000188,-0.641739553185
ACH-000189,-1.00614591226
ACH-000190,-1.01699105669
ACH-000198,-0.9305428329559999
ACH-000204,-1.00859419263
ACH-000206,-1.2177852611700002
ACH-000207,-1.07533553061
ACH-000211,-0.7065257252079999
