,GSDMC (56169)
ACH-000004,0.13755499553099998
ACH-000007,0.050020930673199994
ACH-000009,0.0302199634155
ACH-000011,-0.0383159746589
ACH-000012,-0.361788802246
ACH-000013,-0.006658528172130001
ACH-000014,-0.0112543467827
ACH-000015,0.0611226838332
ACH-000017,-0.12175382737700001
ACH-000018,-0.182490672922
ACH-000019,-0.0844334843339
ACH-000021,0.00842085994947
ACH-000022,-0.00270068260109
ACH-000025,-0.021245193656700002
ACH-000028,0.025692041247
ACH-000030,0.0284922571073
ACH-000035,-0.0500588008022
ACH-000036,-0.24149188494399998
ACH-000037,-0.284795439908
ACH-000039,-0.206511109602
ACH-000040,-0.124744918639
ACH-000041,0.00893982457286
ACH-000042,-0.174181093441
ACH-000045,-0.11422559315
ACH-000047,-0.101262047119
ACH-000052,-0.0611958820814
ACH-000053,-0.167535953949
ACH-000054,-0.031249696895599997
ACH-000055,0.08349251975580001
ACH-000060,-0.147803409961
ACH-000067,0.101493706907
ACH-000070,-0.124190339252
ACH-000075,-0.127751748783
ACH-000078,-0.135550070259
ACH-000082,-0.059572693126400005
ACH-000085,0.0764732385657
ACH-000086,-0.145340717196
ACH-000087,0.0574585788869
ACH-000092,-0.510183374045
ACH-000095,0.139990862695
ACH-000097,0.05031708878380001
ACH-000098,0.0552227726244
ACH-000099,-0.016386613108000003
ACH-000108,-0.0216822485871
ACH-000113,-0.129929371021
ACH-000115,-0.0445402535552
ACH-000116,-0.0157967376003
ACH-000118,-0.330817456528
ACH-000120,0.0450001312915
ACH-000123,0.033056592389500004
ACH-000127,-0.025708828035
ACH-000128,0.198083645522
ACH-000132,-0.0136694665548
ACH-000133,-0.19947568256200002
ACH-000137,0.108350511614
ACH-000138,0.0729540990018
ACH-000142,-0.23023826733199998
ACH-000143,-0.0563235227227
ACH-000146,-0.053434717176299995
ACH-000148,-0.0184678061226
ACH-000150,-0.430156753293
ACH-000152,-0.141923099675
ACH-000153,-0.10317315574699999
ACH-000159,-0.119614574127
ACH-000160,-0.0760726616168
ACH-000163,-0.046472050781500004
ACH-000167,-0.0542735086087
ACH-000168,-0.43904208260099997
ACH-000169,-0.140470960336
ACH-000178,-0.046428518584
ACH-000182,-0.12442601528
ACH-000183,0.141708104033
ACH-000188,-0.08974506858650001
ACH-000189,0.0292513982317
ACH-000190,-0.294928243523
ACH-000198,-0.0388854044281
ACH-000204,-0.028744175445500002
ACH-000206,0.018686608460099997
ACH-000207,-0.231698404234
ACH-000211,-0.0869049624828
ACH-000215,-0.0332337806259
ACH-000221,-0.00331511068625
ACH-000222,-0.0851497285091
ACH-000223,-0.152661874315
ACH-000226,0.0038922123518399998
ACH-000227,0.0463495858402
ACH-000228,-0.04359330429330001
ACH-000231,-0.10955701517300001
ACH-000232,-0.152099108833
ACH-000233,0.0910306090907
ACH-000234,-0.0214928573415
ACH-000235,-0.13813456951
ACH-000237,-0.014055875157700001
ACH-000238,-0.325715901325
ACH-000243,-0.0122120300523
ACH-000244,-0.0781863249487
ACH-000246,-0.08097171482269999
ACH-000248,-0.136563116033
ACH-000250,-0.0434923119429
ACH-000251,-0.00784503360595
ACH-000253,-0.120427938743
ACH-000255,0.050068057984600005
ACH-000256,-0.315287288179
ACH-000257,-0.11468520173800001
ACH-000258,-0.137972844885
ACH-000259,-0.048807167988400006
ACH-000260,-0.0153788818659
ACH-000261,-0.00494921269536
ACH-000262,-0.05964379709980001
ACH-000263,0.09152467891239999
ACH-000264,-0.060202732375
ACH-000265,-0.172619258115
ACH-000266,-0.024775271738800002
ACH-000272,-0.0627502991082
ACH-000273,-0.161241224387
ACH-000274,-0.11174260766699999
ACH-000277,-0.32920739267
ACH-000278,-0.10002708096799999
ACH-000279,-0.13519542124199999
ACH-000280,-0.14526554158399999
ACH-000281,-0.147427760314
ACH-000288,-0.0320492807001
ACH-000291,-0.0892669408618
ACH-000293,0.08670130863320001
ACH-000294,-0.206476769532
ACH-000295,-0.296157514899
ACH-000296,0.123487850049
ACH-000302,-0.158175660301
ACH-000304,-0.312063212674
ACH-000307,0.0457843284168
ACH-000308,-0.024749463085400002
ACH-000310,-0.10649289364
ACH-000311,-0.0311635676658
ACH-000312,-0.05690634406430001
ACH-000315,-0.237666829292
ACH-000316,0.142738931762
ACH-000317,-0.094143664
ACH-000318,-0.0795562508417
ACH-000319,-0.07394930813410001
ACH-000320,-0.141216420378
ACH-000322,-0.0338369324982
ACH-000323,-0.054127538553300006
ACH-000324,-0.08697933476469999
ACH-000329,-0.08919437227289999
ACH-000330,-0.09334331988839999
ACH-000331,0.0379737860332
ACH-000332,-0.0416753842044
ACH-000334,0.21217011394699997
ACH-000335,0.12683390933
ACH-000336,-0.0585200231761
ACH-000337,0.0447911960888
ACH-000339,-0.08615195037939999
ACH-000341,0.152871591992
ACH-000348,-0.0037127024514099997
ACH-000350,-0.0028405315729899995
ACH-000352,-0.225845118378
ACH-000356,-0.222231503134
ACH-000361,-0.0019015976793499997
ACH-000362,-0.0955573153651
ACH-000363,-0.159737119937
ACH-000364,0.0557826850703
ACH-000365,0.00519907152264
ACH-000366,0.120891903474
ACH-000368,0.0809189571483
ACH-000374,0.128105167907
ACH-000375,-0.190676085523
ACH-000376,-0.0220923062125
ACH-000381,-0.188921303589
ACH-000383,-0.259282604333
ACH-000387,-0.0782689436998
ACH-000389,-0.12924658316600002
ACH-000390,-0.115701525407
ACH-000393,-0.13378600635
ACH-000395,-0.015088187482200002
ACH-000397,-0.08438601353430002
ACH-000401,-0.10633724175899999
ACH-000402,0.24549859440000002
ACH-000403,-0.181623749762
ACH-000404,-0.04816419275909999
ACH-000406,-0.0524055984289
ACH-000407,-0.0221768251215
ACH-000408,0.0856949898025
ACH-000410,-0.0951085708323
ACH-000411,-0.0544186560634
ACH-000414,-0.1054119919
ACH-000415,-0.023974930825299997
ACH-000416,0.00695684199838
ACH-000420,-0.0608288206666
ACH-000421,0.019161235159700002
ACH-000424,-0.11568420828600001
ACH-000425,-0.09276939502119999
ACH-000426,-0.143150005631
ACH-000427,-0.09776016709989999
ACH-000433,-0.0665384438699
ACH-000436,-0.20853351487799998
ACH-000444,0.0600171757049
ACH-000445,-0.0827004081969
ACH-000448,-0.00998379979249
ACH-000450,0.160315765826
ACH-000452,-0.138086327899
ACH-000454,0.0437909126364
ACH-000458,0.107609597985
ACH-000459,0.145670328277
ACH-000460,-0.059751222651399996
ACH-000461,-0.14821762525
ACH-000463,0.0203971201459
ACH-000464,0.12068280493200001
ACH-000466,-0.155769805064
ACH-000467,-0.131435508649
ACH-000468,-0.131636571036
ACH-000469,0.028802961725
ACH-000470,-0.41932434832599996
ACH-000471,-0.0439934067045
ACH-000472,-0.0338460200427
ACH-000473,-0.103511112171
ACH-000475,-0.0397219924882
ACH-000476,-0.013096681808799998
ACH-000477,-0.20429295919100002
ACH-000480,0.181745635441
ACH-000481,0.12916624167500002
ACH-000483,-0.010353201224899999
ACH-000484,-0.24641472663199998
ACH-000485,-0.233298810249
ACH-000486,-0.19449671258600001
ACH-000487,-0.108328615347
ACH-000488,-0.226355368536
ACH-000490,-0.110472133486
