,MAP1B (4131)
ACH-000004,-0.0901035068055
ACH-000007,0.171683223842
ACH-000009,-0.00827360524562
ACH-000011,0.0584422073112
ACH-000012,-0.0296924026317
ACH-000013,-0.00486748776153
ACH-000014,0.133255136946
ACH-000015,-0.0236050328448
ACH-000017,0.09263450043839999
ACH-000018,-0.0459956064314
ACH-000019,-0.0153098008822
ACH-000021,2.52710787596e-05
ACH-000022,-0.0392815447763
ACH-000025,0.189603343846
ACH-000028,0.0404403487593
ACH-000030,-0.0435153510201
ACH-000035,0.0961622576289
ACH-000036,-0.0493796351542
ACH-000037,0.057844430234199995
ACH-000039,0.09459720276820001
ACH-000040,-0.0453264027711
ACH-000041,-0.164240105189
ACH-000042,-0.005980352255489999
ACH-000045,-0.0900672507162
ACH-000047,0.044954644842
ACH-000052,0.106475629378
ACH-000053,-0.008448841575859999
ACH-000054,0.14018592368899999
ACH-000055,0.167265141272
ACH-000060,0.0424941349328
ACH-000067,-0.09501305325089998
ACH-000070,0.251348748851
ACH-000075,0.0816747632032
ACH-000078,0.122538444223
ACH-000082,-0.0394198743549
ACH-000085,-0.0368633619771
ACH-000086,-0.10937166946900001
ACH-000087,-0.359718805987
ACH-000092,-0.0262533083722
ACH-000095,-0.010141884410799999
ACH-000097,0.0295760496592
ACH-000098,0.0924052392795
ACH-000099,0.08882980253450001
ACH-000108,0.237791927449
ACH-000113,0.161059940369
ACH-000115,0.171025958406
ACH-000116,0.014082968441700002
ACH-000118,0.104514519909
ACH-000120,0.07698438232
ACH-000123,0.0190525105609
ACH-000127,-0.0522951942674
ACH-000128,0.0637644035767
ACH-000132,0.010723503187299999
ACH-000133,0.0990079880837
ACH-000137,0.172548250373
ACH-000138,0.04014300779090001
ACH-000142,0.0750017883036
ACH-000143,-0.051761011788900003
ACH-000146,-0.046647429982400006
ACH-000148,-0.101119974166
ACH-000150,0.123020567363
ACH-000152,-0.15609771638
ACH-000153,0.0961626463213
ACH-000159,0.0539773597944
ACH-000160,0.08662698375489998
ACH-000163,-0.0664910229485
ACH-000167,-0.0333221686915
ACH-000168,0.06290821762849999
ACH-000169,-0.0641758614222
ACH-000178,0.0804660727121
ACH-000182,0.0512119424778
ACH-000183,0.026955676107799996
ACH-000188,-0.0563740781664
ACH-000189,-0.16141169380999998
ACH-000190,-0.09379502693489998
ACH-000198,0.047577892726499996
ACH-000204,-0.21221121222199998
ACH-000206,0.16491124976500002
ACH-000207,0.362471107686
ACH-000211,0.122012632279
ACH-000215,-0.00173858282745
ACH-000221,-0.011091181394100001
ACH-000222,0.385850821471
ACH-000223,0.175524091172
ACH-000226,-0.096616959618
ACH-000227,-0.00685223692909
ACH-000228,0.109688135651
ACH-000231,-0.023359498718500002
ACH-000232,-0.010196571631700001
ACH-000233,0.038966107790199996
ACH-000234,0.273045499002
ACH-000235,-0.026309288312699998
ACH-000237,-0.13032315182600002
ACH-000238,0.04256986301580001
ACH-000243,-0.010139770959899999
ACH-000244,-0.0407710677685
ACH-000246,0.045118237914699995
ACH-000248,0.190225519133
