,CREBBP (1387)
ACH-000004,-0.663278147918
ACH-000007,0.165023443514
ACH-000009,-0.442644777266
ACH-000011,-0.0525091680691
ACH-000012,-0.272247294743
ACH-000013,-0.0923712707705
ACH-000014,0.114297738351
ACH-000015,-0.349891987289
ACH-000017,-0.35823543772
ACH-000018,-0.953016343114
ACH-000019,-0.5705944018060001
ACH-000021,-0.20909679758000002
ACH-000022,-0.177793041712
ACH-000025,0.460100262948
ACH-000028,-0.458282705282
ACH-000030,-0.034017758635
ACH-000035,-0.499520826598
ACH-000036,0.00959278895898
ACH-000037,-0.0958676715972
ACH-000039,0.14989436371
ACH-000040,-0.7944783827940001
ACH-000041,0.167558641797
ACH-000042,-0.565536452263
ACH-000045,-0.301364445951
ACH-000047,-0.49229007056999996
ACH-000052,-0.119170205191
ACH-000053,-0.41701923889200004
ACH-000054,0.0290562333147
ACH-000055,-0.155900973099
ACH-000060,-1.20755557451
ACH-000067,-0.370579909211
ACH-000070,-0.40942020261900003
ACH-000075,-0.278266183462
ACH-000078,0.6333958109660001
ACH-000082,-0.396774016759
ACH-000085,0.194721023508
ACH-000086,-0.0760039360362
ACH-000087,0.13104378658399998
ACH-000092,-0.23933909033599998
ACH-000095,-0.250416341869
ACH-000097,-0.6968133353300001
ACH-000098,-0.632387524951
ACH-000099,-0.657203540401
ACH-000108,-0.239517642685
ACH-000113,-0.669426239767
ACH-000115,-0.47259031016999997
ACH-000116,-0.619121072399
ACH-000118,-1.0130708153499999
ACH-000120,-0.596474117019
ACH-000123,-0.471314522989
ACH-000127,-1.31491026882
ACH-000128,0.452343261954
ACH-000132,-0.344751974052
ACH-000133,0.123998519264
ACH-000137,-0.14714601787599998
ACH-000138,-0.148528450296
ACH-000142,-0.42098164959299994
ACH-000143,-0.250815197988
ACH-000146,-0.365445611915
ACH-000148,-0.345169188349
ACH-000150,-0.128106906206
ACH-000152,0.251029893367
ACH-000153,-0.49987358979099994
ACH-000159,0.0140849693081
ACH-000160,0.165604009763
ACH-000163,-0.9131108167380001
ACH-000167,0.251418903122
ACH-000168,0.13153685351299998
ACH-000169,0.0257917727105
ACH-000178,-0.493488722435
ACH-000182,-0.410792197346
ACH-000183,-0.115837845363
ACH-000188,0.079596538922
ACH-000189,-0.43722383648999996
ACH-000190,-0.222624154959
ACH-000198,-0.014976057474400001
ACH-000204,-0.7862938559129999
ACH-000206,-0.9196638989
ACH-000207,-0.5866633265160001
ACH-000211,0.241068208202
ACH-000215,-0.182119938455
ACH-000221,-0.289207263396
ACH-000222,-0.081944051907
ACH-000223,-0.126494150683
ACH-000226,0.00903912154814
ACH-000227,-0.495451320182
ACH-000228,-0.0989460749859
ACH-000231,-0.311352733183
ACH-000232,-0.0846490704399
ACH-000233,-0.381040449935
ACH-000234,-0.0676871403335
ACH-000235,-0.0488274364607
ACH-000237,0.0225865222645
ACH-000238,-0.060061412116300006
ACH-000243,-1.05213362347
ACH-000244,-0.0566248806169
ACH-000246,-0.411118794667
ACH-000248,-0.160864992525
ACH-000250,-0.254772861355
ACH-000251,-0.305665562267
