,POT1 (25913)
ACH-000004,-0.997601946629
ACH-000007,-0.6542419732399999
ACH-000009,-0.6219985723629999
ACH-000011,-0.8141033281460001
ACH-000012,-0.784832521744
ACH-000013,-0.140897846896
ACH-000014,-0.60955142371
ACH-000015,-0.23675284327399998
ACH-000017,-0.210123449968
ACH-000018,-0.621848250155
ACH-000019,0.008973855770620001
ACH-000021,-0.251965590724
ACH-000022,-0.606235717836
ACH-000025,-0.479835498394
ACH-000028,-0.40133802753200004
ACH-000030,-0.247403002388
ACH-000035,-0.7525864102240001
ACH-000036,-0.5513396273219999
ACH-000037,-0.749720544109
ACH-000039,-0.537996516685
ACH-000040,-0.793158456162
ACH-000041,-0.47598192276699997
ACH-000042,-0.7196415312819999
ACH-000045,-0.636179049827
ACH-000047,-0.19550731443500002
ACH-000052,-0.557881322562
ACH-000053,-0.454392220251
ACH-000054,-0.763596066031
ACH-000055,-0.34483369387199997
ACH-000060,-0.845244596219
ACH-000067,-0.8933771996690001
ACH-000070,-0.923448797755
ACH-000075,-1.02786753223
ACH-000078,-0.704990125867
ACH-000082,-0.930183052005
ACH-000085,-0.730627730531
ACH-000086,-0.597316314248
ACH-000087,-0.8994777925799998
ACH-000092,-0.395574999002
ACH-000095,-0.872639493987
ACH-000097,-0.741851775845
ACH-000098,-0.58803959438
ACH-000099,-0.9883997463609999
ACH-000108,-0.6912936029060001
ACH-000113,-0.497706698948
ACH-000115,-0.35096192889
ACH-000116,-0.431774024824
ACH-000118,-0.546155575738
ACH-000120,-0.932217746281
ACH-000123,-0.698057911936
ACH-000127,-0.52237536158
ACH-000128,-0.40907161833899996
ACH-000132,-0.41112884375299996
ACH-000133,-0.583759454543
ACH-000137,-0.528239605819
ACH-000138,-0.53309478821
ACH-000142,-0.40277193863399996
ACH-000143,-0.709346195791
ACH-000146,-0.9435100131999999
ACH-000148,-0.917904853614
ACH-000150,-0.726095654557
ACH-000152,-0.508537778989
ACH-000153,-0.313276377273
ACH-000159,-0.885027867819
ACH-000160,-0.43461412990599996
ACH-000163,-0.560646461423
ACH-000167,-0.128515958302
ACH-000168,-0.977487405179
ACH-000169,-0.765216644289
ACH-000178,-0.808200404959
ACH-000182,-1.05664027154
ACH-000183,-0.959533283601
ACH-000188,-0.64969562081
ACH-000189,-0.901891348545
ACH-000190,-0.567617416433
ACH-000198,-0.547911857536
ACH-000204,-0.654749595941
ACH-000206,-0.5019108820579999
ACH-000207,-0.628511918919
ACH-000211,-0.13670211710400001
ACH-000215,-0.874731562984
ACH-000221,-1.02152343625
ACH-000222,-0.54599653366
ACH-000223,-0.943788559389
ACH-000226,-0.827456154226
ACH-000227,-0.408195097143
ACH-000228,-0.418323138244
ACH-000231,-0.473159481292
ACH-000232,-0.539658835042
ACH-000233,-0.739553554487
ACH-000234,-0.620737739029
ACH-000235,-0.790289524486
ACH-000237,-0.718173475549
ACH-000238,-1.30861676149
ACH-000243,-0.288960084846
ACH-000244,-1.15639669941
ACH-000246,-0.87348704815
ACH-000248,-0.19093816913400002
ACH-000250,-0.8872906666779999
ACH-000251,-0.818754307951
ACH-000253,-0.701347817221
ACH-000255,-0.137905878947
ACH-000256,-0.798298453484
ACH-000257,-1.3297525607
ACH-000258,-0.901794468067
ACH-000259,-0.657041859541
ACH-000260,-0.695193271777
ACH-000261,-0.652119002985
ACH-000262,-0.709129393471
ACH-000263,-1.0979649071200002
ACH-000264,-0.886052231362
ACH-000265,-0.237394876882
ACH-000266,-1.2053723978200002
ACH-000272,-0.533192329946
ACH-000273,-1.3198760337
ACH-000274,-0.325180173109
ACH-000277,-0.43744533886299997
ACH-000278,-0.392255409312
ACH-000279,-1.1994444208700001
ACH-000280,-0.904028359174
ACH-000281,-0.769758816488
ACH-000288,-1.1897472397799997
ACH-000291,-0.580554039013
ACH-000293,-0.477611220192
ACH-000294,-1.01615355408
ACH-000295,-0.8936964425130001
ACH-000296,-0.510841366992
ACH-000302,-0.395881369545
ACH-000304,-0.855417966232
ACH-000307,-0.8824712169560001
ACH-000308,-0.776259335998
ACH-000310,-0.65075979703
ACH-000311,-0.696018446996
ACH-000312,-0.401642943935
ACH-000315,-0.671397542737
ACH-000316,-0.9716713768449999
ACH-000317,-0.932480921161
ACH-000318,-0.38450533442400003
ACH-000319,-0.29160706686099996
ACH-000320,-0.75627065168
ACH-000322,-0.601528762705
ACH-000323,-0.406104882498
ACH-000324,-1.06880997783
ACH-000329,-0.8608049472570001
