,CHRND (1144)
ACH-000004,-0.22698477728799998
ACH-000007,-0.30782234129
ACH-000009,-0.465976552972
ACH-000011,-0.276357493356
ACH-000012,-0.42064466780299997
ACH-000013,-0.351920555701
ACH-000014,-0.317951728225
ACH-000015,-0.315958454719
ACH-000017,-0.314044956635
ACH-000018,-0.365866851578
ACH-000019,0.059052157472199995
ACH-000021,-0.366891546726
ACH-000022,-0.421504203815
ACH-000025,-0.25320868399199997
ACH-000028,-0.238383923607
ACH-000030,-0.419055315251
ACH-000035,-0.40973726985500003
ACH-000036,-0.363453551184
ACH-000037,-0.37289891555699994
ACH-000039,-0.516010591458
ACH-000040,-0.37070751873999996
ACH-000041,-0.211413847267
ACH-000042,-0.50087438423
ACH-000045,-0.5263924715470001
ACH-000047,-0.389845558448
ACH-000052,-0.342329817828
ACH-000053,-0.370109397228
ACH-000054,-0.31187206964200004
ACH-000055,-0.269106542803
ACH-000060,-0.20262137757100002
ACH-000067,-0.32195894581900003
ACH-000070,-0.11550760357
ACH-000075,-0.560372786341
ACH-000078,-0.491868229754
ACH-000082,-0.180942714695
ACH-000085,-0.32282185105300004
ACH-000086,-0.225737553244
ACH-000087,-0.10974625853299999
ACH-000092,-0.379832200088
ACH-000095,-0.509479231409
ACH-000097,-0.348789531001
ACH-000098,-0.482876575418
ACH-000099,-0.327125300721
ACH-000108,-0.5249638449740001
ACH-000113,-0.405876087354
ACH-000115,-0.360208063131
ACH-000116,-0.27570574617
ACH-000118,-0.270654191584
ACH-000120,-0.326234075661
ACH-000123,-0.277148147833
ACH-000127,-0.22351310130399998
ACH-000128,-0.557403319113
ACH-000132,-0.45264117003
ACH-000133,-0.299811075631
ACH-000137,-0.177707252571
ACH-000138,-0.369186656796
ACH-000142,-0.216207064758
ACH-000143,-0.49361681177
ACH-000146,-0.246638191482
ACH-000148,-0.533029313002
ACH-000150,-0.42511625112400003
ACH-000152,-0.262823333994
ACH-000153,-0.576012214662
ACH-000159,-0.31497314188000003
ACH-000160,-0.441067827571
ACH-000163,-0.42885359253
ACH-000167,-0.568767137851
ACH-000168,-0.32328649660500003
ACH-000169,-0.332639183906
ACH-000178,-0.247543668094
ACH-000182,-0.452585318225
ACH-000183,-0.388176914995
ACH-000188,-0.247259762759
ACH-000189,-0.257311961414
ACH-000190,-0.346057771963
ACH-000198,-0.386664238842
ACH-000204,-0.562100226518
ACH-000206,-0.38316867451
ACH-000207,-0.277000484515
ACH-000211,-0.379403791755
ACH-000215,-0.342920728565
ACH-000221,-0.48473910814099996
ACH-000222,-0.549396425776
ACH-000223,-0.381914415534
ACH-000226,-0.37886484776
ACH-000227,-0.18363563973400002
ACH-000228,-0.42278718773199997
ACH-000231,-0.367949462963
ACH-000232,-0.309733037097
ACH-000233,-0.42719853553900006
ACH-000234,-0.625434285476
ACH-000235,-0.315434789756
ACH-000237,-0.511404777898
ACH-000238,-0.536456463644
ACH-000243,-0.464730888814
ACH-000244,-0.318915927855
ACH-000246,-0.377991653746
ACH-000248,-0.373151584465
ACH-000250,-0.481764910807
ACH-000251,-0.29779901018800004
ACH-000253,-0.551524385159
ACH-000255,-0.443162214708
ACH-000256,-0.308837909219
ACH-000257,-0.049478912416000005
ACH-000258,-0.150194721279
ACH-000259,-0.381681002274
ACH-000260,-0.351889852541
ACH-000261,-0.309007518777
ACH-000262,-0.445927039129
ACH-000263,0.043224709304099995
ACH-000264,-0.20311806974100002
ACH-000265,-0.342380621421
ACH-000266,-0.458584804506
ACH-000272,-0.264347449716
ACH-000273,-0.48831516470499997
ACH-000274,-0.358348887175
ACH-000277,-0.616699403873
ACH-000278,-0.352068321657
ACH-000279,-0.39963412845
ACH-000280,-0.417566433535
ACH-000281,-0.6288967277
ACH-000288,-0.45296468666100004
ACH-000291,-0.38470905638700004
ACH-000293,-0.387045192643
ACH-000294,-0.511339929807
ACH-000295,-0.19368593314399998
ACH-000296,-0.269103927739
ACH-000302,-0.315123620296
ACH-000304,-0.210132009925
ACH-000307,-0.232326085313
ACH-000308,-0.300643344008
ACH-000310,-0.257842256072
ACH-000311,-0.5431242345189999
ACH-000312,-0.479994501948
ACH-000315,-0.356453201836
ACH-000316,-0.433336438951
ACH-000317,-0.351790375645
ACH-000318,-0.241162061974
ACH-000319,-0.350104110621
ACH-000320,-0.5783889001829999
ACH-000322,-0.36936945955300005
ACH-000323,-0.657604971496
ACH-000324,-0.32119620622
ACH-000329,-0.6443735853729999
ACH-000330,-0.542029173191
ACH-000331,-0.280795234335
ACH-000332,-0.485057104284
ACH-000334,-0.11305161358100001
ACH-000335,-0.257316777463
ACH-000336,-0.490814243713
ACH-000337,-0.142977186553
ACH-000339,-0.41303769914899996
ACH-000341,-0.313333407823
ACH-000348,-0.39678572631399994
ACH-000350,-0.261533788491
ACH-000352,-0.44032895272600003
ACH-000356,-0.49866085622699996
ACH-000361,-0.589568527805
ACH-000362,-0.382806509019
ACH-000363,-0.218055134055
ACH-000364,0.13581098142
ACH-000365,-0.471613436109
ACH-000366,-0.20911802693599998
ACH-000368,-0.549419450254
ACH-000374,-0.294891374847
ACH-000375,-0.23802149638
ACH-000376,-0.309404208784
ACH-000381,-0.48925954278800005
ACH-000383,-0.46877053956200004
ACH-000387,-0.38846011860699997
ACH-000389,-0.449354158012
ACH-000390,-0.314924856943
ACH-000393,-0.559589576363
ACH-000395,-0.298242176266
ACH-000397,-0.286810231054
ACH-000401,-0.576576943424
ACH-000402,-0.758880683783
ACH-000403,-0.429799766701
ACH-000404,-0.182292585457
ACH-000406,-0.34724627530100005
ACH-000407,-0.429776016078
ACH-000408,-0.228944169132
ACH-000410,-0.395611300123
ACH-000411,-0.507112533885
ACH-000414,-0.38225436185999995
ACH-000415,-0.335373255427
ACH-000416,-0.350475481143
ACH-000420,-0.507325792019
ACH-000421,-0.39806551560099995
ACH-000424,-0.353909297604
ACH-000425,-0.353343236387
ACH-000426,-0.040786328443900004
ACH-000427,-0.653110744756
ACH-000433,-0.410642332619
ACH-000436,-0.246850274305
ACH-000444,-0.378155752755
ACH-000445,-0.5148156298800001
ACH-000448,-0.387653263591
ACH-000450,-0.192887251251
ACH-000452,-0.264749941841
ACH-000454,-0.186673700013
ACH-000458,-0.23786624113200003
ACH-000459,-0.714150040028
ACH-000460,-0.496751975435
ACH-000461,-0.135468726435
ACH-000463,-0.44730596036200004
ACH-000464,-0.511682784762
ACH-000466,-0.400620422109
ACH-000467,-0.37175697733699997
ACH-000468,-0.353940632236
ACH-000469,-0.398591099301
ACH-000470,-0.446488617619
ACH-000471,-0.381217965984
ACH-000472,-0.292099276545
ACH-000473,-0.39474988632200003
ACH-000475,-0.415092719908
ACH-000476,-0.452055140512
ACH-000477,-0.344850507809
ACH-000480,-0.292187417515
ACH-000481,-0.298423482769
ACH-000483,-0.36479847685999994
ACH-000484,-0.35967390582
ACH-000485,-0.355262564318
ACH-000486,-0.313508790303
ACH-000487,-0.36034274376599995
ACH-000488,-0.514425344821
ACH-000490,-0.232351921721
ACH-000491,-0.33277399410999997
ACH-000495,-0.528612130321
ACH-000496,-0.39053980319700005
ACH-000499,0.0754902413755
ACH-000500,-0.34444982398699997
ACH-000502,-0.29144326222600003
ACH-000503,0.012279289036600001
ACH-000505,-0.34188554075499994
ACH-000507,-0.443145786101
ACH-000510,-0.397460528261
