,RPS16 (6217)
ACH-000004,-1.26153996051
ACH-000007,-1.35107546696
ACH-000009,-1.6151165350999999
ACH-000011,-1.58092517728
ACH-000012,-1.4232205819
ACH-000013,-1.2690703325700001
ACH-000014,-1.48276151535
ACH-000015,-1.65354927637
ACH-000017,-1.4166542203
ACH-000018,-1.64658000162
ACH-000019,-1.70834635868
ACH-000021,-1.4902638547999998
ACH-000022,-1.6790375979499998
ACH-000025,-1.26503869145
ACH-000028,-1.35110358499
ACH-000030,-1.5519362651
ACH-000035,-1.3569430123800001
ACH-000036,-1.5451923398700003
ACH-000037,-1.99709110319
ACH-000039,-1.48229631085
ACH-000040,-1.54780499513
ACH-000041,-1.6014201454399999
ACH-000042,-1.60383551416
ACH-000045,-1.5629963969
ACH-000047,-1.2610744549200001
ACH-000052,-1.48614626088
ACH-000053,-1.59877434369
ACH-000054,-1.61303528608
ACH-000055,-1.24984103856
ACH-000060,-1.47986244534
ACH-000067,-1.5827718698
ACH-000070,-1.6523006102000002
ACH-000075,-1.7350880833400002
ACH-000078,-1.75711004925
ACH-000082,-1.80539390445
ACH-000085,-1.54934874958
ACH-000086,-1.4958918094100002
ACH-000087,-1.56160225288
ACH-000092,-1.6051696857799997
ACH-000095,-1.78694721715
ACH-000097,-1.4607251881299999
ACH-000098,-1.76708299135
ACH-000099,-1.8078143423
ACH-000108,-1.50328856366
ACH-000113,-1.65202069498
ACH-000115,-1.88604389901
ACH-000116,-1.42640463942
ACH-000118,-1.48460329486
ACH-000120,-1.49724076377
ACH-000123,-1.5027415876399999
ACH-000127,-1.54500884935
ACH-000128,-1.5657059809399998
ACH-000132,-1.85077889652
ACH-000133,-1.4585240634299999
ACH-000137,-1.4944891493399999
ACH-000138,-1.6484364065500001
ACH-000142,-1.59603629519
ACH-000143,-1.48175392285
ACH-000146,-1.74850229428
ACH-000148,-1.62688725776
ACH-000150,-1.77922764803
ACH-000152,-1.4713413556200001
ACH-000153,-1.7137705358200002
ACH-000159,-1.5110587860799998
