,C1QTNF9B (387911)
ACH-000004,-0.42727076441699996
ACH-000007,-0.289418297541
ACH-000009,-0.22590571467599999
ACH-000011,-0.300476393682
ACH-000012,-0.33615991017499997
ACH-000013,-0.21959738264400003
ACH-000014,-0.22407477408100002
ACH-000015,-0.295489316422
ACH-000017,-0.261431151211
ACH-000018,-0.208442873913
ACH-000019,0.00449824104803
ACH-000021,-0.253033199462
ACH-000022,-0.315873531569
ACH-000025,-0.35720177966
ACH-000028,-0.217358707264
ACH-000030,-0.322240829715
ACH-000035,-0.50063523747
ACH-000036,-0.382029517916
ACH-000037,-0.205433449507
ACH-000039,-0.25029282223099997
ACH-000040,-0.354294687976
ACH-000041,-0.17025349226599998
ACH-000042,-0.332895172211
ACH-000045,-0.368266171699
ACH-000047,-0.344507491396
ACH-000052,-0.579070787974
ACH-000053,-0.33144743342300004
ACH-000054,-0.31854841391600003
ACH-000055,-0.00381575744548
ACH-000060,-0.126313261032
ACH-000067,-0.47017507614200005
ACH-000070,-0.313883807622
ACH-000075,-0.228852751061
ACH-000078,-0.36605899916400003
ACH-000082,-0.135133630543
ACH-000085,-0.182275227201
ACH-000086,-0.295547657271
ACH-000087,0.038308915116800006
ACH-000092,-0.281328525343
ACH-000095,-0.523501185894
ACH-000097,-0.35835737744199997
ACH-000098,-0.052274031659000006
ACH-000099,-0.36054585431999997
ACH-000108,-0.20403610645599998
ACH-000113,-0.470861090434
ACH-000115,-0.608121612354
ACH-000116,-0.18661458823899998
ACH-000118,-0.237434003347
ACH-000120,-0.0765049047979
ACH-000123,-0.227737416243
ACH-000127,-0.253760385783
ACH-000128,-0.167196072591
ACH-000132,-0.32816279644699997
ACH-000133,-0.253738061563
ACH-000137,-0.34238908339699997
ACH-000138,-0.189316462823
ACH-000142,-0.235020737144
ACH-000143,-0.15996437119999998
ACH-000146,-0.333532711546
ACH-000148,-0.24137874591400002
ACH-000150,-0.5322716839289999
ACH-000152,-0.362397349847
ACH-000153,0.026007441663
ACH-000159,-0.268634470695
ACH-000160,0.110808423497
ACH-000163,-0.31184253315099997
ACH-000167,-0.06933522414030001
ACH-000168,-0.046963440222399996
ACH-000169,-0.159951722217
ACH-000178,-0.168130989704
ACH-000182,-0.154719781951
ACH-000183,-0.20888811101399998
ACH-000188,-0.523085642309
ACH-000189,-0.158693162224
ACH-000190,-0.125610771066
ACH-000198,-0.242598291534
ACH-000204,-0.247196520202
ACH-000206,0.00796487855413
ACH-000207,-0.146147399929
ACH-000211,-0.275182522485
ACH-000215,-0.312667628621
ACH-000221,-0.22077012139000002
ACH-000222,-0.178795487388
ACH-000223,-0.40307480477799995
ACH-000226,-0.167754830885
ACH-000227,-0.329009384376
ACH-000228,-0.6699008750050001
ACH-000231,-0.209141532597
ACH-000232,-0.163904706048
ACH-000233,-0.283739312979
ACH-000234,-0.207212611379
ACH-000235,-0.23201498094300002
ACH-000237,-0.230978666897
ACH-000238,-0.25770029022700003
ACH-000243,-0.21899795797
ACH-000244,-0.250275223025
ACH-000246,-0.262759830802
ACH-000248,-0.259702098601
ACH-000250,-0.133913909547
ACH-000251,-0.200847183937
ACH-000253,-0.45919113864100003
ACH-000255,-0.189838953012
ACH-000256,-0.171245609183
ACH-000257,-0.16093991507799998
ACH-000258,-0.39682212089900004
ACH-000259,-0.19160693155699998
ACH-000260,-0.105414655974
ACH-000261,-0.27100584724599996
ACH-000262,-0.585527106701
ACH-000263,-0.35338624456600004
ACH-000264,-0.34958426164399997
ACH-000265,-0.435527064775
ACH-000266,-0.36797771560000003
ACH-000272,-0.220883495616
ACH-000273,-0.271232494745
ACH-000274,-0.310656105757
ACH-000277,-0.000425515147647
ACH-000278,-0.41744182598499996
ACH-000279,-0.165582346214
ACH-000280,-0.17853612261399998
ACH-000281,-0.131869327176
ACH-000288,-0.370358426795
ACH-000291,-0.16312442781199998
ACH-000293,-0.20596053253
ACH-000294,-0.25777170571400004
ACH-000295,-0.510153997893
ACH-000296,-0.0484785476727
ACH-000302,-0.246321337897
ACH-000304,-0.218939331463
ACH-000307,-0.213819869117
ACH-000308,-0.031311070103899996
ACH-000310,-0.268918371959
ACH-000311,-0.599710199704
ACH-000312,-0.223787950519
ACH-000315,-0.024377400243500002
ACH-000316,-0.244351215519
ACH-000317,-0.10977560010399999
ACH-000318,-0.0757893091413
ACH-000319,-0.163890445749
ACH-000320,-0.148278525481
ACH-000322,-0.255943652954
ACH-000323,-0.233151170394
ACH-000324,-0.313213534535
ACH-000329,-0.0953218090285
ACH-000330,-0.30206563165
ACH-000331,-0.253216160224
ACH-000332,-0.159633899037
ACH-000334,-0.466889563439
ACH-000335,-0.00810388266076
ACH-000336,-0.28453429346299997
ACH-000337,0.032655927049
ACH-000339,-0.23562314005100002
ACH-000341,-0.309766109225
ACH-000348,-0.186305571162
ACH-000350,-0.272162474434
ACH-000352,-0.274255827296
ACH-000356,-0.32460319568
ACH-000361,-0.283814596267
ACH-000362,-0.496407726967
ACH-000363,-0.138728046646
ACH-000364,-0.405090177249
ACH-000365,-0.172002580467
ACH-000366,-0.261855793804
ACH-000368,-0.187670965247
ACH-000374,-0.166942471332
ACH-000375,-0.168600044058
ACH-000376,-0.28175179805
ACH-000381,-0.388254367613
ACH-000383,-0.17232995460900002
ACH-000387,-0.18271563614
ACH-000389,-0.125496866428
ACH-000390,-0.408226720153
ACH-000393,-0.296969817349
ACH-000395,-0.527436040391
ACH-000397,-0.21184111240800002
ACH-000401,-0.23749193170299998
ACH-000402,-0.33148531107900003
ACH-000403,-0.405213445195
ACH-000404,-0.042719759056699995
ACH-000406,-0.29233252574
ACH-000407,-0.129199908569
ACH-000408,-0.0748283156759
ACH-000410,-0.236952388086
ACH-000411,-0.34969140071599997
ACH-000414,-0.42181532883699996
ACH-000415,-0.39711482767399997
ACH-000416,-0.190946535218
ACH-000420,-0.31166958461399996
ACH-000421,-0.16823772039700002
ACH-000424,-0.112212885485
ACH-000425,-0.392534102173
ACH-000426,-0.511727810224
ACH-000427,-0.250901784068
ACH-000433,-0.6153815055080001
ACH-000436,-0.23478577118500002
ACH-000444,-0.28549681456
ACH-000445,-0.16960261266899998
ACH-000448,-0.225880742566
ACH-000450,-0.221140074031
ACH-000452,-0.18892109065200002
ACH-000454,-0.326663846404
ACH-000458,-0.13553593616100001
ACH-000459,-0.143987292354
ACH-000460,-0.206113244179
ACH-000461,-0.133392193136
ACH-000463,-0.241870831199
ACH-000464,-0.0634256175057
ACH-000466,-0.47036167858000005
ACH-000467,-0.18928463115699998
ACH-000468,-0.41940331302699996
ACH-000469,-0.359673826725
ACH-000470,-0.340624778038
ACH-000471,-0.281450274825
ACH-000472,-0.259692808787
ACH-000473,-0.33696692966799996
ACH-000475,-0.33474535506700004
ACH-000476,-0.313101558817
ACH-000477,-0.26777769127900003
ACH-000480,-0.27643151204
ACH-000481,-0.292099481536
ACH-000483,-0.260541455177
ACH-000484,-0.110174681393
ACH-000485,-0.348834093154
ACH-000486,-0.225857169016
ACH-000487,-0.302981122037
ACH-000488,-0.290149980678
ACH-000490,-0.18867249669599997
ACH-000491,-0.199199211228
ACH-000495,-0.318449758625
ACH-000496,-0.347533602266
ACH-000499,-0.372752289909
ACH-000500,-0.31174974676399997
ACH-000502,-0.14418274259199998
ACH-000503,-0.158293464124
ACH-000505,-0.205725329747
ACH-000507,-0.46649157631800003
ACH-000510,-0.359898431024
ACH-000511,-0.402448454362
ACH-000512,-0.449047558703
ACH-000516,-0.296533065345
ACH-000517,-0.12558587870500001
ACH-000518,-0.176906099579
ACH-000520,-0.408984399237
ACH-000521,-0.33694974996699995
ACH-000522,-0.270666488371
ACH-000524,-0.35134532780199995
ACH-000527,-0.15288693783500001
ACH-000528,-0.134000284557
