,ZBTB8A (653121)
ACH-000004,-0.21598106395599997
ACH-000007,-0.21721161439199999
ACH-000009,-0.20834316911400003
ACH-000011,-0.0228212024811
ACH-000012,-0.188184385093
ACH-000013,-0.164369676658
ACH-000014,-0.208230507101
ACH-000015,-0.12650165901
ACH-000017,-0.141640169476
ACH-000018,0.141527450844
ACH-000019,-0.13803147644000002
ACH-000021,-0.109994718756
ACH-000022,-0.14749301151900002
ACH-000025,-0.0985957730652
ACH-000028,-0.19475917240600002
ACH-000030,-0.09867047148569999
ACH-000035,-0.372609555099
ACH-000036,-0.0710604277156
ACH-000037,-0.110358088466
ACH-000039,-0.189384990521
ACH-000040,-0.09450214817960001
ACH-000041,-0.21335315842900002
ACH-000042,-0.156113817809
ACH-000045,-0.10562397071900001
ACH-000047,-0.09167759548360001
ACH-000052,-0.176927135296
ACH-000053,-0.20306743598299998
ACH-000054,-0.228820084033
ACH-000055,-0.0166765782505
ACH-000060,-0.166787761663
ACH-000067,-0.144391107457
ACH-000070,-0.22464132165800002
ACH-000075,-0.127161090665
ACH-000078,-0.122744539457
ACH-000082,-0.229050633358
ACH-000085,-0.328025177444
ACH-000086,-0.257679142929
ACH-000087,-0.191906213222
ACH-000092,-0.324791181095
ACH-000095,-0.11637541807299999
ACH-000097,-0.25896310672600004
ACH-000098,-0.17436762292
ACH-000099,-0.11111465485099999
ACH-000108,-0.0221474905234
ACH-000113,-0.0385707406279
ACH-000115,-0.24902288087299998
ACH-000116,-0.102938515305
ACH-000118,-0.141928711942
ACH-000120,-0.19976024442200002
ACH-000123,-0.211770280343
ACH-000127,-0.149760107043
ACH-000128,-0.191178175808
ACH-000132,-0.146110098624
ACH-000133,-0.287405876751
ACH-000137,-0.278875550983
ACH-000138,-0.22071239154599998
ACH-000142,-0.246451523486
ACH-000143,-0.024557950987
ACH-000146,-0.114888359725
ACH-000148,-0.0817357251025
ACH-000150,-0.386184723164
ACH-000152,-0.11691266967599999
ACH-000153,-0.172314198571
ACH-000159,-0.058513745723800005
ACH-000160,-0.190955724326
ACH-000163,-0.134158105152
ACH-000167,-0.30915258838599996
ACH-000168,-0.23110623949499998
ACH-000169,-0.213196787691
ACH-000178,-0.110646392221
ACH-000182,-0.0647648978225
ACH-000183,-0.11657328348
ACH-000188,-0.157452343279
ACH-000189,-0.24410752511300002
ACH-000190,-0.33762857751
ACH-000198,-0.16252072855
ACH-000204,-0.279869430965
ACH-000206,-0.241673026526
ACH-000207,-0.244534859207
ACH-000211,-0.10469670579500001
ACH-000215,-0.22471644036600003
ACH-000221,-0.167134677857
ACH-000222,0.11767595025999998
ACH-000223,-0.0653100016092
ACH-000226,-0.133609156743
ACH-000227,-0.140738371338
ACH-000228,-0.17425182348499998
ACH-000231,-0.163168769387
ACH-000232,0.0384809697458
ACH-000233,-0.183123848489
ACH-000234,-0.101412697008
ACH-000235,-0.144417903929
ACH-000237,-0.137784991569
ACH-000238,-0.28554460872
ACH-000243,-0.10021923847000001
ACH-000244,-0.152179642561
ACH-000246,-0.0975594458477
ACH-000248,-0.0449357597796
ACH-000250,-0.16952134259100002
ACH-000251,-0.40750574603100004
ACH-000253,-0.154590914988
ACH-000255,-0.09309008671119999
ACH-000256,-0.0427256121915
ACH-000257,0.035598577675800006
ACH-000258,0.127850003386
ACH-000259,-0.11321639826199999
ACH-000260,-0.0768142614689
ACH-000261,-0.0537066759869
ACH-000262,-0.28127495010299997
ACH-000263,-0.304698022814
ACH-000264,-0.168693442234
ACH-000265,-0.136387885944
ACH-000266,-0.0148612255091
ACH-000272,-0.149833686454
ACH-000273,-0.163989193107
ACH-000274,-0.21411165665399998
ACH-000277,0.00910836937878
ACH-000278,-0.191428690072
ACH-000279,-0.203494993848
ACH-000280,-0.24341516849599998
ACH-000281,0.0035824814868499998
ACH-000288,-0.271815193323
ACH-000291,-0.143825022204
ACH-000293,-0.0257870180358
ACH-000294,-0.22009138885899998
ACH-000295,-0.18651036950999997
ACH-000296,-0.0870972415007
ACH-000302,-0.16021672408600002
ACH-000304,-0.0006900580120599999
ACH-000307,-0.23792631941
ACH-000308,-0.131353435564
ACH-000310,-0.250691558566
ACH-000311,-0.130391482362
ACH-000312,-0.09516766291639998
ACH-000315,-0.0718600686579
ACH-000316,-0.29504372119399996
ACH-000317,0.0041949718376
ACH-000318,-0.106355520722
ACH-000319,-0.164475766179
ACH-000320,-0.180932427599
ACH-000322,-0.206658393867
ACH-000323,-0.0325177153106
ACH-000324,-0.265078696054
ACH-000329,-0.202363433068
ACH-000330,-0.0713202577241
ACH-000331,-0.243323741353
ACH-000332,-0.13969630308800002
ACH-000334,-0.40107786399400003
ACH-000335,-0.272674695476
ACH-000336,-0.11063331852700001
ACH-000337,-0.11506567940700001
ACH-000339,-0.139138192843
ACH-000341,-0.251434139209
ACH-000348,-0.05816822398569999
ACH-000350,-0.133297053114
ACH-000352,-0.227067889045
ACH-000356,-0.192083991316
ACH-000361,-0.116819935085
ACH-000362,-0.19382495379099998
ACH-000363,-0.169315057668
ACH-000364,-0.275788779044
ACH-000365,-0.291446514677
ACH-000366,-0.190323487139
ACH-000368,-0.20718978975400001
ACH-000374,-0.210219918651
ACH-000375,-0.101668406207
ACH-000376,-0.202991477641
ACH-000381,-0.248494762868
ACH-000383,-0.20939534636399998
