,SNAP29 (9342)
ACH-000004,-0.394180593284
ACH-000007,-0.487372238335
ACH-000009,-0.142309043891
ACH-000011,-1.08872545645
ACH-000012,-0.21577101520599998
ACH-000013,-0.334599012452
ACH-000014,-0.600717974894
ACH-000015,-0.410092288944
ACH-000017,-0.16855684211
ACH-000018,-0.204409981097
ACH-000019,-0.48112981900300006
ACH-000021,-0.054085276673800003
ACH-000022,-0.334013311036
ACH-000025,-0.571436681777
ACH-000028,-0.276747560614
ACH-000030,-0.408071851164
ACH-000035,-0.38275343912500004
ACH-000036,-0.487742070202
ACH-000037,0.129903455676
ACH-000039,-0.153713265711
ACH-000040,-0.258029993407
ACH-000041,-0.220609292571
ACH-000042,-0.7261998466390001
ACH-000045,-0.346800797157
ACH-000047,-0.305078601485
ACH-000052,-0.506721683672
ACH-000053,-0.44619499683499997
ACH-000054,-0.468534697671
ACH-000055,-0.47418849088200005
ACH-000060,-0.33194680840199997
ACH-000067,-0.58296351535
ACH-000070,-0.27586953031100003
ACH-000075,-0.285649139035
ACH-000078,-0.0752978470741
ACH-000082,-0.483697323287
ACH-000085,-0.165771049334
ACH-000086,-0.19048580127999998
ACH-000087,-0.213912134586
ACH-000092,-0.45574740336099995
ACH-000095,-0.332215158434
ACH-000097,-0.280733121996
ACH-000098,-0.566102889359
ACH-000099,-0.28904451097399997
ACH-000108,-0.120212521304
ACH-000113,-0.101524449851
ACH-000115,-0.127282465415
ACH-000116,-0.49277515020400003
ACH-000118,-0.326312284785
ACH-000120,-0.306335937251
ACH-000123,-0.399018853602
ACH-000127,-0.41617240428499996
ACH-000128,-0.294269709456
ACH-000132,-0.492166046386
ACH-000133,-0.557309302961
ACH-000137,-0.454934735656
ACH-000138,-0.254643509026
ACH-000142,-0.717178131892
ACH-000143,-0.703084557932
ACH-000146,-0.35793920332199997
ACH-000148,-0.385801387046
ACH-000150,-0.485586385761
ACH-000152,-0.43374046941000005
ACH-000153,-0.148739637142
ACH-000159,-0.00886804073082
ACH-000160,-0.40807914683799995
ACH-000163,-0.345982529789
ACH-000167,-0.577066506756
ACH-000168,-0.108699507071
ACH-000169,-0.613777111413
ACH-000178,-0.36844429583800004
ACH-000182,-0.172635917258
ACH-000183,-0.39364250906
ACH-000188,-0.40738144215300004
ACH-000189,-0.43137055238899996
ACH-000190,-0.365694453231
ACH-000198,-0.30225322574499996
ACH-000204,-0.5393725811469999
ACH-000206,-0.30389491722399997
ACH-000207,-0.383978160377
ACH-000211,-0.435448092496
ACH-000215,-0.445968432989
ACH-000221,-0.174149386845
ACH-000222,-0.699070946263
ACH-000223,-0.44701638800800003
ACH-000226,-0.496243352066
ACH-000227,-0.259619808829
ACH-000228,-0.511629522924
ACH-000231,-0.44798312720100003
ACH-000232,-0.410295923677
ACH-000233,-0.437858497605
ACH-000234,-0.30429560524300003
ACH-000235,-0.312578509645
ACH-000237,-0.377467243538
ACH-000238,-0.25220426935199997
ACH-000243,-0.19981188707199998
ACH-000244,-0.675106137019
ACH-000246,-0.501202878269
ACH-000248,-0.252431165124
ACH-000250,-0.389784225322
ACH-000251,-0.59479908351
ACH-000253,-0.35824871333400005
ACH-000255,-0.41234787219499996
ACH-000256,-0.612439291782
ACH-000257,-0.13167049069700001
ACH-000258,-0.408793380462
ACH-000259,-0.279247049561
ACH-000260,-0.237318582103
ACH-000261,-0.306893301649
ACH-000262,-0.49057033995399996
ACH-000263,-0.8547361539030001
ACH-000264,-0.36722810213699997
ACH-000265,-0.321727678952
ACH-000266,-0.330281394199
ACH-000272,-0.649051515762
ACH-000273,-0.545792092847
ACH-000274,-0.300581172758
ACH-000277,-0.25216694856
ACH-000278,-0.7679438815270001
ACH-000279,-0.324149105418
ACH-000280,-0.362940881316
ACH-000281,0.104593774791
ACH-000288,-0.307541247193
ACH-000291,-0.287462108554
