,NIP7 (51388)
ACH-000004,-1.7736305557299998
ACH-000007,-1.8501657134599998
ACH-000009,-1.63545100826
ACH-000011,-2.18019922596
ACH-000012,-1.60449371018
ACH-000013,-2.07544700397
ACH-000014,-2.1164480869699998
ACH-000015,-1.6043322160100002
ACH-000017,-1.9286968844599999
ACH-000018,-1.61267088092
ACH-000019,-1.3964138387399998
ACH-000021,-1.85778672363
ACH-000022,-1.9913655829900003
ACH-000025,-1.63309181289
ACH-000028,-1.68272922493
ACH-000030,-1.8191533342500001
ACH-000035,-1.69505501776
ACH-000036,-1.97059083182
ACH-000037,-1.4242618119400001
ACH-000039,-1.89487071104
ACH-000040,-1.83876730271
ACH-000041,-1.96406108649
ACH-000042,-1.7132483216499999
ACH-000045,-2.05600163664
ACH-000047,-1.55672491248
ACH-000052,-1.62784329233
ACH-000053,-1.86123001247
ACH-000054,-1.69015235278
ACH-000055,-1.7653127023500002
ACH-000060,-1.6877062250100001
ACH-000067,-1.7832104121799999
ACH-000070,-1.7856181891999998
ACH-000075,-1.8458867648400004
ACH-000078,-2.17336392124
ACH-000082,-1.6748737248899999
ACH-000085,-1.9053830018900002
ACH-000086,-1.62895622655
ACH-000087,-1.87443145061
ACH-000092,-1.7404135642099998
ACH-000095,-1.9490786969299998
ACH-000097,-2.03517207353
ACH-000098,-2.01744864545
ACH-000099,-1.85470953067
ACH-000108,-1.50355909402
ACH-000113,-1.66515243193
ACH-000115,-1.32479777352
ACH-000116,-1.88547106352
ACH-000118,-1.6516390467500002
ACH-000120,-1.68314669248
ACH-000123,-1.55587733995
ACH-000127,-1.7929170942800001
ACH-000128,-1.6750995019100001
ACH-000132,-1.9248842615200001
ACH-000133,-1.8415375103099998
ACH-000137,-1.38098477147
ACH-000138,-1.8301456347599998
ACH-000142,-1.61001588539
ACH-000143,-1.742480671
ACH-000146,-2.2596122628799997
ACH-000148,-2.29226766738
ACH-000150,-1.71854822115
ACH-000152,-1.7253602017200003
ACH-000153,-2.05074991269
ACH-000159,-1.9239367364900002
ACH-000160,-2.0461313462099997
ACH-000163,-1.7720182704900003
ACH-000167,-1.92819090377
ACH-000168,-1.9507073883000001
ACH-000169,-1.8006171228599999
ACH-000178,-1.65573425278
ACH-000182,-1.7161064319100001
ACH-000183,-1.85893275395
ACH-000188,-1.82189585252
ACH-000189,-1.97937472007
ACH-000190,-1.94792724445
ACH-000198,-1.9654227190200002
ACH-000204,-1.7548926429799998
ACH-000206,-2.08607150583
ACH-000207,-1.30934099122
ACH-000211,-1.88858057037
ACH-000215,-1.86240632687
ACH-000221,-1.7004810312
ACH-000222,-2.11734123782
ACH-000223,-1.6444057274700001
ACH-000226,-1.90127349999
ACH-000227,-1.9326825484299999
ACH-000228,-1.6942111236700002
ACH-000231,-1.7593734621500001
ACH-000232,-1.7130346716999998
ACH-000233,-2.04444996053
ACH-000234,-1.51854387262
ACH-000235,-1.6752217048299998
ACH-000237,-1.7943130162099998
ACH-000238,-1.76325365845
ACH-000243,-1.82803052259
ACH-000244,-1.6212760760499998
ACH-000246,-1.8046559985
ACH-000248,-1.6923592908200003
ACH-000250,-1.5866058992399998
ACH-000251,-1.4741913014599999
ACH-000253,-1.89897074365
ACH-000255,-1.6996388750100002
ACH-000256,-1.7937910332900002
ACH-000257,-1.8295059395099997
ACH-000258,-1.9933327348700003
ACH-000259,-1.70594010316
ACH-000260,-1.83969898151
ACH-000261,-1.69844161336
ACH-000262,-2.03380765536
ACH-000263,-1.54321532972
ACH-000264,-1.6244329317299997
ACH-000265,-1.7685257630400002
ACH-000266,-1.86403755742
ACH-000272,-1.83064316536
ACH-000273,-1.82871413662
ACH-000274,-2.23697582669
ACH-000277,-1.44147181238
ACH-000278,-1.91022387961
ACH-000279,-1.7049688163999999
ACH-000280,-1.8622464436900001
ACH-000281,-2.05417180133
ACH-000288,-1.77340936052
ACH-000291,-1.6449624246599999
ACH-000293,-2.0091936417
ACH-000294,-2.15133516966
ACH-000295,-1.9505932614
ACH-000296,-1.9724203834799998
ACH-000302,-1.9658978923500001
ACH-000304,-2.04110446849
ACH-000307,-1.5542782609399999
ACH-000308,-1.903513597
ACH-000310,-2.40310848668
ACH-000311,-1.9330444539400002
ACH-000312,-1.65333345164
ACH-000315,-1.60674415449
ACH-000316,-2.2060865933400002
ACH-000317,-1.8155537128700001
ACH-000318,-1.8977699609099998
ACH-000319,-1.62110093896
ACH-000320,-1.8983473397200001
ACH-000322,-1.4123062435799998
ACH-000323,-1.9551967998299997
ACH-000324,-1.76073381835
ACH-000329,-1.77167646632
ACH-000330,-1.9256356026299999
ACH-000331,-1.63654874972
ACH-000332,-2.0114752995
ACH-000334,-1.7105426055200001
ACH-000335,-1.62436804066
ACH-000336,-1.8674049814099998
ACH-000337,-1.88350442898
ACH-000339,-1.8475422798099999
ACH-000341,-1.8058263784400002
ACH-000348,-1.70175949317
ACH-000350,-2.0749095429400004
ACH-000352,-1.50580414957
ACH-000356,-1.8708108640999999
ACH-000361,-1.95479778688
ACH-000362,-2.01014933151
ACH-000363,-2.26112433471
ACH-000364,-1.6477102262399999
ACH-000365,-1.69899109247
ACH-000366,-1.7984650841599998
ACH-000368,-1.68002565804
ACH-000374,-1.8568976981999998
ACH-000375,-1.83521095198
ACH-000376,-1.91784800278
ACH-000381,-1.7768988519099997
ACH-000383,-1.96698775333
ACH-000387,-1.70996114506
ACH-000389,-1.6285257005899998
ACH-000390,-1.7223968107599998
ACH-000393,-1.44485999796
ACH-000395,-1.70784112974
ACH-000397,-1.67637903261
ACH-000401,-1.94292158217
ACH-000402,-1.46116986964
ACH-000403,-1.8989604188299998
ACH-000404,-1.84716848824
ACH-000406,-1.9521776698400002
ACH-000407,-1.86375183585
ACH-000408,-1.7802429976700003
ACH-000410,-1.7438768172099999
ACH-000411,-1.7745816686400002
ACH-000414,-1.6265759392599999
ACH-000415,-1.7191560072
ACH-000416,-1.5882815027500001
ACH-000420,-1.7850986534
ACH-000421,-1.76523960316
ACH-000424,-1.8622499233099996
ACH-000425,-1.8454735325099998
ACH-000426,-2.5064552995
ACH-000427,-1.49803467057
ACH-000433,-1.6913039124200002
ACH-000436,-2.2967726160799997
ACH-000444,-1.7858157312099998
ACH-000445,-1.54659183334
ACH-000448,-1.86591885718
ACH-000450,-1.9929705507099997
ACH-000452,-1.8499303088699999
